[Main]
Experiment = ""
Header length = 58    
Date = "20181213 13:05:50"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
0.000000000E+0	-1.000000000E-6	-103.043925600E-6	-2.744183433E-3	115.060885036E-9	5.192850454E-6	103.043925600E+0	2.744183433E+3	115.060885036E-3	5.192850454E+0	NaN	NaN	-4.353326932E-6	299.995800000E+0
6.686860561E+0	-990.000000000E-9	-101.993888467E-6	-2.718817200E-3	52.195943952E-9	4.263136949E-6	103.024129764E+0	2.746280000E+3	52.723175710E-3	4.306198939E+0	9.523472725E-3	394.224868493E-6	-4.353326932E-6	299.999300000E+0
12.159707069E+0	-980.000000000E-9	-101.061058133E-6	-2.704400333E-3	51.667980600E-9	2.847287049E-6	103.123528707E+0	2.759592177E+3	52.722429184E-3	2.905394948E+0	10.720063063E-3	693.631995857E-6	-4.353326932E-6	299.998500000E+0
17.720384598E+0	-970.000000000E-9	-99.657611270E-6	-2.675324533E-3	329.897843954E-9	4.256410190E-6	102.739805433E+0	2.758066529E+3	340.100870055E-3	4.388051742E+0	7.125314297E-3	343.928627931E-6	-4.353326932E-6	299.999700000E+0
23.292680740E+0	-960.000000000E-9	-97.661436223E-6	-2.649155033E-3	77.752701219E-9	5.397176519E-6	101.730662733E+0	2.759536493E+3	80.992397103E-3	5.622058874E+0	5.009580706E-3	382.124228587E-6	-4.353326932E-6	300.002000000E+0
28.882973194E+0	-950.000000000E-9	-97.295724503E-6	-2.623293600E-3	70.080739540E-9	4.501014174E-6	102.416552109E+0	2.761361684E+3	73.769199516E-3	4.737909657E+0	27.343941835E-3	386.676170308E-6	-4.353326932E-6	300.003500000E+0
34.420876026E+0	-940.000000000E-9	-96.584694190E-6	-2.595832733E-3	44.674835672E-9	4.383017516E-6	102.749674670E+0	2.761524184E+3	47.526420928E-3	4.662784592E+0	14.064097989E-3	364.154566620E-6	-4.353326932E-6	300.003800000E+0
40.719087124E+0	-930.000000000E-9	-95.707815430E-6	-2.564328967E-3	35.091223143E-9	4.272265348E-6	102.911629495E+0	2.757342975E+3	37.732498003E-3	4.593833708E+0	11.404085098E-3	317.422361136E-6	-4.353326932E-6	300.002600000E+0
46.274435997E+0	-920.000000000E-9	-94.792126107E-6	-2.534090800E-3	56.860664334E-9	3.745210260E-6	103.034919681E+0	2.754446522E+3	61.805069928E-3	4.070880717E+0	10.920734517E-3	330.707880218E-6	-4.353326932E-6	299.998700000E+0
51.856194973E+0	-910.000000000E-9	-93.774935987E-6	-2.505954833E-3	43.648130096E-9	4.705078548E-6	103.049380205E+0	2.753796520E+3	47.964978127E-3	5.170415987E+0	9.831003864E-3	355.416969265E-6	-4.353326932E-6	300.000200000E+0
57.383337498E+0	-900.000000000E-9	-92.817659867E-6	-2.477743367E-3	41.061157769E-9	4.133611400E-6	103.130733185E+0	2.753048185E+3	45.623508632E-3	4.592901555E+0	10.446306756E-3	354.465796414E-6	-4.353326932E-6	300.005300000E+0
62.957318783E+0	-890.000000000E-9	-91.809124253E-6	-2.447246633E-3	43.809399726E-9	4.960313515E-6	103.156319386E+0	2.749715318E+3	49.224044636E-3	5.573385972E+0	9.915366267E-3	327.903972229E-6	-4.353326932E-6	300.003500000E+0
68.512050152E+0	-880.000000000E-9	-90.822200187E-6	-2.419653467E-3	39.672458316E-9	4.518241249E-6	103.207045667E+0	2.749606212E+3	45.082338996E-3	5.134365055E+0	10.132491787E-3	362.408567339E-6	-4.353326932E-6	300.002300000E+0
74.108836651E+0	-870.000000000E-9	-89.794626160E-6	-2.390413900E-3	39.554374838E-9	4.033930968E-6	103.212213977E+0	2.747602184E+3	45.464798665E-3	4.636702263E+0	9.731658976E-3	342.002332456E-6	-4.353326932E-6	299.999100000E+0
79.713152409E+0	-860.000000000E-9	-88.804794273E-6	-2.362642167E-3	45.201753893E-9	4.701866285E-6	103.261388690E+0	2.747258333E+3	52.560178945E-3	5.467286377E+0	10.102725659E-3	360.078353050E-6	-4.353326932E-6	299.998500000E+0
85.343949318E+0	-850.000000000E-9	-87.810072467E-6	-2.332704700E-3	39.525141148E-9	4.338381354E-6	103.305967608E+0	2.744358471E+3	46.500166057E-3	5.103978063E+0	10.053062005E-3	334.029599476E-6	-4.353326932E-6	299.997600000E+0
90.869237423E+0	-840.000000000E-9	-86.763685837E-6	-2.302768767E-3	46.911686310E-9	4.073716042E-6	103.290102187E+0	2.741391389E+3	55.847245607E-3	4.849661955E+0	9.556697031E-3	334.046708638E-6	-4.353326932E-6	299.997300000E+0
96.425827980E+0	-830.000000000E-9	-85.745794313E-6	-2.272940967E-3	27.905752111E-9	3.567881304E-6	103.308185920E+0	2.738483092E+3	33.621388086E-3	4.298652173E+0	9.824229567E-3	335.257712604E-6	-4.353326932E-6	300.002300000E+0
101.919064522E+0	-820.000000000E-9	-84.702908113E-6	-2.244905367E-3	42.684970918E-9	4.047252167E-6	103.296229407E+0	2.737689472E+3	52.054842583E-3	4.935673374E+0	9.588773924E-3	356.689352109E-6	-4.353326932E-6	300.001700000E+0
107.444928646E+0	-810.000000000E-9	-83.669194130E-6	-2.214930267E-3	49.864616325E-9	3.586943949E-6	103.295301395E+0	2.734481811E+3	61.561254722E-3	4.428325863E+0	9.673855787E-3	333.610229824E-6	-4.353326932E-6	300.004100000E+0
112.988706112E+0	-800.000000000E-9	-82.626687950E-6	-2.186805567E-3	38.269159646E-9	4.200231543E-6	103.283359937E+0	2.733506958E+3	47.836449557E-3	5.250289428E+0	9.592269276E-3	355.559348189E-6	-4.353326932E-6	300.000800000E+0
118.535954952E+0	-790.000000000E-9	-81.619713477E-6	-2.155911300E-3	44.931176684E-9	3.419560409E-6	103.316093008E+0	2.729001646E+3	56.874907195E-3	4.328557480E+0	9.930738330E-3	323.684653463E-6	-4.353326932E-6	299.998200000E+0
124.085345268E+0	-780.000000000E-9	-80.639083260E-6	-2.128227467E-3	35.064235190E-9	4.047219358E-6	103.383440077E+0	2.728496752E+3	44.954147679E-3	5.188742767E+0	10.197523827E-3	361.221651626E-6	-4.353326932E-6	300.002300000E+0
129.609065533E+0	-770.000000000E-9	-79.646373433E-6	-2.100968267E-3	40.764414067E-9	3.315522198E-6	103.436848615E+0	2.728530216E+3	52.940797489E-3	4.305872984E+0	10.073437103E-3	366.848623584E-6	-4.353326932E-6	300.004700000E+0
135.149087906E+0	-760.000000000E-9	-78.601950107E-6	-2.071663967E-3	35.839440337E-9	4.645219370E-6	103.423618561E+0	2.725873640E+3	47.157158339E-3	6.112130750E+0	9.574661677E-3	341.246847732E-6	-4.353326932E-6	299.999700000E+0
140.717032433E+0	-750.000000000E-9	-77.583125107E-6	-2.044199500E-3	45.780391561E-9	3.230709677E-6	103.444166809E+0	2.725599333E+3	61.040522082E-3	4.307612903E+0	9.815228327E-3	364.106833800E-6	-4.353326932E-6	300.001100000E+0
146.263584614E+0	-740.000000000E-9	-76.534002487E-6	-2.016774033E-3	44.249408937E-9	3.195010544E-6	103.424327685E+0	2.725370315E+3	59.796498564E-3	4.317581817E+0	9.531774274E-3	364.624606813E-6	-4.353326932E-6	300.003800000E+0
151.828877449E+0	-730.000000000E-9	-75.495247770E-6	-1.984850267E-3	40.488212933E-9	3.918139468E-6	103.418147630E+0	2.718972968E+3	55.463305388E-3	5.367314340E+0	9.626911762E-3	313.246243916E-6	-4.353326932E-6	300.003800000E+0
157.362889290E+0	-720.000000000E-9	-74.460892217E-6	-1.950930833E-3	43.911171432E-9	5.492025348E-6	103.417905856E+0	2.709626157E+3	60.987738100E-3	7.627812983E+0	9.667855476E-3	294.816245948E-6	-4.353326932E-6	299.999900000E+0
162.945287228E+0	-710.000000000E-9	-73.419613947E-6	-1.928836933E-3	32.333865264E-9	6.017818197E-6	103.407906967E+0	2.716671737E+3	45.540655302E-3	8.475800278E+0	9.603580799E-3	452.613617333E-6	-4.353326932E-6	300.003200000E+0
168.546174049E+0	-700.000000000E-9	-72.399730880E-6	-1.898226867E-3	41.423205060E-9	5.214221744E-6	103.428186971E+0	2.711752667E+3	59.176007229E-3	7.448888206E+0	9.805045624E-3	326.689912469E-6	-4.353326932E-6	300.000300000E+0
174.146297455E+0	-690.000000000E-9	-71.406237797E-6	-1.869269367E-3	38.791466714E-9	4.356497355E-6	103.487301155E+0	2.709086039E+3	56.219516976E-3	6.313764283E+0	10.065495339E-3	345.333678667E-6	-4.353326932E-6	300.002300000E+0
179.701792717E+0	-680.000000000E-9	-70.352342290E-6	-1.839876767E-3	41.185590752E-9	4.853233900E-6	103.459326897E+0	2.705701127E+3	60.567045224E-3	7.137108677E+0	9.488606733E-3	340.221688452E-6	-4.353326932E-6	300.005300000E+0
185.267107964E+0	-670.000000000E-9	-69.281951153E-6	-1.807911967E-3	44.391901487E-9	3.928133684E-6	103.405897244E+0	2.698376070E+3	66.256569383E-3	5.862886096E+0	9.342379302E-3	312.844128541E-6	-4.353326932E-6	300.004100000E+0
190.772377968E+0	-660.000000000E-9	-68.261367113E-6	-1.780267633E-3	43.694159429E-9	4.513468301E-6	103.426313808E+0	2.697375202E+3	66.203271863E-3	6.838588335E+0	9.798311171E-3	361.737788335E-6	-4.353326932E-6	300.002600000E+0
196.302446365E+0	-650.000000000E-9	-67.258118170E-6	-1.755990833E-3	37.797876647E-9	5.565081169E-6	103.474027954E+0	2.701524359E+3	58.150579457E-3	8.561663337E+0	9.967615781E-3	411.915903249E-6	-4.353326932E-6	299.999900000E+0
201.830945969E+0	-640.000000000E-9	-66.239565957E-6	-1.726523933E-3	43.219176580E-9	4.729802656E-6	103.499321807E+0	2.697693646E+3	67.529963406E-3	7.390316651E+0	9.817857022E-3	339.363828567E-6	-4.353326932E-6	300.001400000E+0
207.409257412E+0	-630.000000000E-9	-65.206240980E-6	-1.701122233E-3	44.143248977E-9	2.976680432E-6	103.501969810E+0	2.700194021E+3	70.068649170E-3	4.724889574E+0	9.677497618E-3	393.674439112E-6	-4.353326932E-6	300.001700000E+0
212.992483139E+0	-620.000000000E-9	-64.190984910E-6	-1.671297767E-3	33.483693435E-9	4.257718822E-6	103.533846629E+0	2.695641559E+3	54.005957154E-3	6.867288422E+0	9.849731802E-3	335.295182702E-6	-4.353326932E-6	300.000900000E+0
218.568353176E+0	-610.000000000E-9	-63.157884553E-6	-1.641974867E-3	48.150145126E-9	4.282295386E-6	103.537515661E+0	2.691762077E+3	78.934664141E-3	7.020156371E+0	9.679601730E-3	341.030389218E-6	-4.353326932E-6	300.001400000E+0
224.099207878E+0	-600.000000000E-9	-62.129533157E-6	-1.617522100E-3	45.125990487E-9	4.381116810E-6	103.549221928E+0	2.695870167E+3	75.209984145E-3	7.301861351E+0	9.724302444E-3	408.951679633E-6	-4.353326932E-6	300.000300000E+0
229.646142960E+0	-590.000000000E-9	-61.137123507E-6	-1.589716433E-3	47.923762440E-9	4.818960209E-6	103.622243232E+0	2.694434633E+3	81.226716001E-3	8.167729168E+0	10.076484041E-3	359.638922522E-6	-4.353326932E-6	300.002900000E+0
235.201405525E+0	-580.000000000E-9	-60.088314390E-6	-1.563378300E-3	37.403764773E-9	4.485855449E-6	103.600542052E+0	2.695479828E+3	64.489249609E-3	7.734233534E+0	9.534623452E-3	379.677628382E-6	-4.353326932E-6	300.000300000E+0
240.721518040E+0	-570.000000000E-9	-59.035395023E-6	-1.531862933E-3	50.595107095E-9	4.287738194E-6	103.570868462E+0	2.687478830E+3	88.763345781E-3	7.522347709E+0	9.497403426E-3	317.305526087E-6	-4.353326932E-6	300.004900000E+0
