[Main]
Experiment = ""
Header length = 65    
Date = "20181214 13:25:38"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Magnetic Field (T)	Temperature (K)
477.790832520E-6	-1.000000000E-6	-160.377705500E-6	39.087957030E-6	-1.179446733E-3	84.451977169E-9	103.620221695E-9	4.466584068E-6	160.377705500E+0	-39.087957030E+0	1.179446733E+3	84.451977169E-3	103.620221695E-3	4.466584068E+0	NaN	NaN	NaN	-4.353326932E-6	300.005700000E+0
7.017149925E+0	-990.000000000E-9	-158.845006733E-6	38.660893280E-6	-1.169337467E-3	88.043232597E-9	89.311860140E-9	3.831896368E-6	160.449501751E+0	-39.051407354E+0	1.181148956E+3	88.932558179E-3	90.214000141E-3	3.870602392E+0	6.524439255E-3	-23.415707842E-3	989.191434921E-6	-4.353326932E-6	300.007200000E+0
12.966115952E+0	-980.000000000E-9	-157.306696533E-6	38.241863273E-6	-1.157503700E-3	80.764202803E-9	106.214141412E-9	3.855135287E-6	160.517037279E+0	-39.022309463E+0	1.181126224E+3	82.412451840E-3	108.381776951E-3	3.933811517E+0	6.500639468E-3	-23.864639384E-3	845.039477428E-6	-4.353326932E-6	300.006600000E+0
18.907099247E+0	-970.000000000E-9	-155.743137633E-6	37.838830100E-6	-1.144624733E-3	86.299898040E-9	99.934489193E-9	2.663379108E-6	160.559935704E+0	-39.009103196E+0	1.180025498E+3	88.968967051E-3	103.025246590E-3	2.745751657E+0	6.395665683E-3	-24.811853370E-3	776.459809146E-6	-4.353326932E-6	300.006600000E+0
24.830600262E+0	-960.000000000E-9	-154.115349500E-6	37.471312983E-6	-1.134626900E-3	91.165654922E-9	123.571723578E-9	3.704124126E-6	160.536822396E+0	-39.032617691E+0	1.181903021E+3	94.964223877E-3	128.720545394E-3	3.858462631E+0	6.143305628E-3	-27.209617040E-3	1.000216714E-3	-4.353326932E-6	300.006600000E+0
30.765997887E+0	-950.000000000E-9	-152.620460000E-6	37.043726010E-6	-1.122433100E-3	80.543098398E-9	101.592289627E-9	4.197535092E-6	160.653115789E+0	-38.993395800E+0	1.181508526E+3	84.782208840E-3	106.939252239E-3	4.418457992E+0	6.689457649E-3	-23.387054854E-3	820.088897637E-6	-4.353326932E-6	300.006000000E+0
36.721812725E+0	-940.000000000E-9	-151.026833333E-6	36.591503497E-6	-1.111089800E-3	77.409609416E-9	100.837210275E-9	3.869975117E-6	160.666843972E+0	-38.927131379E+0	1.182010426E+3	82.350648315E-3	107.273627952E-3	4.116994805E+0	6.274995398E-3	-22.113007878E-3	881.577671401E-6	-4.353326932E-6	300.008700000E+0
42.680628777E+0	-930.000000000E-9	-149.443135700E-6	36.187856253E-6	-1.099765533E-3	97.313546213E-9	96.457255424E-9	3.358638135E-6	160.691543763E+0	-38.911673391E+0	1.182543584E+3	104.638221735E-3	103.717478950E-3	3.611438854E+0	6.314336645E-3	-24.774107008E-3	883.059388687E-6	-4.353326932E-6	300.011200000E+0
48.621242523E+0	-920.000000000E-9	-147.902269367E-6	35.787367860E-6	-1.088364467E-3	81.218078547E-9	100.427089958E-9	5.349749996E-6	160.763336268E+0	-38.899312891E+0	1.183004855E+3	88.280520160E-3	109.159880390E-3	5.814945647E+0	6.489855599E-3	-24.969512641E-3	877.110913599E-6	-4.353326932E-6	300.005600000E+0
54.588668346E+0	-910.000000000E-9	-146.334042900E-6	35.374207250E-6	-1.073344567E-3	70.530714448E-9	92.316076246E-9	3.726972143E-6	160.806640549E+0	-38.872755220E+0	1.179499524E+3	77.506279613E-3	101.446237633E-3	4.095573784E+0	6.376630042E-3	-24.203662590E-3	665.783394031E-6	-4.353326932E-6	300.007700000E+0
