[Main]
Experiment = "VvsI"
Header length = 69    
Date = "20181214 15:32:23"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 9.000000E+0
Final field (T) = -9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
20.051348209E+0	9.000025781E+0	1.000000000E-6	167.165226367E-6	-34.852579280E-6	1.245068650E-3	250.447692549E-9	345.432798153E-9	5.290598412E-6	167.165226356E+0	-34.852579278E+0	1.245068650E+3	250.447692534E-3	345.432798132E-3	5.290598412E+0	300.000200000E+0
135.946939945E+0	8.900011719E+0	1.000000000E-6	167.088066350E-6	-34.913572855E-6	1.245545650E-3	113.505320387E-9	280.887634465E-9	6.119136633E-6	167.088066340E+0	-34.913572853E+0	1.245545650E+3	113.505320380E-3	280.887634448E-3	6.119136633E+0	299.999700000E+0
179.097733021E+0	8.800023438E+0	1.000000000E-6	167.004488250E-6	-35.023061405E-6	1.244963733E-3	111.310839538E-9	340.138565374E-9	6.616634102E-6	167.004488240E+0	-35.023061403E+0	1.244963733E+3	111.310839531E-3	340.138565353E-3	6.616634102E+0	299.999000000E+0
222.251409054E+0	8.700020312E+0	1.000000000E-6	166.906874650E-6	-35.157135113E-6	1.242762150E-3	122.549412410E-9	296.363102566E-9	7.152445566E-6	166.906874640E+0	-35.157135111E+0	1.242762150E+3	122.549412403E-3	296.363102548E-3	7.152445565E+0	300.001400000E+0
265.403248787E+0	8.600015625E+0	1.000000000E-6	166.833737883E-6	-35.121794767E-6	1.242601033E-3	133.008512151E-9	400.427603364E-9	6.781076954E-6	166.833737873E+0	-35.121794764E+0	1.242601033E+3	133.008512143E-3	400.427603339E-3	6.781076953E+0	299.999800000E+0
308.653072357E+0	8.500023437E+0	1.000000000E-6	166.756807333E-6	-35.139457850E-6	1.241657817E-3	117.601239940E-9	281.310729343E-9	6.720288987E-6	166.756807323E+0	-35.139457848E+0	1.241657817E+3	117.601239932E-3	281.310729325E-3	6.720288987E+0	300.011100000E+0
351.759219170E+0	8.400019531E+0	1.000000000E-6	166.689401933E-6	-35.102607822E-6	1.241870467E-3	134.667524577E-9	334.962363539E-9	6.657718379E-6	166.689401923E+0	-35.102607819E+0	1.241870467E+3	134.667524569E-3	334.962363519E-3	6.657718378E+0	299.999000000E+0
394.910876274E+0	8.300017969E+0	1.000000000E-6	166.610261950E-6	-35.210099922E-6	1.241785083E-3	128.585866026E-9	287.676185522E-9	11.712261439E-6	166.610261940E+0	-35.210099919E+0	1.241785083E+3	128.585866018E-3	287.676185504E-3	11.712261438E+0	299.998700000E+0
438.033520222E+0	8.200021094E+0	1.000000000E-6	166.580502333E-6	-35.128741717E-6	1.241618617E-3	134.600895497E-9	250.942896617E-9	7.186088048E-6	166.580502323E+0	-35.128741714E+0	1.241618617E+3	134.600895488E-3	250.942896602E-3	7.186088047E+0	299.997100000E+0
481.194117069E+0	8.100018750E+0	1.000000000E-6	166.479593900E-6	-35.198381418E-6	1.239324533E-3	104.637348647E-9	298.353653363E-9	9.304497376E-6	166.479593890E+0	-35.198381416E+0	1.239324533E+3	104.637348641E-3	298.353653345E-3	9.304497376E+0	299.996200000E+0
524.377630711E+0	8.000014844E+0	1.000000000E-6	166.407375550E-6	-35.352320157E-6	1.240033633E-3	131.820892189E-9	301.246699935E-9	6.495500601E-6	166.407375540E+0	-35.352320154E+0	1.240033633E+3	131.820892181E-3	301.246699917E-3	6.495500600E+0	299.998700000E+0
567.517790318E+0	7.900019531E+0	1.000000000E-6	166.392485150E-6	-35.272868570E-6	1.239895450E-3	119.663368802E-9	347.148734427E-9	6.410193886E-6	166.392485140E+0	-35.272868568E+0	1.239895450E+3	119.663368795E-3	347.148734406E-3	6.410193886E+0	299.995000000E+0
610.658285141E+0	7.800023438E+0	1.000000000E-6	166.337470350E-6	-35.376594325E-6	1.241440067E-3	115.856100866E-9	357.943780393E-9	8.400547554E-6	166.337470340E+0	-35.376594323E+0	1.241440067E+3	115.856100859E-3	357.943780371E-3	8.400547554E+0	299.992900000E+0
653.815529823E+0	7.700010938E+0	1.000000000E-6	166.285813383E-6	-35.501053168E-6	1.238927033E-3	110.483194731E-9	278.764991367E-9	6.776405320E-6	166.285813373E+0	-35.501053166E+0	1.238927033E+3	110.483194724E-3	278.764991350E-3	6.776405319E+0	299.999100000E+0
696.960814476E+0	7.600020312E+0	1.000000000E-6	166.216260200E-6	-35.508038618E-6	1.238610833E-3	130.866027512E-9	349.730737194E-9	7.355101111E-6	166.216260190E+0	-35.508038616E+0	1.238610833E+3	130.866027503E-3	349.730737172E-3	7.355101111E+0	300.006600000E+0
740.204914570E+0	7.500015625E+0	1.000000000E-6	166.111491200E-6	-35.605580228E-6	1.236286200E-3	112.342976789E-9	351.519763537E-9	7.261650319E-6	166.111491190E+0	-35.605580226E+0	1.236286200E+3	112.342976782E-3	351.519763515E-3	7.261650319E+0	300.002100000E+0
783.353800774E+0	7.400024219E+0	1.000000000E-6	166.126228433E-6	-35.439933248E-6	1.237695233E-3	123.522381273E-9	333.384241576E-9	10.956601401E-6	166.126228423E+0	-35.439933246E+0	1.237695233E+3	123.522381265E-3	333.384241555E-3	10.956601401E+0	300.000500000E+0
826.490152836E+0	7.300011719E+0	1.000000000E-6	166.112664783E-6	-35.625533610E-6	1.236440467E-3	122.599358349E-9	382.102645359E-9	6.182010846E-6	166.112664773E+0	-35.625533608E+0	1.236440467E+3	122.599358342E-3	382.102645335E-3	6.182010846E+0	299.994300000E+0
869.613712788E+0	7.200015625E+0	1.000000000E-6	166.009394617E-6	-35.805768410E-6	1.235813550E-3	119.950564675E-9	333.026521976E-9	6.417017867E-6	166.009394606E+0	-35.805768408E+0	1.235813550E+3	119.950564668E-3	333.026521955E-3	6.417017867E+0	300.007000000E+0
912.748581886E+0	7.100017187E+0	1.000000000E-6	165.948522133E-6	-35.762202442E-6	1.235212183E-3	125.982162815E-9	308.117742870E-9	6.618888932E-6	165.948522123E+0	-35.762202439E+0	1.235212183E+3	125.982162807E-3	308.117742851E-3	6.618888932E+0	300.008800000E+0
955.897334576E+0	7.000010937E+0	1.000000000E-6	165.929122300E-6	-35.873632307E-6	1.235609200E-3	100.682114317E-9	339.969439762E-9	8.868323809E-6	165.929122290E+0	-35.873632304E+0	1.235609200E+3	100.682114311E-3	339.969439741E-3	8.868323809E+0	300.002000000E+0
999.077788830E+0	6.900014063E+0	1.000000000E-6	165.837768167E-6	-35.936851252E-6	1.233107867E-3	121.908018687E-9	382.556205205E-9	8.793069479E-6	165.837768156E+0	-35.936851249E+0	1.233107867E+3	121.908018680E-3	382.556205182E-3	8.793069478E+0	300.004700000E+0
