[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 23:12:28"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
4.081747055E+0	-44.621598721E-6	1.000000000E-6	17.022499257E-3	-711.669349250E-6	134.939853333E-3	13.012170981E-6	56.884568567E-6	24.314355534E-6	17.022499256E+3	-711.669349206E+0	134.939853325E+3	13.012170980E+0	56.884568563E+0	24.314355533E+0	3.000000000E+0
31.129291058E+0	99.974145508E-3	1.000000000E-6	16.918462165E-3	-679.712544717E-6	134.302105000E-3	17.039012080E-6	61.174806759E-6	29.849188941E-6	16.918462164E+3	-679.712544674E+0	134.302104992E+3	17.039012079E+0	61.174806755E+0	29.849188940E+0	2.999100000E+0
74.166676044E+0	199.982043457E-3	1.000000000E-6	16.749261192E-3	-647.256697933E-6	132.949721667E-3	13.521575120E-6	55.758930892E-6	27.093822726E-6	16.749261191E+3	-647.256697893E+0	132.949721658E+3	13.521575119E+0	55.758930888E+0	27.093822724E+0	2.999200000E+0
117.204282284E+0	299.973583984E-3	1.000000000E-6	16.561045500E-3	-618.181562850E-6	131.580920000E-3	14.560800287E-6	53.834105799E-6	35.918645304E-6	16.561045499E+3	-618.181562812E+0	131.580919992E+3	14.560800286E+0	53.834105795E+0	35.918645302E+0	2.999700000E+0
160.215768814E+0	399.974951172E-3	1.000000000E-6	16.377953370E-3	-608.238260183E-6	130.257293333E-3	13.787008645E-6	58.274246636E-6	35.886194957E-6	16.377953369E+3	-608.238260146E+0	130.257293325E+3	13.787008644E+0	58.274246632E+0	35.886194955E+0	2.999200000E+0
203.249396801E+0	499.970849609E-3	1.000000000E-6	16.211228383E-3	-593.323986883E-6	129.001703333E-3	14.943774211E-6	56.582419085E-6	23.920166551E-6	16.211228382E+3	-593.323986846E+0	129.001703325E+3	14.943774210E+0	56.582419081E+0	23.920166549E+0	2.999600000E+0
246.263339043E+0	599.987451172E-3	1.000000000E-6	16.043008462E-3	-578.269911583E-6	127.812321667E-3	11.448013154E-6	55.930363881E-6	31.198791791E-6	16.043008461E+3	-578.269911547E+0	127.812321659E+3	11.448013153E+0	55.930363877E+0	31.198791789E+0	3.001200000E+0
289.246196747E+0	699.988818359E-3	1.000000000E-6	15.891487937E-3	-568.306074850E-6	126.727065000E-3	12.779889405E-6	57.919670326E-6	26.189165304E-6	15.891487936E+3	-568.306074815E+0	126.727064992E+3	12.779889404E+0	57.919670322E+0	26.189165302E+0	3.000400000E+0
332.188481331E+0	799.983691406E-3	1.000000000E-6	15.745845520E-3	-553.462179900E-6	125.685238333E-3	14.568687547E-6	56.671885396E-6	25.464564741E-6	15.745845519E+3	-553.462179866E+0	125.685238326E+3	14.568687546E+0	56.671885393E+0	25.464564740E+0	3.000400000E+0
375.119646072E+0	899.981738281E-3	1.000000000E-6	15.619272265E-3	-551.456713717E-6	124.772121667E-3	14.011108556E-6	54.865671102E-6	31.667693571E-6	15.619272264E+3	-551.456713682E+0	124.772121659E+3	14.011108555E+0	54.865671099E+0	31.667693569E+0	3.000300000E+0
418.095988750E+0	999.982031250E-3	1.000000000E-6	15.485076725E-3	-538.369599017E-6	123.879521667E-3	13.211037362E-6	55.468061698E-6	28.064659537E-6	15.485076724E+3	-538.369598983E+0	123.879521659E+3	13.211037361E+0	55.468061695E+0	28.064659536E+0	2.999500000E+0
461.023917675E+0	1.099987695E+0	1.000000000E-6	15.360095680E-3	-540.233274633E-6	122.964425000E-3	14.288678072E-6	53.877243106E-6	26.757369809E-6	15.360095679E+3	-540.233274600E+0	122.964424992E+3	14.288678071E+0	53.877243103E+0	26.757369807E+0	2.999000000E+0
504.012465477E+0	1.199970508E+0	1.000000000E-6	15.267245888E-3	-534.671738067E-6	122.324945000E-3	13.448303887E-6	56.654678909E-6	26.970453182E-6	15.267245887E+3	-534.671738033E+0	122.324944992E+3	13.448303886E+0	56.654678906E+0	26.970453180E+0	2.999800000E+0
547.000723839E+0	1.299993652E+0	1.000000000E-6	15.183012120E-3	-524.734640067E-6	121.579660000E-3	13.790539845E-6	50.782840792E-6	36.115613206E-6	15.183012119E+3	-524.734640034E+0	121.579659992E+3	13.790539844E+0	50.782840789E+0	36.115613204E+0	3.000700000E+0
589.948834419E+0	1.399975391E+0	1.000000000E-6	15.050024092E-3	-519.364448800E-6	120.699051667E-3	13.775074095E-6	53.643633167E-6	37.468059194E-6	15.050024091E+3	-519.364448768E+0	120.699051659E+3	13.775074094E+0	53.643633164E+0	37.468059192E+0	3.000400000E+0
632.980047226E+0	1.499981250E+0	1.000000000E-6	14.978108977E-3	-515.324094083E-6	120.158650000E-3	11.423066174E-6	52.410326600E-6	24.407176258E-6	14.978108976E+3	-515.324094051E+0	120.158649993E+3	11.423066173E+0	52.410326597E+0	24.407176256E+0	2.999500000E+0
675.940525532E+0	1.599978125E+0	1.000000000E-6	14.886229442E-3	-519.643303650E-6	119.526866667E-3	10.528433456E-6	52.633027323E-6	33.342389230E-6	14.886229441E+3	-519.643303618E+0	119.526866659E+3	10.528433455E+0	52.633027320E+0	33.342389228E+0	2.999400000E+0
718.871100903E+0	1.699984961E+0	1.000000000E-6	14.786114600E-3	-506.704962983E-6	118.866055000E-3	12.269002466E-6	50.336417168E-6	32.500610251E-6	14.786114599E+3	-506.704962952E+0	118.866054993E+3	12.269002465E+0	50.336417165E+0	32.500610249E+0	3.000100000E+0
761.842999935E+0	1.799983008E+0	1.000000000E-6	14.701177410E-3	-512.859418850E-6	118.247473333E-3	13.106673430E-6	46.935826942E-6	31.079292733E-6	14.701177409E+3	-512.859418818E+0	118.247473326E+3	13.106673429E+0	46.935826939E+0	31.079292731E+0	3.000200000E+0
804.803139210E+0	1.899985547E+0	1.000000000E-6	14.624584030E-3	-505.210972350E-6	117.633263333E-3	9.535681935E-6	50.404422081E-6	22.521720295E-6	14.624584029E+3	-505.210972319E+0	117.633263326E+3	9.535681935E+0	50.404422078E+0	22.521720294E+0	3.000300000E+0
847.869084835E+0	1.999980273E+0	1.000000000E-6	14.541151490E-3	-507.377663517E-6	117.049976667E-3	14.730479075E-6	56.144554236E-6	25.906506084E-6	14.541151489E+3	-507.377663485E+0	117.049976659E+3	14.730479074E+0	56.144554232E+0	25.906506082E+0	3.001000000E+0
890.867228508E+0	2.099983984E+0	1.000000000E-6	14.465568460E-3	-503.055938450E-6	116.489550000E-3	10.715585880E-6	47.265972279E-6	21.400273390E-6	14.465568459E+3	-503.055938419E+0	116.489549993E+3	10.715585879E+0	47.265972276E+0	21.400273388E+0	2.999900000E+0
933.850677490E+0	2.199975391E+0	1.000000000E-6	14.391268963E-3	-506.798541417E-6	115.980703333E-3	11.956110665E-6	48.817261000E-6	20.638188016E-6	14.391268962E+3	-506.798541385E+0	115.980703326E+3	11.956110664E+0	48.817260997E+0	20.638188015E+0	2.999900000E+0
976.878106117E+0	2.299985352E+0	1.000000000E-6	14.323130333E-3	-493.373037083E-6	115.519770000E-3	11.324471441E-6	49.127029417E-6	24.492564201E-6	14.323130332E+3	-493.373037053E+0	115.519769993E+3	11.324471440E+0	49.127029414E+0	24.492564200E+0	3.000100000E+0
1.019914510E+3	2.399979297E+0	1.000000000E-6	14.249050638E-3	-496.541959467E-6	115.043815000E-3	12.000839946E-6	48.875632573E-6	25.751975485E-6	14.249050637E+3	-496.541959436E+0	115.043814993E+3	12.000839945E+0	48.875632570E+0	25.751975483E+0	3.000300000E+0
1.062963492E+3	2.499984961E+0	1.000000000E-6	14.181832015E-3	-493.369366050E-6	114.525685000E-3	12.501647466E-6	48.286609676E-6	23.196694424E-6	14.181832014E+3	-493.369366019E+0	114.525684993E+3	12.501647465E+0	48.286609673E+0	23.196694422E+0	3.000500000E+0
1.105916585E+3	2.599983008E+0	1.000000000E-6	14.039067628E-3	-488.872485133E-6	113.551943333E-3	10.354605364E-6	47.602324076E-6	23.693052476E-6	14.039067627E+3	-488.872485103E+0	113.551943326E+3	10.354605364E+0	47.602324073E+0	23.693052475E+0	3.028400000E+0
1.148861138E+3	2.699987500E+0	1.000000000E-6	13.735130873E-3	-477.010180033E-6	111.673295000E-3	13.994783488E-6	50.469803097E-6	36.574839823E-6	13.735130872E+3	-477.010180004E+0	111.673294993E+3	13.994783487E+0	50.469803094E+0	36.574839820E+0	3.110600000E+0
1.191838272E+3	2.799972656E+0	1.000000000E-6	13.355151045E-3	-455.875802667E-6	109.213093333E-3	10.015333192E-6	45.386283440E-6	45.323047599E-6	13.355151044E+3	-455.875802638E+0	109.213093327E+3	10.015333192E+0	45.386283437E+0	45.323047596E+0	3.223400000E+0
1.234825389E+3	2.899995898E+0	1.000000000E-6	12.919929880E-3	-428.649792067E-6	106.375511667E-3	11.190278882E-6	46.238385807E-6	64.123662228E-6	12.919929879E+3	-428.649792040E+0	106.375511660E+3	11.190278881E+0	46.238385805E+0	64.123662224E+0	3.358700000E+0
1.277776700E+3	3.000004883E+0	1.000000000E-6	12.464565727E-3	-402.825482883E-6	103.295336667E-3	11.795263185E-6	41.627076156E-6	52.523546991E-6	12.464565726E+3	-402.825482858E+0	103.295336660E+3	11.795263184E+0	41.627076153E+0	52.523546988E+0	3.519300000E+0
1.320808738E+3	3.100013867E+0	1.000000000E-6	12.014339850E-3	-374.310154533E-6	100.201106667E-3	11.803473329E-6	40.973669188E-6	58.324578325E-6	12.014339849E+3	-374.310154510E+0	100.201106660E+3	11.803473328E+0	40.973669185E+0	58.324578321E+0	3.689800000E+0
1.363824453E+3	3.200015039E+0	1.000000000E-6	11.575235257E-3	-361.199938933E-6	97.134859833E-3	12.550263232E-6	39.595848595E-6	53.476155009E-6	11.575235256E+3	-361.199938911E+0	97.134859827E+3	12.550263232E+0	39.595848592E+0	53.476155006E+0	3.872400000E+0
1.406813808E+3	3.300015234E+0	1.000000000E-6	11.126813307E-3	-343.367222333E-6	93.948162833E-3	11.506146336E-6	35.609891817E-6	67.981304591E-6	11.126813306E+3	-343.367222312E+0	93.948162827E+3	11.506146335E+0	35.609891815E+0	67.981304587E+0	4.078200000E+0
1.449772662E+3	3.400027734E+0	1.000000000E-6	10.663442517E-3	-321.901902367E-6	90.636192000E-3	10.071844702E-6	36.014787344E-6	65.777918078E-6	10.663442516E+3	-321.901902347E+0	90.636191994E+3	10.071844702E+0	36.014787341E+0	65.777918074E+0	4.309400000E+0
