[Main]
Experiment = "VvsI"
Header length = 74    
Date = "20181215 03:26:48"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 9.000000E+0
Final field (T) = -9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
917.786787033E+0	9.000021875E+0	1.000000000E-6	5.926602484E-3	-218.596638367E-6	51.208997500E-3	27.340286889E-6	31.613891184E-6	12.118595178E-6	5.926602484E+3	-218.596638353E+0	51.208997497E+3	27.340286887E+0	31.613891182E+0	12.118595177E+0	10.000500000E+0
979.004460812E+0	8.900025000E+0	1.000000000E-6	5.918413963E-3	-216.766761400E-6	51.205124167E-3	45.001528868E-6	28.556081164E-6	25.841802526E-6	5.918413962E+3	-216.766761387E+0	51.205124163E+3	45.001528865E+0	28.556081162E+0	25.841802525E+0	10.001000000E+0
1.064955108E+3	8.800026562E+0	1.000000000E-6	5.930402672E-3	-221.070984683E-6	51.196118000E-3	36.880418985E-6	29.549563553E-6	14.125405937E-6	5.930402671E+3	-221.070984670E+0	51.196117997E+3	36.880418983E+0	29.549563551E+0	14.125405936E+0	10.000600000E+0
1.125389944E+3	8.700025781E+0	1.000000000E-6	5.923878992E-3	-224.715478300E-6	51.206219500E-3	49.739625301E-6	39.351139758E-6	10.941563448E-6	5.923878992E+3	-224.715478286E+0	51.206219497E+3	49.739625297E+0	39.351139756E+0	10.941563447E+0	10.000200000E+0
1.188198518E+3	8.600016406E+0	1.000000000E-6	5.922759739E-3	-222.643211017E-6	51.210909167E-3	37.129706193E-6	33.494648416E-6	13.833381237E-6	5.922759739E+3	-222.643211003E+0	51.210909163E+3	37.129706191E+0	33.494648414E+0	13.833381236E+0	10.000400000E+0
1.248614320E+3	8.500028125E+0	1.000000000E-6	5.919894628E-3	-224.042554517E-6	51.210249833E-3	30.102753942E-6	34.187085796E-6	12.778179484E-6	5.919894627E+3	-224.042554503E+0	51.210249830E+3	30.102753940E+0	34.187085794E+0	12.778179483E+0	10.000000000E+0
1.309516246E+3	8.400017969E+0	1.000000000E-6	5.927776554E-3	-227.915229167E-6	51.213782000E-3	49.347096527E-6	29.530198091E-6	15.960371132E-6	5.927776553E+3	-227.915229153E+0	51.213781997E+3	49.347096524E+0	29.530198089E+0	15.960371131E+0	9.999900000E+0
1.370328870E+3	8.300027344E+0	1.000000000E-6	5.915208784E-3	-226.442821050E-6	51.222742667E-3	38.452934728E-6	31.678320637E-6	13.918853541E-6	5.915208783E+3	-226.442821036E+0	51.222742663E+3	38.452934726E+0	31.678320635E+0	13.918853541E+0	9.999600000E+0
1.431145512E+3	8.200024219E+0	1.000000000E-6	5.924362714E-3	-225.011890950E-6	51.231644833E-3	39.991830377E-6	21.769044381E-6	12.613619646E-6	5.924362713E+3	-225.011890936E+0	51.231644830E+3	39.991830375E+0	21.769044379E+0	12.613619645E+0	9.999600000E+0
1.490057808E+3	8.100021094E+0	1.000000000E-6	5.931248758E-3	-225.982882950E-6	51.242724167E-3	36.229817367E-6	32.254290881E-6	11.739072478E-6	5.931248757E+3	-225.982882936E+0	51.242724163E+3	36.229817365E+0	32.254290879E+0	11.739072477E+0	9.999500000E+0
1.550838354E+3	8.000023437E+0	1.000000000E-6	5.937407518E-3	-225.204039500E-6	51.249692000E-3	45.104348067E-6	31.338910806E-6	13.419789624E-6	5.937407517E+3	-225.204039486E+0	51.249691997E+3	45.104348064E+0	31.338910804E+0	13.419789624E+0	10.000600000E+0
1.613762491E+3	7.900015625E+0	1.000000000E-6	5.934087016E-3	-221.152720750E-6	51.275614167E-3	49.369413180E-6	33.826657074E-6	16.574815604E-6	5.934087016E+3	-221.152720736E+0	51.275614163E+3	49.369413177E+0	33.826657072E+0	16.574815603E+0	10.000000000E+0
1.676599034E+3	7.800015625E+0	1.000000000E-6	5.940168861E-3	-224.123032867E-6	51.290884833E-3	32.155239858E-6	39.266325432E-6	13.436516709E-6	5.940168861E+3	-224.123032853E+0	51.290884830E+3	32.155239856E+0	39.266325430E+0	13.436516708E+0	10.000300000E+0
1.739517028E+3	7.700010938E+0	1.000000000E-6	5.939681643E-3	-224.921897750E-6	51.308780000E-3	44.440267156E-6	29.625110275E-6	13.936758508E-6	5.939681642E+3	-224.921897736E+0	51.308779997E+3	44.440267153E+0	29.625110273E+0	13.936758507E+0	9.999800000E+0
1.796209998E+3	7.600019531E+0	1.000000000E-6	5.939339882E-3	-229.913594767E-6	51.329412000E-3	32.053825563E-6	35.121294261E-6	12.060239461E-6	5.939339881E+3	-229.913594752E+0	51.329411997E+3	32.053825561E+0	35.121294259E+0	12.060239460E+0	9.999900000E+0
1.855010473E+3	7.500015625E+0	1.000000000E-6	5.949622687E-3	-231.336789367E-6	51.362692667E-3	48.842909054E-6	24.007566578E-6	14.768725235E-6	5.949622686E+3	-231.336789352E+0	51.362692663E+3	48.842909051E+0	24.007566576E+0	14.768725234E+0	10.000200000E+0
