[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181207 20:47:44"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 2.500000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
499.248504639E-6	-1.000000000E-6	-140.662112500E-6	-615.308610000E-6	15.396529532E-9	3.690990218E-6	140.662112500E+0	615.308610000E+0	15.396529532E-3	3.690990218E+0	NaN	NaN	300.003100000E+0
8.687308788E+0	-990.000000000E-9	-139.269884733E-6	-610.538186667E-6	19.010187902E-9	4.115388209E-6	140.676651246E+0	616.705239057E+0	19.202210002E-3	4.156957787E+0	7.182732768E-3	2.096250018E-3	300.001100000E+0
15.279129028E+0	-980.000000000E-9	-137.854864200E-6	-603.181270000E-6	15.733747236E-9	3.254367141E-6	140.668228776E+0	615.491091837E+0	16.054844119E-3	3.320782797E+0	7.067035258E-3	1.359265091E-3	300.002300000E+0
21.857176304E+0	-970.000000000E-9	-136.405934100E-6	-599.173593333E-6	17.179514385E-9	3.029270711E-6	140.624674330E+0	617.704735395E+0	17.710839572E-3	3.122959496E+0	6.901644186E-3	2.495211274E-3	299.998400000E+0
28.505450726E+0	-960.000000000E-9	-135.011751567E-6	-591.580576667E-6	14.395427041E-9	3.213010212E-6	140.637241215E+0	616.229767361E+0	14.995236501E-3	3.346885638E+0	7.172661944E-3	1.316999611E-3	300.000200000E+0
35.129061699E+0	-950.000000000E-9	-133.569415233E-6	-584.268126667E-6	15.757747852E-9	4.059239719E-6	140.599384456E+0	615.019080702E+0	16.587103002E-3	4.272883915E+0	6.933195655E-3	1.367530718E-3	300.000300000E+0
41.778528214E+0	-940.000000000E-9	-132.222000000E-6	-578.521806667E-6	18.606810537E-9	4.256798573E-6	140.661702128E+0	615.448730496E+0	19.794479294E-3	4.528509120E+0	7.421617147E-3	1.740244191E-3	299.997900000E+0
48.387849808E+0	-930.000000000E-9	-130.791305200E-6	-572.894000000E-6	17.084175201E-9	3.673956246E-6	140.635812043E+0	616.015053763E+0	18.370080861E-3	3.950490587E+0	6.989610922E-3	1.776891175E-3	299.997600000E+0
54.996872902E+0	-920.000000000E-9	-129.402386967E-6	-568.694073333E-6	13.099041904E-9	3.971900309E-6	140.654768442E+0	618.145731884E+0	14.238089026E-3	4.317282945E+0	7.199847882E-3	2.380993954E-3	300.000300000E+0
61.605331421E+0	-910.000000000E-9	-127.999138733E-6	-558.943646667E-6	13.842347673E-9	4.891461473E-6	140.658394212E+0	614.223787546E+0	15.211371069E-3	5.375232388E+0	7.126322886E-3	1.025596145E-3	300.002100000E+0
