[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 16:46:30"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
0.000000000E+0	-100.000001490E-3	-4.119562567E-9	50.944426495E-12	24.274422313E+6	300.188795106E+3	41.195625053E-9
2.994635105E+0	-98.999999464E-3	-4.047064367E-9	18.503182042E-12	24.462175665E+6	111.841089853E+3	72.498053078E-9
5.863736153E+0	-97.999997437E-3	-3.976801233E-9	16.646720138E-12	24.642920701E+6	103.154213708E+3	70.262990941E-9
8.732582569E+0	-97.000002861E-3	-3.921254033E-9	21.442794728E-12	24.736985168E+6	135.270525866E+3	55.547501291E-9
11.598685741E+0	-96.000000834E-3	-3.855367800E-9	15.175644688E-12	24.900348245E+6	98.013693420E+3	65.886099811E-9
14.466744900E+0	-94.999998808E-3	-3.782361733E-9	16.678165671E-12	25.116582047E+6	110.750516740E+3	73.005918716E-9
17.343753815E+0	-93.999996781E-3	-3.733184767E-9	15.589104388E-12	25.179572579E+6	105.145341020E+3	49.176867007E-9
20.218298435E+0	-93.000002205E-3	-3.646137467E-9	17.270839537E-12	25.506444300E+6	120.817635295E+3	87.047772149E-9
23.085194588E+0	-92.000000179E-3	-3.604433167E-9	20.456532949E-12	25.524124300E+6	144.859140286E+3	41.704215484E-9
25.963559151E+0	-90.999998152E-3	-3.535421433E-9	20.103452794E-12	25.739505139E+6	146.362445403E+3	69.011593477E-9
28.833382607E+0	-90.000003576E-3	-3.475418767E-9	15.735403988E-12	25.896160900E+6	117.248188163E+3	60.002992124E-9
31.700625896E+0	-89.000001550E-3	-3.418712867E-9	13.665776465E-12	26.033189981E+6	104.063654608E+3	56.705785082E-9
34.567675114E+0	-87.999999523E-3	-3.362948333E-9	16.564772603E-12	26.167514574E+6	128.892532845E+3	55.764420324E-9
37.435065746E+0	-86.999997497E-3	-3.308032167E-9	16.637254045E-12	26.299622589E+6	132.270026484E+3	54.916055376E-9
40.304691315E+0	-86.000002921E-3	-3.257335267E-9	13.085838473E-12	26.401950024E+6	106.065733215E+3	50.697174983E-9
43.174787998E+0	-85.000000894E-3	-3.218448367E-9	19.866642441E-12	26.410242207E+6	163.023537724E+3	38.886821194E-9
46.043043137E+0	-83.999998868E-3	-3.153109067E-9	14.701706173E-12	26.640372119E+6	124.213566661E+3	65.339167586E-9
48.910005093E+0	-82.999996841E-3	-3.095935467E-9	14.377097541E-12	26.809343326E+6	124.498894812E+3	57.173484135E-9
