[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 17:01:38"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = -100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
0.000000000E+0	100.000001490E-3	2.873541233E-9	50.927747717E-12	34.800266768E+6	616.764842600E+3	28.735411905E-9
2.974123955E+0	98.999999464E-3	2.875660400E-9	13.715509958E-12	34.426874419E+6	164.199548367E+3	-2.119162372E-9
5.842537403E+0	97.999997437E-3	2.861092033E-9	17.741858783E-12	34.252654684E+6	212.403430319E+3	14.568337143E-9
8.711971760E+0	97.000002861E-3	2.824847633E-9	12.935604808E-12	34.338136230E+6	157.241953470E+3	36.244596592E-9
11.580572605E+0	96.000000834E-3	2.791926800E-9	14.949055831E-12	34.384855948E+6	184.109816668E+3	32.920766617E-9
14.449810982E+0	94.999998808E-3	2.761593967E-9	15.891929339E-12	34.400422348E+6	197.961426544E+3	30.332771862E-9
17.316631794E+0	93.999996781E-3	2.740876667E-9	13.578215088E-12	34.295595247E+6	169.899278764E+3	20.717258015E-9
20.183973312E+0	93.000002205E-3	2.710865667E-9	12.131364856E-12	34.306385355E+6	153.524124319E+3	30.011162781E-9
23.056685448E+0	92.000000179E-3	2.687496467E-9	12.332067158E-12	34.232603213E+6	157.082536500E+3	23.369152641E-9
25.924185276E+0	90.999998152E-3	2.664400833E-9	11.910564827E-12	34.154019551E+6	152.677352017E+3	23.095586529E-9
28.795403957E+0	90.000003576E-3	2.636337267E-9	14.335624983E-12	34.138273852E+6	185.633870786E+3	28.063718885E-9
31.661432743E+0	89.000001550E-3	2.610742067E-9	14.793684095E-12	34.089925116E+6	193.169439993E+3	25.595148130E-9
