[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 15:17:10"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
9.509291319E+3	25.000000000E+0	44.213247704E-12	0.000000000E+0	-391.355944100E-12	383.163158366E-12	-0.000000000E+0	0.000000000E+0	NaN	-21.174340197E-3	-12.812959683E-3	1.726760758E-3	322.982725596E-6	54.105068585E+6	32.739913310E+6	4.412251262E+6	825.291478168E+3
9.522425076E+3	25.000000000E+0	77.728919771E-12	200.000002980E-3	4.576955100E-9	178.736101345E-12	43.697173909E+6	1.706431969E+6	24.841554850E-9	25.715928087E-3	9.702869967E-3	2.219644122E-3	535.134396257E-6	5.618566826E+6	2.119939950E+6	484.960868745E+3	116.919302148E+3
9.529566392E+3	25.000000000E+0	71.778454534E-12	400.000005960E-3	8.961757633E-9	205.421050802E-12	44.634102185E+6	1.023101109E+6	21.924012340E-9	82.950747717E-3	38.067536977E-3	2.918425895E-3	621.218055325E-6	9.256080237E+6	4.247775775E+6	325.653294213E+3	69.318774368E+3
9.538810176E+3	25.000000000E+0	68.536669453E-12	600.000023842E-3	12.737859333E-9	137.631281226E-12	47.103677953E+6	508.950474128E+3	18.880506812E-9	144.147667700E-3	66.739151467E-3	2.753681256E-3	974.613469712E-6	11.316475079E+6	5.239432288E+6	216.180849860E+3	76.513128635E+3
9.545677442E+3	25.000000000E+0	70.140751193E-12	800.000011921E-3	16.305215333E-9	196.153944852E-12	49.064056841E+6	590.247237038E+3	17.836781063E-9	203.718700967E-3	100.976935573E-3	3.855019810E-3	1.156906708E-3	12.494082219E+6	6.192922541E+6	236.428635313E+3	70.953169550E+3
9.552513483E+3	25.000000000E+0	65.070258556E-12	1.000000000E+0	19.621746667E-9	210.599707016E-12	50.963862544E+6	546.993838143E+3	16.582657655E-9	273.340325700E-3	131.231120833E-3	3.549457747E-3	2.171627172E-3	13.930478787E+6	6.688044804E+6	180.894076726E+3	110.674508708E+3
9.559366770E+3	25.000000000E+0	68.261755392E-12	1.200000048E+0	22.657669000E-9	173.765572864E-12	52.962202232E+6	406.176266896E+3	15.179608048E-9	337.016276667E-3	162.436718433E-3	4.912834260E-3	1.462915393E-3	14.874269576E+6	7.169171658E+6	216.828759393E+3	64.566014862E+3
9.566218373E+3	25.000000000E+0	63.171140772E-12	1.399999976E+0	25.294945333E-9	206.242513239E-12	55.347025175E+6	451.272355877E+3	13.186386382E-9	399.404322333E-3	195.595996633E-3	4.564121303E-3	1.173540589E-3	15.789886757E+6	7.732611953E+6	180.436100677E+3	46.394272606E+3
9.573066357E+3	25.000000000E+0	65.963692610E-12	1.600000024E+0	27.597012667E-9	272.424028029E-12	57.977290628E+6	572.323071265E+3	11.510333922E-9	469.983351233E-3	222.875069567E-3	7.111754460E-3	1.855793159E-3	17.030225587E+6	8.076057806E+6	257.700155646E+3	67.246161067E+3
9.579917959E+3	25.000000000E+0	62.106772387E-12	1.799999952E+0	30.041105667E-9	225.005866126E-12	59.917899570E+6	448.781048169E+3	12.220469370E-9	529.415076367E-3	255.758057500E-3	4.963141086E-3	4.705058790E-3	17.623022343E+6	8.513603339E+6	165.211665011E+3	156.620693065E+3
