[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 19:37:41"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
11.438304088E+3	-50.000000000E+0	-338.636584514E-12	0.000000000E+0	1.615368160E-9	1.937179350E-9	0.000000000E+0	0.000000000E+0	NaN	-97.971279757E-3	-70.329374090E-3	21.041109536E-3	13.852547300E-3	-60.649505285E+6	-43.537675083E+6	13.025581448E+6	8.575473779E+6
11.448757806E+3	-50.000000000E+0	-364.892600394E-12	-200.000002980E-3	-986.292513333E-12	127.213603437E-12	202.779601666E+6	26.154840965E+6	13.008303173E-9	-140.038030987E-3	-98.033951440E-3	15.107937681E-3	8.402320753E-3	141.984278592E+6	99.396426633E+6	15.317907696E+6	8.519096150E+6
11.458851244E+3	-50.000000000E+0	-347.091901517E-12	-400.000005960E-3	-2.664940267E-9	57.712104329E-12	150.097175146E+6	3.250513319E+6	8.393238642E-9	-195.544257833E-3	-133.002762720E-3	12.554647055E-3	8.810479920E-3	73.376600699E+6	49.908346684E+6	4.711042574E+6	3.306070320E+6
11.465736459E+3	-50.000000000E+0	-346.483340167E-12	-600.000023842E-3	-4.448227767E-9	62.596840100E-12	134.885184688E+6	1.898146134E+6	8.916436703E-9	-254.721771333E-3	-170.751990733E-3	13.086636097E-3	7.368535542E-3	57.263653009E+6	38.386521485E+6	2.941988761E+6	1.656510397E+6
11.472602545E+3	-50.000000000E+0	-344.062774567E-12	-800.000011921E-3	-6.231271967E-9	81.657934230E-12	128.384704792E+6	1.682422118E+6	8.915221531E-9	-308.252366367E-3	-204.847548633E-3	12.294762309E-3	7.755911611E-3	49.468610585E+6	32.874114584E+6	1.973074258E+6	1.244675510E+6
11.480296071E+3	-50.000000000E+0	-346.298946001E-12	-1.000000000E+0	-8.268614133E-9	247.005465502E-12	120.939250989E+6	3.612776640E+6	10.186711441E-9	-364.781575933E-3	-237.557720500E-3	11.832645129E-3	7.322272853E-3	44.116410568E+6	28.730052784E+6	1.431031239E+6	885.550194411E+3
11.488750555E+3	-50.000000000E+0	-346.392874569E-12	-1.200000048E+0	-10.252967333E-9	105.800789318E-12	117.039292984E+6	1.207733252E+6	9.921763634E-9	-411.538463333E-3	-266.630030033E-3	10.524723652E-3	8.815127875E-3	40.138474059E+6	26.005157470E+6	1.026505138E+6	859.763577517E+3
11.495929151E+3	-50.000000000E+0	-339.117721867E-12	-1.399999976E+0	-12.268625000E-9	116.028212198E-12	114.112215196E+6	1.079194801E+6	10.078291938E-9	-469.201946167E-3	-300.088314500E-3	11.767561581E-3	6.184784977E-3	38.244053117E+6	24.459816361E+6	959.158958838E+3	504.113947360E+3
11.502810089E+3	-50.000000000E+0	-345.695473173E-12	-1.600000024E+0	-14.408353000E-9	156.307886362E-12	111.046697970E+6	1.204681385E+6	10.698637449E-9	-523.134411833E-3	-332.801474433E-3	10.342211125E-3	5.666608618E-3	36.307717602E+6	23.097815166E+6	717.792736298E+3	393.286353934E+3
11.509663516E+3	-50.000000000E+0	-344.238788400E-12	-1.799999952E+0	-16.232467333E-9	231.678885513E-12	110.888869532E+6	1.582668191E+6	9.120574928E-9	-567.753522200E-3	-367.612061700E-3	9.576782132E-3	6.878915010E-3	34.976415510E+6	22.646715016E+6	589.976984757E+3	423.775071819E+3
11.516568826E+3	-50.000000000E+0	-345.288124944E-12	-2.000000000E+0	-18.104765667E-9	186.472710117E-12	110.468151691E+6	1.137783057E+6	9.361489435E-9	-610.871879467E-3	-386.252539833E-3	16.011174787E-3	5.612726831E-3	33.740943722E+6	21.334302081E+6	884.362442570E+3	310.013779478E+3
