[Main]
Experiment = "RvsVg"
Header length = 54    
Date = "20190903 20:14:48"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 5.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
890.654372215E+0	0.000000000E+0	-559.301910341E-15	100.000001490E-3	17.725850523E-9	279.202227872E-12	5.641478323E+6	88.859674987E+3	177.258502592E-9	44.968026259E-3	33.810582278E-3	507.756780716E-6	478.826939493E-6	2.536861416E+6	1.907416642E+6	28.644988293E+3	27.012917595E+3
973.168206692E+0	5.000000000E+0	14.759565445E-12	100.000001490E-3	18.980782453E-9	220.919538141E-12	5.268486783E+6	61.320531422E+3	NaN	45.306903077E-3	35.092925657E-3	480.343235391E-6	429.928552726E-6	2.386988165E+6	1.848866123E+6	25.306819493E+3	22.650728640E+3
1.055822159E+3	10.000000000E+0	42.197495440E-12	100.000001490E-3	20.264951937E-9	244.492301528E-12	4.934628111E+6	59.535230469E+3	NaN	45.324142008E-3	36.353760661E-3	524.614293676E-6	510.459477895E-6	2.236577819E+6	1.793922866E+6	25.887764023E+3	25.189276515E+3
1.138743087E+3	15.000000000E+0	64.977165893E-12	100.000001490E-3	21.443724443E-9	279.509896638E-12	4.663369078E+6	60.785047508E+3	NaN	46.442276638E-3	37.409977237E-3	518.200286275E-6	459.422349103E-6	2.165774736E+6	1.744565285E+6	24.165591553E+3	21.424559447E+3
1.221380538E+3	20.000000000E+0	89.743229746E-12	100.000001490E-3	22.881458887E-9	352.035933117E-12	4.370350771E+6	67.238742048E+3	NaN	46.532495337E-3	38.575118580E-3	493.621838186E-6	483.821644764E-6	2.033633238E+6	1.685867967E+6	21.573005490E+3	21.144702668E+3
1.304116106E+3	25.000000000E+0	115.240016603E-12	100.000001490E-3	24.358378688E-9	228.394742281E-12	4.105363611E+6	38.493672996E+3	NaN	46.222520908E-3	39.983744433E-3	469.276067685E-6	519.139953163E-6	1.897602525E+6	1.641478070E+6	19.265488631E+3	21.312582410E+3
1.387998384E+3	30.000000000E+0	144.211685649E-12	100.000001490E-3	25.889337500E-9	347.953622182E-12	3.862594069E+6	51.913402477E+3	NaN	46.312870694E-3	40.410222564E-3	485.512578046E-6	410.785572895E-6	1.788878170E+6	1.560882837E+6	18.753379767E+3	15.866978940E+3
1.470769266E+3	35.000000000E+0	172.474272827E-12	100.000001490E-3	27.309685617E-9	279.738458893E-12	3.661704602E+6	37.507557449E+3	NaN	46.684624553E-3	41.973286841E-3	493.294451955E-6	443.736217901E-6	1.709453020E+6	1.536937753E+6	18.062985377E+3	16.248309268E+3
1.553341556E+3	40.000000000E+0	198.963303240E-12	100.000001490E-3	28.190998930E-9	253.804587466E-12	3.547231573E+6	31.935854716E+3	NaN	47.593437935E-3	43.767449172E-3	441.122053026E-6	366.454937395E-6	1.688249432E+6	1.552532753E+6	15.647620509E+3	12.999005048E+3
1.635948276E+3	45.000000000E+0	231.719791503E-12	100.000001490E-3	29.541901380E-9	246.308805464E-12	3.385022521E+6	28.222992249E+3	NaN	47.602609824E-3	44.164301721E-3	419.277301790E-6	425.392129945E-6	1.611359039E+6	1.494971537E+6	14.192630880E+3	14.399619187E+3
1.718703750E+3	50.000000000E+0	255.221978736E-12	100.000001490E-3	30.241895440E-9	240.304467890E-12	3.306671094E+6	26.275067295E+3	NaN	47.913469888E-3	45.411349836E-3	388.378335298E-6	464.484800605E-6	1.584340835E+6	1.501603956E+6	12.842393959E+3	15.358984410E+3
1.802815702E+3	55.000000000E+0	281.830013956E-12	100.000001490E-3	31.154234180E-9	343.650784369E-12	3.209836612E+6	35.406515308E+3	NaN	48.107273054E-3	45.781845497E-3	419.838534743E-6	418.031400422E-6	1.544164841E+6	1.469522417E+6	13.476130799E+3	13.418124741E+3
1.885544282E+3	60.000000000E+0	313.525320520E-12	100.000001490E-3	31.948559057E-9	378.384613034E-12	3.130031665E+6	37.070711645E+3	NaN	48.934349632E-3	46.851068614E-3	402.198229066E-6	384.428641798E-6	1.531660616E+6	1.466453261E+6	12.588931737E+3	12.032738037E+3
1.968906830E+3	65.000000000E+0	343.683799938E-12	100.000001490E-3	32.729496504E-9	368.829532503E-12	3.055347994E+6	34.430794624E+3	NaN	49.275590268E-3	48.192817783E-3	459.163390699E-6	493.292780237E-6	1.505540736E+6	1.472458269E+6	14.029039238E+3	15.071810841E+3
2.052502073E+3	70.000000000E+0	367.859573358E-12	100.000001490E-3	33.645039950E-9	282.187914707E-12	2.972206353E+6	24.928509941E+3	NaN	48.237652290E-3	47.622729402E-3	460.350379844E-6	488.994030331E-6	1.433722545E+6	1.415445768E+6	13.682563032E+3	14.533911419E+3
2.135243762E+3	75.000000000E+0	397.893705946E-12	100.000001490E-3	34.051621117E-9	394.993635635E-12	2.936717789E+6	34.065480538E+3	NaN	49.232828569E-3	48.833530916E-3	488.936109166E-6	423.073773200E-6	1.445829213E+6	1.434102968E+6	14.358673482E+3	12.424482574E+3
2.218778897E+3	70.000000000E+0	314.913210323E-12	100.000001490E-3	6.448814533E-9	390.266448120E-12	15.506726232E+6	938.429061232E+3	NaN	37.741355953E-3	27.697757077E-3	1.084222136E-3	614.640702206E-6	5.852448657E+6	4.295015298E+6	168.127355854E+3	95.310649582E+3
2.302697225E+3	65.000000000E+0	271.893071483E-12	100.000001490E-3	3.585291701E-9	236.432102735E-12	27.891733736E+6	1.839320704E+6	NaN	35.853930947E-3	22.930315697E-3	2.697392673E-3	763.580546476E-6	10.000282805E+6	6.395662504E+6	752.349570875E+3	212.975849709E+3
2.388943245E+3	60.000000000E+0	235.747305936E-12	100.000001490E-3	2.578061189E-9	120.078590578E-12	38.788839431E+6	1.806671304E+6	NaN	36.652156003E-3	21.143214541E-3	3.923138337E-3	988.335568380E-6	14.216945728E+6	8.201207417E+6	1.521739808E+6	383.363890944E+3
2.472119074E+3	55.000000000E+0	195.669189647E-12	100.000001490E-3	2.060706425E-9	121.390276290E-12	48.527048909E+6	2.858588590E+6	NaN	35.269160524E-3	19.964410797E-3	4.764020639E-3	1.594068671E-3	17.115082522E+6	9.688139247E+6	2.311838591E+6	773.554471858E+3
2.555518343E+3	50.000000000E+0	173.264950535E-12	100.000001490E-3	1.751037794E-9	87.516130610E-12	57.108990916E+6	2.854283285E+6	NaN	35.468911578E-3	18.933537909E-3	6.154725738E-3	1.791186558E-3	20.255937189E+6	10.812752283E+6	3.514901710E+6	1.022928554E+6
2.638698236E+3	45.000000000E+0	138.926154839E-12	100.000001490E-3	1.551246498E-9	77.289011097E-12	64.464288312E+6	3.211856466E+6	NaN	35.467455835E-3	18.474236591E-3	7.139093267E-3	2.476433055E-3	22.863842646E+6	11.909284962E+6	4.602165598E+6	1.596414921E+6
2.722258322E+3	40.000000000E+0	106.659137656E-12	100.000001490E-3	1.421153535E-9	114.083843200E-12	70.365375064E+6	5.648617281E+6	NaN	34.240816517E-3	18.288627089E-3	7.872947386E-3	3.312502410E-3	24.093678608E+6	12.868860853E+6	5.539828875E+6	2.330854710E+6
2.805747565E+3	35.000000000E+0	80.818727983E-12	100.000001490E-3	1.286049098E-9	81.080280823E-12	77.757530113E+6	4.902303019E+6	NaN	35.841242501E-3	19.241944381E-3	9.369484483E-3	3.925345994E-3	27.869264515E+6	14.962060473E+6	7.285479610E+6	3.052252048E+6
2.888971071E+3	30.000000000E+0	51.066059078E-12	100.000001490E-3	1.226958802E-9	101.838240511E-12	81.502330277E+6	6.764737253E+6	NaN	36.922629863E-3	19.036985381E-3	9.938547218E-3	4.580891787E-3	30.092803290E+6	15.515586469E+6	8.100147458E+6	3.733533499E+6
2.972266382E+3	25.000000000E+0	26.300081788E-12	100.000001490E-3	1.151681163E-9	99.981166973E-12	86.829588515E+6	7.537957436E+6	NaN	37.624628163E-3	19.520450848E-3	11.205567208E-3	4.738341259E-3	32.669309328E+6	16.949526895E+6	9.729747753E+6	4.114282157E+6
3.055536407E+3	20.000000000E+0	-1.853627177E-12	100.000001490E-3	1.116127479E-9	57.013395982E-12	89.595501783E+6	4.576667020E+6	NaN	37.081456770E-3	19.361697249E-3	10.952730089E-3	5.894709201E-3	33.223316766E+6	17.347209545E+6	9.813153336E+6	5.281394209E+6
3.139271352E+3	15.000000000E+0	-28.029849506E-12	100.000001490E-3	1.086827817E-9	81.192974682E-12	92.010896226E+6	6.873801213E+6	NaN	38.234163045E-3	19.799941109E-3	12.074439112E-3	5.795814190E-3	35.179595558E+6	18.218102995E+6	11.109799475E+6	5.332780500E+6
3.224101663E+3	10.000000000E+0	-64.956633995E-12	100.000001490E-3	1.065426904E-9	69.577303232E-12	93.859091679E+6	6.129432678E+6	NaN	39.187647703E-3	20.890865739E-3	13.236921369E-3	5.596965583E-3	36.781169636E+6	19.607976534E+6	12.424053978E+6	5.253260980E+6
3.309264644E+3	5.000000000E+0	-85.127552461E-12	100.000001490E-3	1.034901835E-9	72.245520345E-12	96.627523561E+6	6.745476218E+6	NaN	39.341301187E-3	21.913017237E-3	13.438728057E-3	6.566570159E-3	38.014524508E+6	21.174005578E+6	12.985509926E+6	6.345114033E+6
3.396766483E+3	0.000000000E+0	-109.164046437E-12	100.000001490E-3	1.024239687E-9	96.562350119E-12	97.633398515E+6	9.204593939E+6	NaN	23.844717837E-3	12.316112661E-3	15.653710570E-3	8.363410841E-3	23.280408044E+6	12.024639177E+6	15.283249396E+6	8.165482114E+6
3.485954493E+3	-5.000000000E+0	-132.493156492E-12	100.000001490E-3	994.740284967E-12	123.534244040E-12	100.528754089E+6	12.484408069E+6	NaN	39.196116515E-3	22.310860107E-3	13.783755522E-3	7.000756816E-3	39.403366996E+6	22.428829358E+6	13.856637487E+6	7.037773499E+6
3.575639249E+3	-10.000000000E+0	-159.210245219E-12	100.000001490E-3	979.942463000E-12	135.544376757E-12	102.046809140E+6	14.114982937E+6	NaN	40.313860468E-3	23.230111817E-3	14.014668570E-3	7.526409333E-3	41.139007636E+6	23.705587515E+6	14.301521874E+6	7.680460452E+6
3.666261707E+3	-15.000000000E+0	-177.824165578E-12	100.000001490E-3	957.681894000E-12	110.964585132E-12	104.418807661E+6	12.098787441E+6	NaN	26.771236263E-3	13.363893662E-3	17.060408276E-3	8.867403211E-3	27.954205285E+6	13.954418211E+6	17.814274638E+6	9.259236566E+6
3.757697943E+3	-20.000000000E+0	-195.519536672E-12	100.000001490E-3	940.820264667E-12	150.063408409E-12	106.290229118E+6	16.953582593E+6	NaN	40.440899794E-3	22.688613813E-3	14.816502113E-3	8.451008371E-3	42.984724408E+6	24.115779246E+6	15.748493808E+6	8.982596027E+6
3.848380990E+3	-25.000000000E+0	-205.639606732E-12	100.000001490E-3	957.877674667E-12	167.966237749E-12	104.397465496E+6	18.306355784E+6	NaN	25.646102471E-3	14.138571317E-3	17.626100699E-3	9.647306947E-3	26.773880579E+6	14.760309892E+6	18.401202122E+6	10.071543791E+6
3.939527161E+3	-30.000000000E+0	-228.379030502E-12	100.000001490E-3	907.180355000E-12	83.504188255E-12	110.231665555E+6	10.146610541E+6	NaN	40.361551392E-3	24.357133986E-3	15.434451981E-3	8.753008959E-3	44.491209680E+6	26.849274074E+6	17.013653234E+6	9.648587418E+6
4.030558379E+3	-35.000000000E+0	-248.354292687E-12	100.000001490E-3	907.717886333E-12	121.747826194E-12	110.166388694E+6	14.776086871E+6	NaN	44.184991903E-3	24.427148377E-3	16.365105554E-3	9.246152815E-3	48.677009198E+6	26.910506827E+6	18.028845527E+6	10.186152497E+6
