[Main]
Experiment = "RvsVg"
Header length = 65    
Date = "20190912 16:16:58"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = 7.500000E+1
Final gate voltage (V) = -7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E-1
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E-1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 1.000000E+0
Final Voltage (V) = 1.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = FALSE
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
359.496425629E+0	0.000000000E+0	-211.692276671E-12	1.000000000E+0	674.602721573E-12	109.685619284E-12	1.482353937E+9	241.020239529E+6	NaN	9.380643788E-3	4.064690633E-3	21.661659548E-3	10.540552134E-3	13.905434247E+6	6.025310162E+6	32.110246305E+6	15.624828951E+6
434.983980656E+0	-5.000000000E+0	-1.700429371E-9	1.000000000E+0	769.652734333E-12	184.817549199E-12	1.299287270E+9	311.999266975E+6	NaN	10.497172160E-3	7.310293847E-3	23.611114240E-3	14.088112194E-3	13.638842158E+6	9.498171735E+6	30.677620161E+6	18.304504831E+6
510.190525532E+0	-10.000000000E+0	-4.696388523E-9	1.000000000E+0	798.377895000E-12	181.370617403E-12	1.252539689E+9	284.544321766E+6	NaN	-620.006376667E-6	5.491289483E-3	28.329277199E-3	15.532163423E-3	-776.582593969E+3	6.878058020E+6	35.483544041E+6	19.454651137E+6
584.510153294E+0	-15.000000000E+0	-8.859120223E-9	1.000000000E+0	868.605763333E-12	203.052063311E-12	1.151270280E+9	269.129927023E+6	NaN	-5.633954960E-3	4.784483380E-3	38.080566747E-3	13.835785000E-3	-6.486204902E+6	5.508233519E+6	43.841024726E+6	15.928728066E+6
660.473131657E+0	-20.000000000E+0	-13.392538278E-9	1.000000000E+0	876.188210000E-12	208.650758964E-12	1.141307300E+9	271.784796439E+6	NaN	-9.758682170E-3	-5.069522873E-3	45.755570805E-3	23.153059396E-3	-11.137655196E+6	-5.785883461E+6	52.221166962E+6	26.424755700E+6
737.214639664E+0	-25.000000000E+0	-27.277980526E-9	1.000000000E+0	941.491166667E-12	200.292680294E-12	1.062144856E+9	225.960526956E+6	NaN	-6.414310987E-3	-7.387500387E-3	47.027880615E-3	42.784413296E-3	-6.812927422E+6	-7.846595537E+6	49.950421502E+6	45.443244516E+6
814.475952625E+0	-30.000000000E+0	-52.111217859E-9	1.000000000E+0	957.829663333E-12	211.866177639E-12	1.044026969E+9	230.932504694E+6	NaN	-7.543599927E-3	-11.446437373E-3	47.969772569E-3	49.039567342E-3	-7.875721765E+6	-11.950389314E+6	50.081736248E+6	51.198630841E+6
893.301467896E+0	-35.000000000E+0	-31.902448801E-9	1.000000000E+0	1.024633698E-9	213.617285435E-12	975.958532669E+6	203.469408571E+6	NaN	29.991469600E-3	101.605483097E-3	23.209926508E-3	36.410342422E-3	29.270430663E+6	99.162738194E+6	22.651925819E+6	35.534984365E+6
970.546049595E+0	-40.000000000E+0	-37.395746470E-9	1.000000000E+0	987.117767167E-12	194.654580209E-12	1.013050350E+9	199.768353143E+6	NaN	20.821054867E-3	10.626753900E-3	29.475528661E-3	20.188576675E-3	21.092776930E+6	10.765436763E+6	29.860194641E+6	20.452044677E+6
1.045086243E+3	-45.000000000E+0	-57.756082702E-9	1.000000000E+0	820.749972667E-12	208.060726722E-12	1.218397847E+9	308.864757870E+6	NaN	20.279452500E-3	12.197148767E-3	27.068048809E-3	20.337589560E-3	24.708441274E+6	14.860979802E+6	32.979652404E+6	24.779275342E+6
1.120148798E+3	-50.000000000E+0	-65.605274576E-9	1.000000000E+0	1.030224246E-9	199.625492863E-12	970.662459306E+6	188.084266746E+6	NaN	20.548560900E-3	8.098985900E-3	28.585913849E-3	20.832012596E-3	19.945716658E+6	7.861381572E+6	27.747273438E+6	20.220852578E+6
1.194941291E+3	-55.000000000E+0	-82.448718075E-9	1.000000000E+0	929.295617133E-12	189.402964658E-12	1.076083844E+9	219.320382597E+6	NaN	24.799819700E-3	13.519056067E-3	28.016914632E-3	21.951000058E-3	26.686685316E+6	14.547637821E+6	30.148549197E+6	23.621116524E+6
1.269431428E+3	-60.000000000E+0	-129.071002656E-9	1.000000000E+0	1.082835309E-9	245.023505223E-12	923.501470627E+6	208.969513277E+6	NaN	19.893220433E-3	17.341573167E-3	28.413185073E-3	21.527359256E-3	18.371418326E+6	16.014968322E+6	26.239618200E+6	19.880547932E+6
1.343911870E+3	-65.000000000E+0	-96.827336904E-9	1.000000000E+0	994.212469133E-12	188.928481645E-12	1.005821221E+9	191.134472820E+6	NaN	851.342733333E-6	5.363122200E-3	27.928268722E-3	18.843694222E-3	856.298587841E+3	5.394342122E+6	28.090845356E+6	18.953387538E+6
1.418740257E+3	-70.000000000E+0	-75.275217881E-9	1.000000000E+0	1.056601082E-9	219.570133899E-12	946.430982062E+6	196.675908186E+6	NaN	-6.479561733E-3	2.230820733E-3	26.812111981E-3	19.258559596E-3	-6.132457975E+6	2.111317857E+6	25.375813474E+6	18.226897471E+6
1.493773041E+3	-75.000000000E+0	-82.133389157E-9	1.000000000E+0	858.386842027E-12	226.700926176E-12	1.164975919E+9	307.671444669E+6	NaN	7.490136433E-3	2.630248467E-3	21.197694453E-3	19.942345657E-3	8.725828574E+6	3.064176124E+6	24.694803573E+6	23.232352456E+6
1.569312158E+3	-70.000000000E+0	-80.812061990E-9	1.000000000E+0	914.712262473E-12	213.305299393E-12	1.093239963E+9	254.936866146E+6	NaN	36.356981567E-3	22.547549233E-3	13.381890442E-3	10.484688707E-3	39.746905183E+6	24.649881890E+6	14.629617411E+6	11.462280694E+6
1.644370776E+3	-65.000000000E+0	-79.120804960E-9	1.000000000E+0	783.048344267E-12	341.180203490E-12	1.277060359E+9	556.425048974E+6	NaN	46.632466300E-3	33.885436833E-3	13.342542238E-3	7.244473611E-3	59.552474175E+6	43.273748143E+6	17.039231787E+6	9.251630073E+6
1.719392210E+3	-60.000000000E+0	-70.794034694E-9	1.000000000E+0	664.486232267E-12	273.613476640E-12	1.504922076E+9	619.677190040E+6	NaN	54.356686333E-3	41.168232300E-3	10.426475984E-3	6.020517837E-3	81.802577230E+6	61.954981610E+6	15.691033882E+6	9.060410201E+6
1.794165829E+3	-55.000000000E+0	-69.073843179E-9	1.000000000E+0	744.749496900E-12	282.397035707E-12	1.342733368E+9	509.142905550E+6	NaN	44.036846367E-3	27.762548700E-3	7.065637067E-3	4.133193772E-3	59.129743021E+6	37.277700509E+6	9.487266653E+6	5.549777192E+6
1.868826786E+3	-50.000000000E+0	-55.030688628E-9	1.000000000E+0	835.999960433E-12	252.235760033E-12	1.196172305E+9	360.906034530E+6	NaN	25.337316233E-3	11.662094233E-3	3.810372591E-3	3.514906420E-3	30.307795972E+6	13.949874145E+6	4.557862167E+6	4.204433716E+6
1.943779748E+3	-45.000000000E+0	-52.109427292E-9	1.000000000E+0	714.951455667E-12	302.560473358E-12	1.398696362E+9	591.914639793E+6	NaN	24.252641633E-3	16.710705800E-3	4.099728380E-3	3.375240122E-3	33.922081620E+6	23.373203408E+6	5.734275169E+6	4.720936079E+6
2.018929325E+3	-40.000000000E+0	-45.432399768E-9	1.000000000E+0	698.526998700E-12	262.986523700E-12	1.431583893E+9	538.973113486E+6	NaN	13.840134200E-3	6.486853100E-3	2.619103030E-3	1.261363474E-3	19.813313194E+6	9.286474413E+6	3.749465712E+6	1.805747632E+6
2.094428105E+3	-35.000000000E+0	-38.459551277E-9	1.000000000E+0	737.474607667E-12	291.626483425E-12	1.355978890E+9	536.207418148E+6	NaN	20.072049100E-3	15.035397100E-3	2.694159363E-3	2.313392907E-3	27.217274861E+6	20.387681072E+6	3.653223223E+6	3.136911946E+6
2.169819565E+3	-30.000000000E+0	-27.376410472E-9	1.000000000E+0	649.613196233E-12	327.697314289E-12	1.539377595E+9	776.538879806E+6	NaN	34.272377760E-3	27.370741573E-3	11.795600062E-3	5.073724481E-3	52.758130467E+6	42.133906349E+6	18.157882460E+6	7.810377792E+6
2.247689882E+3	-25.000000000E+0	-22.658512281E-9	1.000000000E+0	729.654673350E-12	310.250100254E-12	1.370511334E+9	582.743172101E+6	NaN	-1.805428373E-3	3.452479603E-3	9.459158619E-3	5.481012671E-3	-2.474360049E+6	4.731662428E+6	12.963884100E+6	7.511789989E+6
2.325680113E+3	-20.000000000E+0	-15.770840989E-9	1.000000000E+0	718.494428000E-12	280.920423949E-12	1.391799242E+9	544.172394067E+6	NaN	5.919346890E-3	5.977872840E-3	1.225800035E-3	1.206000129E-3	8.238542512E+6	8.319998885E+6	1.706067559E+6	1.678510066E+6
