[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191024 16:35:24"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+2
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
97.585609913E+0	0.000000000E+0	-332.877453380E-12	100.000001490E-3	924.599143333E-12	317.011841099E-12	108.154979605E+6	37.082458334E+6	393.149412802E-3	333.157747290E-3	381.691486585E-3	283.151969287E-3	425.210660897E+6	360.326688265E+6	412.818343319E+6	306.242950071E+6	300.002800000E+0
134.135504246E+0	-5.000000000E+0	-269.391090916E-12	100.000001490E-3	141.872251333E-12	60.153086380E-12	704.859481331E+6	298.856702901E+6	NaN	122.050534932E-3	NaN	278.740669172E-3	NaN	860.284754664E+6	NaN	1.964730006E+9	300.005200000E+0
173.169538498E+0	-10.000000000E+0	-252.360351135E-12	100.000001490E-3	114.100892000E-12	47.342508284E-12	876.417350796E+6	363.641291171E+6	NaN	110.570717200E-3	NaN	278.902659775E-3	NaN	969.060936003E+6	NaN	2.444351266E+9	300.002800000E+0
211.845459461E+0	-15.000000000E+0	-242.959929952E-12	100.000001490E-3	116.991551000E-12	52.958863141E-12	854.762592985E+6	386.927558380E+6	NaN	113.628186902E-3	NaN	282.785732522E-3	NaN	971.251222256E+6	NaN	2.417146624E+9	300.003500000E+0
250.223864079E+0	-20.000000000E+0	-232.096112468E-12	100.000001490E-3	122.517448667E-12	69.834750465E-12	816.210283338E+6	465.238560580E+6	NaN	116.696919489E-3	NaN	285.629798181E-3	NaN	952.492243012E+6	NaN	2.331339750E+9	300.007400000E+0
289.109746456E+0	-25.000000000E+0	-239.255409466E-12	100.000001490E-3	134.249723333E-12	79.063070215E-12	744.880503342E+6	438.679038401E+6	NaN	120.953876877E-3	NaN	287.346757980E-3	NaN	900.961833468E+6	NaN	2.140389945E+9	300.003900000E+0
327.718404770E+0	-30.000000000E+0	-244.614410209E-12	100.000001490E-3	146.873091333E-12	95.433275362E-12	680.859921871E+6	442.400250565E+6	NaN	117.572878864E-3	NaN	285.759936619E-3	NaN	800.506599246E+6	NaN	1.945624852E+9	299.999500000E+0
366.089752197E+0	-35.000000000E+0	-258.190318662E-12	100.000001490E-3	159.671195333E-12	111.349621737E-12	626.287047462E+6	436.752701001E+6	NaN	118.479614271E-3	NaN	281.147149172E-3	NaN	742.022467004E+6	NaN	1.760788153E+9	300.002700000E+0
404.494349003E+0	-40.000000000E+0	-262.374239464E-12	100.000001490E-3	176.826132667E-12	134.648953898E-12	565.527278022E+6	430.635762022E+6	NaN	116.900742237E-3	NaN	282.684380887E-3	NaN	661.105575707E+6	NaN	1.598657261E+9	300.000600000E+0
443.032809734E+0	-45.000000000E+0	-283.558745003E-12	100.000001490E-3	184.966240000E-12	147.251859249E-12	540.639207945E+6	430.403562037E+6	NaN	118.939657144E-3	NaN	279.583967684E-3	NaN	643.034410734E+6	NaN	1.511540526E+9	300.001200000E+0
