[Main]
Experiment = "RvsT"
Header length = 73    
Date = "20191025 15:25:34"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 2.700000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
325.898134232E+0	270.008700000E+0	100.000001490E-3	522.989326000E-12	60.771616130E-12	191.208494167E+6	22.218520782E+6	19.446054483E-3	13.572661540E-3	14.425025177E-3	46.983229143E-3	37.182507397E+6	25.952081362E+6	27.581873013E+6	89.835923617E+6	75.000000000E+0	162.583155272E-12
385.787239075E+0	269.030300000E+0	100.000001490E-3	347.423138667E-12	10.485744063E-12	287.833452527E+6	8.687239219E+6	17.556282050E-3	8.130360310E-3	22.626362899E-3	86.782966701E-3	50.532852007E+6	23.401896434E+6	65.126240543E+6	249.790405539E+6	75.000000000E+0	83.787303484E-12
442.015274525E+0	268.028100000E+0	100.000001490E-3	243.123411333E-12	18.644733710E-12	411.313747786E+6	31.542973408E+6	15.203574090E-3	8.195264960E-3	31.965627109E-3	122.892431648E-3	62.534389455E+6	33.708250946E+6	131.479016904E+6	505.473458824E+6	75.000000000E+0	-12.859725437E-12
494.804200172E+0	267.029300000E+0	100.000001490E-3	228.740653667E-12	39.273614266E-12	437.176338736E+6	75.060968038E+6	11.485795970E-3	6.627428110E-3	42.593187545E-3	151.704370777E-3	50.213181548E+6	28.973547132E+6	186.207335085E+6	663.215603985E+6	75.000000000E+0	63.422045393E-12
554.387176991E+0	266.030900000E+0	100.000001490E-3	154.457796000E-12	7.407679783E-12	647.426054753E+6	31.050066884E+6	11.724755493E-3	3.805763433E-3	46.603254568E-3	173.464840132E-3	75.909120789E+6	24.639503683E+6	301.721607940E+6	1.123056554E+9	75.000000000E+0	172.740655113E-12
608.217711926E+0	265.034500000E+0	100.000001490E-3	131.762443667E-12	10.403520351E-12	758.941612703E+6	59.923482697E+6	-818.096530000E-6	-3.953337423E-3	57.166077846E-3	183.923086352E-3	-6.208874906E+6	-30.003522349E+6	433.857146658E+6	1.395868817E+9	75.000000000E+0	143.977968436E-12
662.103988647E+0	264.043500000E+0	100.000001490E-3	119.032904000E-12	12.955365855E-12	840.103854730E+6	91.435665503E+6	5.082165457E-3	2.266268277E-3	62.938831973E-3	205.855588077E-3	42.695467269E+6	19.039006867E+6	528.751545646E+6	1.729400705E+9	75.000000000E+0	116.673407047E-12
717.064249039E+0	263.060000000E+0	100.000001490E-3	127.282614000E-12	26.199836086E-12	785.653266754E+6	161.718762384E+6	3.844374260E-3	2.335606173E-3	72.049774509E-3	216.089996616E-3	30.203451510E+6	18.349765926E+6	566.061398682E+6	1.697718092E+9	75.000000000E+0	59.298732591E-12
769.542469501E+0	262.075300000E+0	100.000001490E-3	117.172696833E-12	28.577357758E-12	853.441153039E+6	208.146554745E+6	3.870932347E-3	1.223279933E-3	80.137677191E-3	224.134644768E-3	33.036129160E+6	10.439974212E+6	683.927906042E+6	1.912857268E+9	75.000000000E+0	66.841497615E-12
824.446910381E+0	261.034300000E+0	100.000001490E-3	96.495581917E-12	24.380056987E-12	1.036316891E+9	261.830276252E+6	-839.110916667E-6	9.038017333E-3	89.211342878E-3	234.514191198E-3	-8.695848038E+6	93.662498881E+6	924.512201555E+6	2.430310140E+9	75.000000000E+0	162.231519885E-12
