[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191025 19:14:22"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+2
Delay after setting initial temperature (s) = 1.000000E+2
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.050000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.529676437E+0	0.000000000E+0	-39.776841745E-12	100.000001490E-3	-63.458764667E-12	80.413706838E-12	-1.575826476E+9	1.996856525E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.999000000E+0
37.626568317E+0	-5.000000000E+0	-81.432970696E-12	100.000001490E-3	-343.369933333E-15	507.904606780E-15	-291.231094462E+9	430.782081235E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	100.000400000E+0
70.952378750E+0	-10.000000000E+0	-128.589059771E-12	100.000001490E-3	504.966733333E-15	318.158325453E-15	198.032850263E+9	124.772179760E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999300000E+0
104.198921680E+0	-15.000000000E+0	-142.123083441E-12	100.000001490E-3	507.177700000E-15	319.322705882E-15	197.169555148E+9	124.139361544E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999000000E+0
137.514809132E+0	-20.000000000E+0	-168.140127169E-12	100.000001490E-3	417.316833333E-15	521.497730387E-15	239.626091024E+9	299.447452460E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000500000E+0
170.801156044E+0	-25.000000000E+0	-170.223693474E-12	100.000001490E-3	837.333133333E-15	371.609580319E-15	119.426781897E+9	53.001767795E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000800000E+0
204.088996410E+0	-30.000000000E+0	-195.338871930E-12	100.000001490E-3	1.196694867E-12	468.292001275E-15	83.563491643E+9	32.700160939E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999500000E+0
237.338344097E+0	-35.000000000E+0	-210.205508555E-12	100.000001490E-3	1.064670667E-12	433.790178717E-15	93.925759975E+9	38.269178894E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000200000E+0
270.610995293E+0	-40.000000000E+0	-212.507051770E-12	100.000001490E-3	919.999133333E-15	523.288961743E-15	108.695756188E+9	61.825372808E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.998700000E+0
303.873353004E+0	-45.000000000E+0	-229.582936458E-12	100.000001490E-3	1.271666700E-12	315.386979738E-15	78.636958481E+9	19.502809055E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000100000E+0
