[Main]
Experiment = "RvsVg"
Header length = 69    
Date = "20191026 20:27:52"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.576823235E+0	0.000000000E+0	-3.092003823E-12	100.000001490E-3	397.913367817E-12	27.282364234E-12	251.310987713E+6	17.230780510E+6	51.385738147E-3	35.959342241E-3	37.077673450E-3	151.488822920E-3	129.138004157E+6	90.369776813E+6	93.180265980E+6	380.708051482E+6	299.997600000E+0
33.852684975E+0	-5.000000000E+0	-103.472861645E-12	100.000001490E-3	87.726133900E-12	373.361963839E-12	1.139911188E+9	4.851456011E+9	-27.010183420E-3	226.217680203E-3	259.306069227E-3	269.935878447E-3	-307.892098047E+6	2.578680607E+9	2.955858850E+9	3.077029232E+9	300.001200000E+0
65.789543152E+0	-10.000000000E+0	-127.261810580E-12	100.000001490E-3	99.780326667E-12	328.504717424E-12	1.002201585E+9	3.299527666E+9	52.229938483E-3	278.026296837E-3	351.328934275E-3	287.188067139E-3	523.449263278E+6	2.786383911E+9	3.521024094E+9	2.878203317E+9	299.999700000E+0
98.056164742E+0	-15.000000000E+0	-165.206544423E-12	100.000001490E-3	121.773386333E-12	283.788036134E-12	821.197508759E+6	1.913768150E+9	NaN	284.832963200E-3	NaN	293.450147342E-3	NaN	2.339041163E+9	NaN	2.409805264E+9	299.997600000E+0
130.289755344E+0	-20.000000000E+0	-183.286334489E-12	100.000001490E-3	126.885598333E-12	254.458542453E-12	788.111517805E+6	1.580492276E+9	NaN	303.535038367E-3	NaN	302.395081960E-3	NaN	2.392194562E+9	NaN	2.383210435E+9	300.000600000E+0
162.339402676E+0	-25.000000000E+0	-196.092780671E-12	100.000001490E-3	236.816948333E-12	229.004671304E-12	422.267080941E+6	408.337050005E+6	NaN	343.238256000E-3	NaN	286.990084430E-3	NaN	1.449382143E+9	NaN	1.211864634E+9	300.000000000E+0
192.675153732E+0	-30.000000000E+0	-222.798397324E-12	100.000001490E-3	241.444003333E-12	226.085837143E-12	414.174715916E+6	387.829211239E+6	0.000000000E+0	313.264074487E-3	27.170417096E+21	289.479435289E-3	0.000000000E+0	1.297460571E+9	NaN	1.198950611E+9	299.997600000E+0
223.060245037E+0	-35.000000000E+0	-252.150865003E-12	100.000001490E-3	253.044110667E-12	236.463991756E-12	395.188021672E+6	369.294258034E+6	0.000000000E+0	302.478679940E-3	27.170417096E+21	293.746252228E-3	0.000000000E+0	1.195359493E+9	NaN	1.160849986E+9	300.000300000E+0
253.603635311E+0	-40.000000000E+0	-262.779854820E-12	100.000001490E-3	243.067756667E-12	239.587939844E-12	411.407925352E+6	405.518109939E+6	0.000000000E+0	278.521524671E-3	27.170417096E+21	277.737693810E-3	0.000000000E+0	1.145859609E+9	NaN	1.142634867E+9	300.003300000E+0
283.143369675E+0	-45.000000000E+0	-285.648713942E-12	100.000001490E-3	-5.292230000E-12	39.087977796E-12	-18.895626511E+9	139.561551465E+9	0.000000000E+0	289.278537242E-3	27.170417096E+21	283.677676772E-3	-0.000000000E+0	-54.660991159E+9	NaN	53.602673499E+9	300.004300000E+0
312.392817497E+0	-50.000000000E+0	-313.643253961E-12	100.000001490E-3	-9.950856667E-12	36.154541179E-12	-10.049386183E+9	36.512529396E+9	0.000000000E+0	281.996616371E-3	27.170417096E+21	290.469666190E-3	-0.000000000E+0	-28.338928578E+9	NaN	29.190418064E+9	300.000400000E+0
341.611415863E+0	-55.000000000E+0	-317.587525260E-12	100.000001490E-3	-17.845143333E-12	39.959105813E-12	-5.603765665E+9	12.548033992E+9	0.000000000E+0	257.271976238E-3	27.170417096E+21	291.915795028E-3	-0.000000000E+0	-14.416918454E+9	NaN	16.358276847E+9	300.001400000E+0
370.806227207E+0	-60.000000000E+0	-345.208447938E-12	100.000001490E-3	-16.478320000E-12	43.802144895E-12	-6.068579897E+9	16.131305616E+9	0.000000000E+0	242.762782199E-3	27.170417096E+21	293.999315179E-3	-0.000000000E+0	-14.732253179E+9	NaN	17.841583073E+9	299.998500000E+0
400.217684269E+0	-65.000000000E+0	-358.162465427E-12	100.000001490E-3	-16.498046667E-12	41.650064476E-12	-6.061323714E+9	15.302085670E+9	0.000000000E+0	215.323461426E-3	27.170417096E+21	291.321868481E-3	-0.000000000E+0	-13.051451834E+9	NaN	17.657961234E+9	299.997400000E+0
429.589560986E+0	-70.000000000E+0	-370.588272106E-12	100.000001490E-3	-12.307740000E-12	43.299594981E-12	-8.124968637E+9	28.584277147E+9	0.000000000E+0	188.341750245E-3	27.170417096E+21	291.432119973E-3	-0.000000000E+0	-15.302707909E+9	NaN	23.678767993E+9	300.000400000E+0
459.012377739E+0	-75.000000000E+0	-374.961354558E-12	100.000001490E-3	-13.947053333E-12	40.119119071E-12	-7.169973406E+9	20.624644499E+9	0.000000000E+0	174.756589092E-3	27.170417096E+21	286.765359257E-3	-0.000000000E+0	-12.530000776E+9	NaN	20.560999690E+9	300.003100000E+0
488.231002331E+0	-70.000000000E+0	-263.019613034E-12	100.000001490E-3	13.728746667E-12	20.653215146E-12	7.283986217E+9	10.957863678E+9	0.000000000E+0	83.748356465E-3	27.170417096E+21	252.556986966E-3	0.000000000E+0	6.100218651E+9	NaN	18.396215845E+9	299.999800000E+0
517.643857479E+0	-65.000000000E+0	-219.898584064E-12	100.000001490E-3	39.111876667E-12	14.940520490E-12	2.556768174E+9	976.671296485E+6	0.000000000E+0	108.227794267E-3	27.170417096E+21	235.309803790E-3	0.000000000E+0	2.767133758E+9	NaN	6.016326084E+9	299.996300000E+0
546.889075279E+0	-60.000000000E+0	-184.203218882E-12	100.000001490E-3	37.865671000E-12	17.233454206E-12	2.640914550E+9	1.201935124E+9	NaN	35.478575785E-3	NaN	239.163754465E-3	NaN	936.958856084E+6	NaN	6.316110296E+9	300.002800000E+0
581.765156269E+0	-55.000000000E+0	-167.575049092E-12	100.000001490E-3	32.181263667E-12	10.910068354E-12	3.107398222E+9	1.053467861E+9	275.278480683E-3	164.138065562E-3	361.584761825E-3	250.846187267E-3	8.553998486E+9	5.100423254E+9	11.235878291E+9	7.794789846E+9	300.005600000E+0
614.414828300E+0	-50.000000000E+0	-136.551494649E-12	100.000001490E-3	75.971664000E-12	73.170312331E-12	1.316280258E+9	1.267744216E+9	114.686362333E-3	160.634039386E-3	327.109317443E-3	245.927377806E-3	1.509593924E+9	2.114394117E+9	4.305675303E+9	3.237093475E+9	299.998800000E+0
647.202911377E+0	-45.000000000E+0	-116.456831331E-12	100.000001490E-3	105.966558000E-12	170.772158943E-12	943.693967017E+6	1.520825619E+9	72.912293790E-3	139.805331327E-3	279.056488134E-3	233.438483497E-3	688.068907457E+6	1.319334458E+9	2.633439204E+9	2.202944853E+9	299.996900000E+0
678.223716736E+0	-40.000000000E+0	-91.997325672E-12	100.000001490E-3	106.454265667E-12	18.864515553E-12	939.370544373E+6	166.463693434E+6	69.313747303E-3	117.497144476E-3	220.754187898E-3	225.611964504E-3	651.112915666E+6	1.103733549E+9	2.073699786E+9	2.119332308E+9	300.002800000E+0
709.432477474E+0	-35.000000000E+0	-71.562639321E-12	100.000001490E-3	144.529122000E-12	21.144121044E-12	691.902089394E+6	101.222932283E+6	67.752013540E-3	98.636802643E-3	157.341601294E-3	211.646545112E-3	468.777590305E+6	682.470088231E+6	1.088649811E+9	1.464386846E+9	300.003300000E+0
740.623639107E+0	-30.000000000E+0	-51.151269187E-12	100.000001490E-3	199.558232600E-12	19.882273910E-12	501.106870848E+6	49.925998714E+6	76.232770681E-3	72.634259045E-3	106.321876529E-3	198.475725064E-3	382.007646027E+6	363.975257239E+6	532.786220564E+6	994.575480439E+6	299.999100000E+0
771.837491989E+0	-25.000000000E+0	-30.095023984E-12	100.000001490E-3	304.118027500E-12	42.333168908E-12	328.819709611E+6	45.771638142E+6	73.650169400E-3	59.641705323E-3	66.882575028E-3	173.186915923E-3	242.176269542E+6	196.113679328E+6	219.923085710E+6	569.472705537E+6	299.997800000E+0
803.088744640E+0	-20.000000000E+0	-14.603818560E-12	100.000001490E-3	448.598237000E-12	33.954078595E-12	222.916617236E+6	16.872398769E+6	68.076337624E-3	52.851273172E-3	44.974973209E-3	149.406190737E-3	151.753466709E+6	117.814268567E+6	100.256687386E+6	333.051221369E+6	300.003100000E+0
834.314274311E+0	-15.000000000E+0	-5.779018757E-12	100.000001490E-3	607.864188900E-12	73.819497547E-12	164.510433936E+6	19.978274417E+6	59.197851042E-3	54.342176738E-3	30.203138548E-3	122.141502924E-3	97.386640179E+6	89.398549430E+6	49.687313548E+6	200.935513483E+6	300.001500000E+0
866.181514263E+0	-10.000000000E+0	6.862740411E-12	100.000001490E-3	810.146727503E-12	148.992976657E-12	123.434432425E+6	22.700657652E+6	47.392812889E-3	47.512362911E-3	23.782214220E-3	89.680499156E-3	58.499048728E+6	58.646614617E+6	29.355440703E+6	110.696613479E+6	300.005200000E+0
898.333571911E+0	-5.000000000E+0	29.422040151E-12	100.000001490E-3	1.421990272E-9	353.644130158E-12	70.323970195E+6	17.489331511E+6	57.035460986E-3	60.379905249E-3	14.913721425E-3	59.770421010E-3	40.109599987E+6	42.461545939E+6	10.487920854E+6	42.032932431E+6	299.997800000E+0
927.929924965E+0	0.000000000E+0	51.919100471E-12	100.000001490E-3	1.688169062E-9	498.183839158E-12	59.235774275E+6	17.480657660E+6	53.919549814E-3	54.258275246E-3	10.951983936E-3	42.097024179E-3	31.939662342E+6	32.140308971E+6	6.487492386E+6	24.936497848E+6	299.994000000E+0
957.368432045E+0	5.000000000E+0	63.923616863E-12	100.000001490E-3	2.023461200E-9	701.361818861E-12	49.420271319E+6	17.129802828E+6	50.562703526E-3	55.913816529E-3	8.263606065E-3	23.580723720E-3	24.988224896E+6	27.632759421E+6	4.083896477E+6	11.653657468E+6	300.002400000E+0
983.950676918E+0	10.000000000E+0	81.863238352E-12	100.000001490E-3	2.380903232E-9	705.009120845E-12	42.000867631E+6	12.436874530E+6	46.169517356E-3	49.776101048E-3	6.184514015E-3	15.279285040E-3	19.391597582E+6	20.906394002E+6	2.597549506E+6	6.417432189E+6	299.997600000E+0
1.010577254E+3	15.000000000E+0	91.635075916E-12	100.000001490E-3	2.818999689E-9	616.434080055E-12	35.473576631E+6	7.757050014E+6	43.704347735E-3	46.648349661E-3	4.937811416E-3	10.817458471E-3	15.503495054E+6	16.547837817E+6	1.751618290E+6	3.837339363E+6	299.999300000E+0
1.037167626E+3	20.000000000E+0	111.917932560E-12	100.000001490E-3	3.280055376E-9	576.259104949E-12	30.487290615E+6	5.356183596E+6	40.083814463E-3	43.769225885E-3	3.612243773E-3	8.092717553E-3	12.220468823E+6	13.344050897E+6	1.101275240E+6	2.467250282E+6	299.999300000E+0
1.063754745E+3	25.000000000E+0	131.922545920E-12	100.000001490E-3	3.745317010E-9	560.066803865E-12	26.700009968E+6	3.992663160E+6	39.909610097E-3	40.608346844E-3	1.910217753E-3	7.597585872E-3	10.655869715E+6	10.842432494E+6	510.028322788E+3	2.028556155E+6	300.000200000E+0
1.090705468E+3	30.000000000E+0	140.269691695E-12	100.000001490E-3	4.378948082E-9	572.234782030E-12	22.836535080E+6	2.984246314E+6	36.990383677E-3	37.753209386E-3	2.480758584E-3	4.150602462E-3	8.447321819E+6	8.621524777E+6	566.519295763E+3	947.853773274E+3	300.002200000E+0
1.117626039E+3	35.000000000E+0	160.720173744E-12	100.000001490E-3	4.835837482E-9	538.372480612E-12	20.678941728E+6	2.302180997E+6	36.950494960E-3	35.928029932E-3	1.227935520E-3	4.682358728E-3	7.640971207E+6	7.429536263E+6	253.924066895E+3	968.262218474E+3	299.994600000E+0
1.143952858E+3	40.000000000E+0	172.427993180E-12	100.000001490E-3	5.532074952E-9	642.950508146E-12	18.076400329E+6	2.100880931E+6	35.104435189E-3	35.100238104E-3	2.041709503E-3	2.362378252E-3	6.345618144E+6	6.344859462E+6	369.067577766E+3	427.032943832E+3	300.004800000E+0
