[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191027 16:04:10"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 9.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
97.536979198E+0	0.000000000E+0	-310.630667022E-12	100.000001490E-3	1.012750351E-12	431.529292039E-15	98.741018809E+9	42.073193938E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.002700000E+0
125.587848186E+0	-5.000000000E+0	-270.246685215E-12	100.000001490E-3	802.217093333E-15	433.300794246E-15	124.654538430E+9	67.329543283E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.001700000E+0
153.493388176E+0	-10.000000000E+0	-264.081489084E-12	100.000001490E-3	933.558300000E-15	615.875744294E-15	107.117039707E+9	70.665952578E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.000500000E+0
181.394466400E+0	-15.000000000E+0	-266.195260279E-12	100.000001490E-3	791.089300000E-15	586.485459184E-15	126.407981362E+9	93.714379646E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	89.999200000E+0
209.288800716E+0	-20.000000000E+0	-261.421300810E-12	100.000001490E-3	948.932933333E-15	640.752400208E-15	105.381526952E+9	71.157258812E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.000500000E+0
237.207840919E+0	-25.000000000E+0	-260.003260588E-12	100.000001490E-3	1.934380333E-12	642.041644198E-15	51.696142567E+9	17.158505905E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.000100000E+0
265.096124172E+0	-30.000000000E+0	-279.471204974E-12	100.000001490E-3	1.741166600E-12	353.189776251E-15	57.432758870E+9	11.650041561E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.000700000E+0
293.017971992E+0	-35.000000000E+0	-288.301725548E-12	100.000001490E-3	1.774569233E-12	708.117903057E-15	56.351704747E+9	22.486387259E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.000800000E+0
320.897832870E+0	-40.000000000E+0	-284.469806507E-12	100.000001490E-3	1.845891133E-12	599.671558085E-15	54.174376638E+9	17.599538922E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.001200000E+0
348.779715061E+0	-45.000000000E+0	-283.048337083E-12	100.000001490E-3	1.808054500E-12	752.821386939E-15	55.308068142E+9	23.028673399E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	90.001100000E+0
