[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191028 21:08:02"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.582436085E+0	0.000000000E+0	-61.152227495E-12	100.000001490E-3	-14.545197000E-12	6.912053930E-12	-6.875121835E+9	3.267141236E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	199.770400000E+0
31.527491093E+0	-5.000000000E+0	-103.130291691E-12	100.000001490E-3	4.535488333E-12	3.687072591E-12	22.048342789E+9	17.923944325E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	200.317800000E+0
59.831694603E+0	-10.000000000E+0	-138.173973478E-12	100.000001490E-3	6.227545333E-12	6.967149892E-12	16.057691456E+9	17.964757750E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.049700000E+0
88.223627090E+0	-15.000000000E+0	-156.470272156E-12	100.000001490E-3	9.431011000E-12	8.832041000E-12	10.603317236E+9	9.929893260E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.053500000E+0
116.593073845E+0	-20.000000000E+0	-177.339586534E-12	100.000001490E-3	7.213571667E-12	8.557411219E-12	13.862758438E+9	16.445296459E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.022300000E+0
145.962536812E+0	-25.000000000E+0	-196.073345754E-12	100.000001490E-3	9.509399333E-12	10.563800891E-12	10.515911467E+9	11.681915021E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.013600000E+0
175.024035931E+0	-30.000000000E+0	-204.020524086E-12	100.000001490E-3	8.967507333E-12	15.038968431E-12	11.151371030E+9	18.701419542E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.006900000E+0
206.878905773E+0	-35.000000000E+0	-218.550345876E-12	100.000001490E-3	23.653116667E-12	18.930909249E-12	4.227772724E+9	3.383722446E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.000400000E+0
236.816322327E+0	-40.000000000E+0	-226.552772144E-12	100.000001490E-3	29.538983000E-12	18.916503321E-12	3.385356953E+9	2.167952636E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.004200000E+0
266.388243198E+0	-45.000000000E+0	-238.870013584E-12	100.000001490E-3	19.430726000E-12	19.889730752E-12	5.146488170E+9	5.268061730E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200.004000000E+0
