[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191029 03:18:40"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.577465057E+0	0.000000000E+0	-44.735210675E-12	100.000001490E-3	-227.150032000E-12	393.799952451E-12	-440.237672914E+6	763.220560148E+6	150.854750600E-3	NaN	297.164004469E-3	NaN	-664.119433626E+6	NaN	1.308227879E+9	NaN	29.983500000E+0
35.330861092E+0	-5.000000000E+0	-85.256571883E-12	100.000001490E-3	-441.558333333E-15	569.579748334E-15	-226.470647117E+9	292.131490796E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	29.996400000E+0
63.481054783E+0	-10.000000000E+0	-117.308173187E-12	100.000001490E-3	4.167947358E-12	1.516660025E-12	23.992625844E+9	8.730594074E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	29.998300000E+0
91.296913147E+0	-15.000000000E+0	-146.216741145E-12	100.000001490E-3	553.092400000E-15	657.867336800E-15	180.801619205E+9	215.051734061E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	29.999800000E+0
119.119314671E+0	-20.000000000E+0	-166.398824580E-12	100.000001490E-3	1.050651767E-12	553.030109778E-15	95.179016171E+9	50.099246422E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	29.998400000E+0
146.936375141E+0	-25.000000000E+0	-183.333976935E-12	100.000001490E-3	932.525700000E-15	805.530596500E-15	107.235652047E+9	92.631869298E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	30.001800000E+0
174.758949757E+0	-30.000000000E+0	-195.104636382E-12	100.000001490E-3	777.055366667E-15	543.599449304E-15	128.690960490E+9	90.027478419E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	29.998700000E+0
202.586772919E+0	-35.000000000E+0	-217.330027123E-12	100.000001490E-3	925.220933333E-15	525.172482755E-15	108.082294604E+9	61.349505782E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	30.001500000E+0
230.408365726E+0	-40.000000000E+0	-224.764230376E-12	100.000001490E-3	1.720015033E-12	585.854974826E-15	58.139027597E+9	19.802756307E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	30.000500000E+0
258.248293877E+0	-45.000000000E+0	-237.302544744E-12	100.000001490E-3	1.845167733E-12	579.414959660E-15	54.195615761E+9	17.018371800E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	30.000500000E+0
