[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191030 13:32:43"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 5.000000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
79.274488926E+0	0.000000000E+0	-216.640714858E-12	100.000001490E-3	-24.916263663E-12	232.771979573E-12	-4.013442900E+9	37.494267251E+9	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	NaN	200.021100000E+0
174.775801659E+0	-5.000000000E+0	-156.838845557E-12	100.000001490E-3	38.968455633E-12	216.575171002E-12	2.566178204E+9	14.262060796E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	200.012600000E+0
266.773880959E+0	-10.000000000E+0	-147.792187400E-12	100.000001490E-3	-819.630566667E-15	236.889222163E-12	-122.006188589E+9	35.262168457E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	200.004400000E+0
363.527280331E+0	-15.000000000E+0	-147.790496681E-12	100.000001490E-3	-630.278976667E-15	244.122311518E-12	-158.659903300E+9	61.452822913E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	200.000600000E+0
483.851379395E+0	-20.000000000E+0	-150.705422100E-12	100.000001490E-3	76.437108500E-12	231.873616094E-12	1.308265101E+9	3.968650382E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	200.000000000E+0
575.966282368E+0	-25.000000000E+0	-169.382113775E-12	100.000001490E-3	32.095577300E-12	214.655870350E-12	3.115694121E+9	20.837825316E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	200.000900000E+0
674.554301739E+0	-30.000000000E+0	-173.081611659E-12	100.000001490E-3	-7.387806767E-12	231.957605000E-12	-13.535817144E+9	424.988880414E+9	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	NaN	199.999600000E+0
774.970478535E+0	-35.000000000E+0	-178.621493175E-12	100.000001490E-3	76.226978067E-12	195.744382773E-12	1.311871519E+9	3.368774248E+9	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	NaN	199.999800000E+0
891.230247498E+0	-40.000000000E+0	-192.827677090E-12	100.000001490E-3	-3.699646067E-12	203.136623169E-12	-27.029613019E+9	1.484116106E+12	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	NaN	200.000200000E+0
1.073616078E+3	-45.000000000E+0	-194.713382455E-12	100.000001490E-3	-41.816295933E-12	210.565407109E-12	-2.391412230E+9	12.041924767E+9	0.000000000E+0	243.618699063E-3	27.170417096E+21	341.255619669E-3	-0.000000000E+0	-5.825927276E+9	NaN	8.160828501E+9	199.998900000E+0
