[Main]
Experiment = "RvsVg_250.0K"
Header length = 74    
Date = "20191030 20:42:31"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.500000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
15.783994675E+0	0.000000000E+0	-60.054366110E-12	100.000001490E-3	52.882554630E-12	220.177329880E-12	1.890982805E+9	7.873136004E+9	65.842590767E-3	3.849026207E-3	352.541513689E-3	164.307364397E-3	1.245072051E+9	72.784422644E+6	6.666499305E+9	3.107023962E+9	250.037900000E+0
113.571621895E+0	-5.000000000E+0	-86.616117693E-12	100.000001490E-3	36.338339067E-12	225.011963675E-12	2.751914481E+9	17.040230707E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	250.015400000E+0
212.390321732E+0	-10.000000000E+0	-111.285445037E-12	100.000001490E-3	-50.867343333E-12	244.772395754E-12	-1.965897862E+9	9.459851801E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	250.009700000E+0
304.723257542E+0	-15.000000000E+0	-121.301147107E-12	100.000001490E-3	-676.354600000E-15	235.143830315E-12	-147.851439896E+9	51.402554067E+12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	250.008100000E+0
399.251539230E+0	-20.000000000E+0	-138.135691340E-12	100.000001490E-3	63.743533167E-12	189.877552772E-12	1.568786613E+9	4.673060122E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	250.005400000E+0
497.561652660E+0	-25.000000000E+0	-167.121423182E-12	100.000001490E-3	50.157908567E-12	171.919979530E-12	1.993703572E+9	6.833567968E+9	NaN	103.861553467E-3	NaN	323.547622601E-3	NaN	2.070691471E+9	NaN	6.450580414E+9	250.001000000E+0
601.143688202E+0	-30.000000000E+0	-171.950706914E-12	100.000001490E-3	-56.690259133E-12	162.737573021E-12	-1.763971501E+9	5.063734852E+9	NaN	134.927317202E-3	NaN	324.345798851E-3	NaN	-2.380079387E+9	NaN	5.721367371E+9	250.011000000E+0
706.485602379E+0	-35.000000000E+0	-187.474570937E-12	100.000001490E-3	67.690072667E-12	161.709507825E-12	1.477321527E+9	3.529275824E+9	NaN	212.337242078E-3	NaN	330.729279936E-3	NaN	3.136903740E+9	NaN	4.885934775E+9	250.004300000E+0
808.333657742E+0	-40.000000000E+0	-196.070288015E-12	100.000001490E-3	-49.266559933E-12	135.102314229E-12	-2.029774387E+9	5.566193731E+9	NaN	194.238331213E-3	NaN	335.526491313E-3	NaN	-3.942599838E+9	NaN	6.810430681E+9	250.000800000E+0
910.085106373E+0	-45.000000000E+0	-217.162534251E-12	100.000001490E-3	-12.909485500E-12	185.659820902E-12	-7.746242210E+9	111.403815542E+9	NaN	183.330958144E-3	NaN	330.626568427E-3	NaN	-14.201259852E+9	NaN	25.611134420E+9	250.000000000E+0
