[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191031 04:34:31"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.117999077E+0	299.998100000E+0	100.000001490E-3	199.242451767E-12	4.145415195E-9	501.901078828E+6	10.442495263E+9	42.597734203E-3	34.384324683E-3	43.484656406E-3	153.296936580E-3	213.798484337E+6	172.575293962E+6	218.249956373E+6	769.398967039E+6	75.000000000E+0	175.104389322E-12
133.781538486E+0	299.118400000E+0	100.000001490E-3	1.130304941E-9	4.313023155E-9	88.471701629E+6	337.590754370E+6	70.821152097E-3	49.516609597E-3	40.781130363E-3	177.674114585E-3	62.656677440E+6	43.808186446E+6	36.079759438E+6	157.191310186E+6	75.000000000E+0	48.487568127E-12
221.240680218E+0	298.070300000E+0	100.000001490E-3	1.152341005E-9	4.387431910E-9	86.779869021E+6	330.406333569E+6	57.516386390E-3	43.183471300E-3	47.949938400E-3	185.753104823E-3	49.912644031E+6	37.474559274E+6	41.610893119E+6	161.196298666E+6	75.000000000E+0	112.147999221E-12
314.104428768E+0	297.035900000E+0	100.000001490E-3	1.657967083E-9	5.320160208E-9	60.314829236E+6	193.540968197E+6	53.218572002E-3	46.969426017E-3	55.980188141E-3	194.121849882E-3	32.098690346E+6	28.329528673E+6	33.764354380E+6	117.084260522E+6	75.000000000E+0	152.074075555E-12
405.830705643E+0	296.021900000E+0	100.000001490E-3	-117.933651700E-12	4.394384686E-9	-847.934410990E+6	31.595307503E+9	56.023068877E-3	35.276058733E-3	61.845893917E-3	198.715430649E-3	-475.038872019E+6	-299.117836384E+6	524.412608494E+6	1.684976491E+9	75.000000000E+0	158.912855097E-12
497.396724701E+0	295.055300000E+0	100.000001490E-3	971.781734000E-12	4.540269668E-9	102.903767370E+6	480.777562817E+6	44.913996218E-3	33.420372367E-3	70.366787446E-3	201.534692796E-3	46.218193496E+6	34.390821722E+6	72.410074181E+6	207.386788355E+6	75.000000000E+0	86.553084144E-12
589.098710537E+0	294.071100000E+0	100.000001490E-3	632.382029000E-12	4.486843605E-9	158.132263259E+6	1.121971690E+9	76.832318366E-3	60.596400067E-3	91.236371223E-3	202.606070539E-3	121.496682136E+6	95.822457451E+6	144.274136581E+6	320.385560070E+6	75.000000000E+0	44.163117607E-12
679.362045765E+0	293.091200000E+0	100.000001490E-3	735.875172667E-12	5.500729349E-9	135.892614950E+6	1.015808826E+9	49.518130636E-3	31.857020333E-3	86.965044660E-3	200.883989361E-3	67.291481593E+6	43.291337331E+6	118.179071519E+6	272.986502089E+6	75.000000000E+0	244.849335251E-12
770.889533520E+0	292.086200000E+0	100.000001490E-3	521.081224500E-12	5.262086863E-9	191.908663733E+6	1.937970533E+9	52.922414062E-3	26.666502433E-3	94.603718761E-3	201.575286813E-3	101.562696129E+6	51.175327722E+6	181.552729810E+6	386.840433574E+6	75.000000000E+0	211.108464043E-12
862.134903431E+0	291.024300000E+0	100.000001490E-3	651.703999000E-12	4.391940879E-9	153.443897296E+6	1.034083765E+9	42.893290562E-3	18.661178900E-3	102.986271210E-3	200.173117780E-3	65.817135736E+6	28.634439759E+6	158.026145870E+6	307.153428685E+6	75.000000000E+0	137.843444992E-12
957.580692291E+0	290.024900000E+0	100.000001490E-3	775.281241833E-12	4.326595087E-9	128.985452110E+6	719.826294303E+6	43.721875129E-3	24.000552467E-3	109.594515659E-3	197.641352632E-3	56.394857466E+6	30.957220647E+6	141.360979404E+6	254.928588450E+6	75.000000000E+0	81.323531242E-12
1.049231707E+3	289.039000000E+0	100.000001490E-3	717.036783900E-12	4.475727868E-9	139.462861230E+6	870.524118874E+6	45.641373704E-3	18.654542667E-3	118.140206944E-3	200.848804420E-3	63.652764724E+6	26.016158565E+6	164.761710413E+6	280.109485218E+6	75.000000000E+0	142.620387722E-12
1.140656039E+3	288.081200000E+0	100.000001490E-3	307.751396667E-12	4.741492176E-9	324.937604096E+6	5.006278198E+9	40.906109415E-3	18.371299767E-3	131.269623016E-3	200.333805933E-3	132.919329880E+6	59.695260414E+6	426.544361579E+6	650.959859493E+6	75.000000000E+0	157.303378656E-12
1.234649835E+3	287.029800000E+0	100.000001490E-3	633.051750333E-12	4.931561358E-9	157.964971169E+6	1.230569139E+9	36.084613827E-3	6.555761100E-3	140.816131582E-3	197.815426444E-3	57.001048980E+6	10.355805977E+6	222.440158340E+6	312.479076694E+6	75.000000000E+0	156.046203736E-12
1.328023397E+3	286.027300000E+0	100.000001490E-3	675.304810067E-12	4.588219345E-9	148.081281222E+6	1.006107744E+9	36.288990594E-3	6.861895733E-3	150.184014023E-3	194.815558485E-3	53.737201414E+6	10.161182967E+6	222.394408842E+6	288.485370725E+6	75.000000000E+0	268.834399186E-12
1.417483679E+3	285.066200000E+0	100.000001490E-3	422.941232600E-12	4.051024790E-9	236.439471449E+6	2.264669619E+9	31.484212497E-3	13.229518800E-3	157.748868738E-3	199.729326614E-3	74.441104508E+6	31.279803860E+6	372.980585903E+6	472.238957138E+6	75.000000000E+0	176.562292564E-12
1.507778154E+3	284.077700000E+0	100.000001490E-3	362.482789667E-12	3.834771928E-9	275.875170741E+6	2.918534040E+9	27.291306561E-3	3.873913733E-3	168.743843303E-3	200.690407981E-3	75.289937450E+6	10.687165967E+6	465.522358892E+6	553.654997429E+6	75.000000000E+0	137.993783067E-12
1.601533999E+3	283.030800000E+0	100.000001490E-3	316.188644333E-12	5.565531460E-9	316.266897254E+6	5.566908862E+9	31.251796005E-3	10.164206200E-3	174.210368345E-3	197.463703434E-3	98.839084089E+6	32.146019100E+6	550.969718450E+6	624.512318747E+6	75.000000000E+0	97.917091102E-12
1.692362759E+3	282.067700000E+0	100.000001490E-3	514.878515733E-12	4.107640237E-9	194.220575212E+6	1.549468904E+9	34.336098548E-3	-2.771069033E-3	190.099984666E-3	201.444948540E-3	66.687767112E+6	-5.381986136E+6	369.213278195E+6	391.247531960E+6	75.000000000E+0	143.977468836E-12
1.782719570E+3	281.069700000E+0	100.000001490E-3	57.412011100E-12	4.483954076E-9	1.741795829E+9	136.036560268E+9	31.375173389E-3	5.554675733E-3	194.588653985E-3	200.745381853E-3	546.491453412E+6	96.751108817E+6	3.389337009E+9	3.496574637E+9	75.000000000E+0	133.920555201E-12
1.875366405E+3	280.038400000E+0	100.000001490E-3	285.261409700E-12	4.254483826E-9	350.555659089E+6	5.228304044E+9	35.195896386E-3	17.308580533E-3	207.741640378E-3	199.118979732E-3	123.381204710E+6	60.676207663E+6	728.250065780E+6	698.022841369E+6	75.000000000E+0	141.965994516E-12
1.965173723E+3	279.065200000E+0	100.000001490E-3	-35.737741737E-12	4.733677882E-9	-2.798162297E+9	370.633350885E+9	23.090480032E-3	6.028274267E-3	215.757812296E-3	199.272627903E-3	-646.109096721E+6	-168.680895147E+6	6.037253665E+9	5.575971458E+9	75.000000000E+0	160.772242741E-12
2.055252403E+3	278.069500000E+0	100.000001490E-3	-379.745713333E-12	3.864466349E-9	-263.334115380E+6	2.679808598E+9	28.297416628E-3	2.987773233E-3	227.994417043E-3	202.903558145E-3	-74.516750642E+6	-7.867826096E+6	600.387072290E+6	534.314281954E+6	75.000000000E+0	108.526826414E-12
2.147334071E+3	277.057900000E+0	100.000001490E-3	327.389345933E-12	4.098493125E-9	305.446718814E+6	3.823799682E+9	27.903671466E-3	-2.439958500E-3	235.082736523E-3	207.418895054E-3	85.230847653E+6	-7.452773068E+6	718.052494509E+6	633.554199703E+6	75.000000000E+0	53.163688729E-12
2.237285160E+3	276.064500000E+0	100.000001490E-3	356.730696667E-12	4.259467295E-9	280.323511334E+6	3.347143489E+9	32.861121637E-3	-12.364879033E-3	248.311967108E-3	208.330281232E-3	92.117448663E+6	-34.661662562E+6	696.076814885E+6	583.998750817E+6	75.000000000E+0	136.082756175E-12
2.328563443E+3	275.056200000E+0	100.000001490E-3	303.071473120E-12	4.440182757E-9	329.955176779E+6	4.834045486E+9	25.531878643E-3	2.365216533E-3	253.606019302E-3	212.098809888E-3	84.243754057E+6	7.804154277E+6	836.786176841E+6	699.830992684E+6	75.000000000E+0	107.269942928E-12
