[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191031 12:53:38"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.115462303E+0	3.998700000E+0	100.000001490E-3	3.770061323E-12	156.880809331E-12	26.524767879E+9	1.103755800E+12	-11.431127530E-3	-10.433131433E-3	126.088382856E-3	186.651874277E-3	-3.032079998E+9	-2.767363854E+9	33.444650376E+9	49.508975656E+9	75.000000000E+0	117.830092905E-12
93.177519321E+0	4.873900000E+0	100.000001490E-3	-22.909087947E-12	119.228096307E-12	-4.365079995E+9	22.717629754E+9	-47.694473333E-6	1.916178067E-3	138.911410399E-3	212.414315836E-3	2.081901883E+6	-83.642704202E+6	6.063594095E+9	9.272054668E+9	75.000000000E+0	117.629017637E-12
183.159377575E+0	5.880200000E+0	100.000001490E-3	27.921554213E-12	114.225497705E-12	3.581462576E+9	14.651560661E+9	46.502186097E-3	68.623535433E-3	155.451319940E-3	262.119900769E-3	1.665458367E+9	2.457726204E+9	5.567430765E+9	9.387726011E+9	75.000000000E+0	166.354749420E-12
271.526712894E+0	6.876400000E+0	100.000001490E-3	31.634575063E-12	168.696860783E-12	3.161098301E+9	16.857105207E+9	25.560481803E-3	48.195869000E-3	164.361186391E-3	253.713163702E-3	807.991944009E+6	1.523518773E+9	5.195618593E+9	8.020122388E+9	75.000000000E+0	32.295957575E-12
360.236047268E+0	7.887900000E+0	100.000001490E-3	28.692157197E-12	182.128705657E-12	3.485273024E+9	22.123406771E+9	84.761569993E-3	91.134134933E-3	99.283532065E-3	171.062620433E-3	2.954172090E+9	3.176273374E+9	3.460302109E+9	5.961999276E+9	75.000000000E+0	-19.698421713E-12
448.873299122E+0	8.874500000E+0	100.000001490E-3	-17.025615867E-12	127.503006666E-12	-5.873502743E+9	43.986030534E+9	26.419495537E-3	41.507339767E-3	174.823046477E-3	259.113714688E-3	-1.551749772E+9	-2.437934703E+9	10.268236277E+9	15.219050912E+9	75.000000000E+0	189.938370587E-12
535.472568512E+0	9.882500000E+0	100.000001490E-3	14.601596733E-12	144.736231110E-12	6.848566175E+9	67.885428888E+9	-4.921141620E-3	29.390438733E-3	143.198127043E-3	216.513560780E-3	-337.027635393E+6	2.012823616E+9	9.807018346E+9	14.828074267E+9	75.000000000E+0	105.761913116E-12
629.541233540E+0	10.888300000E+0	100.000001490E-3	-13.186397347E-12	170.186421532E-12	-7.583572591E+9	97.875185142E+9	21.479014533E-3	41.882990600E-3	178.996686037E-3	263.649128000E-3	-1.628876635E+9	-3.176226948E+9	13.574343419E+9	19.994022709E+9	75.000000000E+0	85.044533915E-12
715.757714272E+0	11.861600000E+0	100.000001490E-3	30.293417947E-12	158.709194687E-12	3.301047167E+9	17.294401656E+9	61.866896253E-3	76.763180167E-3	166.708374992E-3	241.612009599E-3	2.042255396E+9	2.533988746E+9	5.503122008E+9	7.975726279E+9	75.000000000E+0	304.385600058E-12
803.178173542E+0	12.883100000E+0	100.000001490E-3	-4.405869633E-12	147.941894174E-12	-22.696995103E+9	762.127962687E+9	-8.561642040E-3	42.357708533E-3	143.651694493E-3	224.562527322E-3	1.943235446E+9	-9.613926888E+9	32.604617578E+9	50.968945069E+9	75.000000000E+0	260.788890483E-12
893.232500076E+0	13.883400000E+0	100.000001490E-3	3.494492243E-12	132.520928709E-12	28.616461141E+9	1.085216318E+12	95.218930671E-3	111.190234633E-3	94.744000534E-3	194.249899572E-3	27.248287889E+9	31.818709813E+9	27.112379693E+9	55.587446200E+9	75.000000000E+0	137.591840699E-12
981.756881714E+0	14.889200000E+0	100.000001490E-3	22.723253533E-12	153.691264637E-12	4.400778319E+9	29.765155956E+9	152.425240612E-3	NaN	119.969978218E-3	NaN	6.707896842E+9	NaN	5.279612712E+9	NaN	75.000000000E+0	55.275797828E-12
1.070736530E+3	15.898400000E+0	100.000001490E-3	-2.794515467E-12	154.956884857E-12	-35.784379325E+9	1.984256667E+12	50.053510540E-3	NaN	184.941629989E-3	NaN	-17.911337810E+9	NaN	66.180213420E+9	NaN	75.000000000E+0	135.881861318E-12
1.160282169E+3	16.896000000E+0	100.000001490E-3	1.464547187E-12	164.370884774E-12	68.280491336E+9	7.663341185E+12	159.945707776E-3	NaN	139.223144619E-3	NaN	109.211713513E+9	NaN	95.062245782E+9	NaN	75.000000000E+0	-35.035894325E-12
1.251397989E+3	17.909700000E+0	100.000001490E-3	17.941631737E-12	132.099905629E-12	5.573629141E+9	41.037286596E+9	93.621995607E-3	NaN	175.375078865E-3	NaN	5.218142752E+9	NaN	9.774756357E+9	NaN	75.000000000E+0	226.745872078E-12
1.342357482E+3	18.905600000E+0	100.000001490E-3	27.579391893E-12	145.252318329E-12	3.625895809E+9	19.096496919E+9	63.288197990E-3	NaN	164.588655754E-3	NaN	2.294764085E+9	NaN	5.967813083E+9	NaN	75.000000000E+0	153.531548586E-12
1.434104618E+3	19.919700000E+0	100.000001490E-3	8.389894687E-12	132.867478412E-12	11.919100921E+9	188.758136247E+9	48.904843115E-3	NaN	191.093757203E-3	NaN	5.829017519E+9	NaN	22.776657436E+9	NaN	75.000000000E+0	140.809544580E-12
1.520452073E+3	20.917600000E+0	100.000001490E-3	28.035993400E-12	145.044640497E-12	3.566843524E+9	18.453119504E+9	-57.006460783E-3	NaN	164.529575164E-3	NaN	-2.033331224E+9	NaN	5.868512409E+9	NaN	75.000000000E+0	106.263983723E-12
1.606123793E+3	21.912000000E+0	100.000001490E-3	-42.439877760E-12	146.144033217E-12	-2.356274494E+9	8.113959702E+9	8.062085464E-3	0.000000000E+0	146.723000451E-3	27.170417096E+21	-189.964860628E+6	-0.000000000E+0	3.457196585E+9	NaN	75.000000000E+0	20.378209536E-12
1.697651647E+3	22.915300000E+0	100.000001490E-3	-8.989162497E-12	144.350431500E-12	-11.124507041E+9	178.640378594E+9	-50.708517999E-3	0.000000000E+0	162.284363637E-3	27.170417096E+21	5.641072571E+9	-0.000000000E+0	18.053335191E+9	NaN	75.000000000E+0	67.092470468E-12
1.788874372E+3	23.910900000E+0	100.000001490E-3	76.710383367E-12	155.848787292E-12	1.303604507E+9	2.648470424E+9	46.645441407E-3	0.000000000E+0	152.133379825E-3	27.170417096E+21	608.072067428E+6	0.000000000E+0	1.983217566E+9	NaN	75.000000000E+0	54.672190386E-12
1.883665052E+3	24.927200000E+0	100.000001490E-3	49.002221837E-12	190.371663579E-12	2.040723823E+9	7.928130084E+9	30.274079909E-3	0.000000000E+0	189.223413904E-3	27.170417096E+21	617.810351741E+6	0.000000000E+0	3.861527229E+9	NaN	75.000000000E+0	113.203377228E-12
1.979833394E+3	25.925700000E+0	100.000001490E-3	55.837080086E-12	185.419389015E-12	1.790924621E+9	5.947161787E+9	44.653859350E-3	0.000000000E+0	160.793847148E-3	27.170417096E+21	799.716949398E+6	0.000000000E+0	2.879696555E+9	NaN	75.000000000E+0	273.208788926E-12
2.079136416E+3	26.912400000E+0	100.000001490E-3	148.988120700E-12	176.628947850E-12	671.194461815E+6	795.716940628E+6	76.841532553E-3	0.000000000E+0	138.434866479E-3	27.170417096E+21	515.756103187E+6	0.000000000E+0	929.167143180E+6	NaN	75.000000000E+0	55.476873095E-12
2.176397776E+3	27.929100000E+0	100.000001490E-3	154.712714633E-12	172.451928492E-12	646.359297147E+6	720.470244194E+6	70.066049206E-3	0.000000000E+0	141.485235578E-3	27.170417096E+21	452.878416440E+6	0.000000000E+0	914.502960620E+6	NaN	75.000000000E+0	121.953128152E-12
2.276564807E+3	28.926200000E+0	100.000001490E-3	43.328698567E-12	156.154662736E-12	2.307939190E+9	8.317708074E+9	68.500409557E-3	0.000000000E+0	149.636272919E-3	27.170417096E+21	1.580947774E+9	0.000000000E+0	3.453514134E+9	NaN	75.000000000E+0	92.436183707E-12
2.383522930E+3	29.913300000E+0	100.000001490E-3	72.865054800E-12	185.917548144E-12	1.372400004E+9	3.501723076E+9	68.974280487E-3	0.000000000E+0	158.977980524E-3	27.170417096E+21	946.603013973E+6	0.000000000E+0	2.181813778E+9	NaN	75.000000000E+0	-82.758723485E-12
2.476086534E+3	30.926900000E+0	100.000001490E-3	70.162206633E-12	198.444649917E-12	1.425268763E+9	4.031186794E+9	58.728730635E-3	0.000000000E+0	157.043167458E-3	27.170417096E+21	837.042240451E+6	0.000000000E+0	2.238287178E+9	NaN	75.000000000E+0	108.326125847E-12
2.579075136E+3	31.921200000E+0	100.000001490E-3	35.846694439E-12	192.956403233E-12	2.789657542E+9	15.016232151E+9	70.920278759E-3	0.000000000E+0	155.209468302E-3	27.170417096E+21	1.978432876E+9	0.000000000E+0	4.329812574E+9	NaN	75.000000000E+0	135.429598092E-12
2.675648230E+3	32.928600000E+0	100.000001490E-3	47.432770333E-12	180.343797164E-12	2.108247121E+9	8.015751314E+9	36.202270679E-3	0.000000000E+0	186.342329520E-3	27.170417096E+21	763.233317899E+6	0.000000000E+0	3.928556739E+9	NaN	75.000000000E+0	112.399409224E-12
2.764218384E+3	33.911400000E+0	100.000001490E-3	38.137059533E-12	167.993206001E-12	2.622121441E+9	11.550407733E+9	75.401172049E-3	0.000000000E+0	167.857770651E-3	27.170417096E+21	1.977110269E+9	0.000000000E+0	4.401434529E+9	NaN	75.000000000E+0	153.481893861E-12
2.857046969E+3	34.927000000E+0	100.000001490E-3	36.804123867E-12	179.357874111E-12	2.717086864E+9	13.241204312E+9	83.610670140E-3	0.000000000E+0	175.530021417E-3	27.170417096E+21	2.271774501E+9	0.000000000E+0	4.769303083E+9	NaN	75.000000000E+0	119.992293879E-12
2.954404572E+3	35.921400000E+0	100.000001490E-3	39.398012070E-12	193.698266784E-12	2.538199169E+9	12.478923528E+9	92.360456255E-3	0.000000000E+0	200.282303168E-3	27.170417096E+21	2.344292298E+9	0.000000000E+0	5.083563679E+9	NaN	75.000000000E+0	206.934538949E-12
3.048392532E+3	36.926100000E+0	100.000001490E-3	9.630615400E-12	179.980118082E-12	10.383552591E+9	194.051256729E+9	85.065365773E-3	0.000000000E+0	189.387872604E-3	27.170417096E+21	8.832806860E+9	0.000000000E+0	19.665189060E+9	NaN	75.000000000E+0	117.276938161E-12
3.139560220E+3	37.909700000E+0	100.000001490E-3	-27.409493933E-12	188.833710407E-12	-3.648370953E+9	25.134919513E+9	104.413886150E-3	0.000000000E+0	203.750909027E-3	27.170417096E+21	-3.809405836E+9	-0.000000000E+0	7.433588870E+9	NaN	75.000000000E+0	96.459104593E-12
3.235234129E+3	38.957800000E+0	100.000001490E-3	-26.134439133E-12	170.877469672E-12	-3.826368761E+9	25.018337245E+9	63.760315156E-3	0.000000000E+0	218.016628916E-3	27.170417096E+21	-2.439704745E+9	-0.000000000E+0	8.342120059E+9	NaN	75.000000000E+0	246.961034955E-12
3.326976148E+3	39.945200000E+0	100.000001490E-3	86.363570900E-12	217.678074527E-12	1.157895632E+9	2.918458431E+9	75.054377087E-3	0.000000000E+0	214.813863274E-3	27.170417096E+21	869.051340797E+6	0.000000000E+0	2.487320302E+9	NaN	75.000000000E+0	155.644178101E-12
3.415368221E+3	40.954500000E+0	100.000001490E-3	27.903343567E-12	201.537493856E-12	3.583799958E+9	25.884713787E+9	96.582587437E-3	0.000000000E+0	211.205570114E-3	27.170417096E+21	3.461326676E+9	0.000000000E+0	7.569185019E+9	NaN	75.000000000E+0	142.167902450E-12
