[Main]
Experiment = "RvsVg_300.0K"
Header length = 74    
Date = "20191103 22:05:29"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 100.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.578715324E+0	0.000000000E+0	-63.776178002E-12	100.000001490E-3	1.688851022E-9	202.272952225E-12	59.211854801E+6	7.091778092E+6	16.379642116E-3	0.000000000E+0	843.456622075E-6	66.656732593E+36	9.698689762E+6	0.000000000E+0	499.426302929E+3	NaN	300.011000000E+0
65.744558334E+0	-5.000000000E+0	-118.588424381E-12	100.000001490E-3	1.163754891E-9	150.486849466E-12	85.928748596E+6	11.111572334E+6	16.611705414E-3	NaN	1.437326783E-3	NaN	14.274230370E+6	NaN	1.235076899E+6	NaN	300.007000000E+0
132.030432701E+0	-10.000000000E+0	-141.701820879E-12	100.000001490E-3	1.104624516E-9	141.838534589E-12	90.528500932E+6	11.624248538E+6	20.071742163E-3	NaN	1.854600588E-3	NaN	18.170647020E+6	NaN	1.678942086E+6	NaN	299.999700000E+0
199.164967060E+0	-15.000000000E+0	-156.209501353E-12	100.000001490E-3	1.070462255E-9	172.844663791E-12	93.417587637E+6	15.083886850E+6	19.779691526E-3	NaN	1.905454662E-3	NaN	18.477710390E+6	NaN	1.780029752E+6	NaN	300.007600000E+0
270.231408596E+0	-20.000000000E+0	-174.644546972E-12	100.000001490E-3	1.065914273E-9	138.022865428E-12	93.816176443E+6	12.148047762E+6	23.084573267E-3	NaN	2.323609132E-3	NaN	21.657063665E+6	NaN	2.179921210E+6	NaN	299.993100000E+0
341.001078129E+0	-25.000000000E+0	-198.103154483E-12	100.000001490E-3	1.040146152E-9	165.549300225E-12	96.140336957E+6	15.301662640E+6	23.305550645E-3	0.000000000E+0	2.265299537E-3	68.632499590E+36	22.406034586E+6	0.000000000E+0	2.177866576E+6	NaN	300.003400000E+0
411.750715256E+0	-30.000000000E+0	-206.514433332E-12	100.000001490E-3	1.061182425E-9	126.662871033E-12	94.234505900E+6	11.247842771E+6	22.624840422E-3	NaN	2.205329914E-3	NaN	21.320406265E+6	NaN	2.078181717E+6	NaN	300.003000000E+0
486.383559227E+0	-35.000000000E+0	-218.459195641E-12	100.000001490E-3	1.063282027E-9	120.681212143E-12	94.048426412E+6	10.674381593E+6	25.645622798E-3	NaN	2.531983632E-3	NaN	24.119304326E+6	NaN	2.381290727E+6	NaN	300.003400000E+0
555.192159176E+0	-40.000000000E+0	-242.740958352E-12	100.000001490E-3	1.046445252E-9	140.437423412E-12	95.561618085E+6	12.824777406E+6	22.952547180E-3	NaN	2.421005804E-3	NaN	21.933825150E+6	NaN	2.313552286E+6	NaN	300.005200000E+0
638.341846466E+0	-45.000000000E+0	-248.074706610E-12	100.000001490E-3	1.043362524E-9	132.218913392E-12	95.843965293E+6	12.145716049E+6	23.566359946E-3	NaN	2.418967087E-3	NaN	22.586933511E+6	NaN	2.318433941E+6	NaN	299.999500000E+0
