[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191104 21:01:39"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 100.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.120755196E+0	4.000400000E+0	100.000001490E-3	1.413224201E-6	400.006720266E-12	70.760181874E+3	20.028349541E+0	28.519346091E-3	29.578504661E-3	62.551716094E-6	16.671178589E-6	20.180340863E+3	20.929803382E+3	44.261707414E+0	11.796556115E+0	75.000000000E+0	228.100371924E-12
48.444189548E+0	4.881500000E+0	100.000001490E-3	1.425151649E-6	308.571412013E-12	70.167972359E+3	15.192650080E+0	28.437796232E-3	29.590724728E-3	61.357698050E-6	16.088031023E-6	19.954224702E+3	20.763211238E+3	43.053451966E+0	11.288644993E+0	75.000000000E+0	253.745052747E-12
95.118310452E+0	5.884300000E+0	100.000001490E-3	1.443273416E-6	427.154861985E-12	69.286942018E+3	20.506339150E+0	28.296885078E-3	29.544137240E-3	40.791678215E-6	25.144285351E-6	19.606046065E+3	20.470228934E+3	28.263306012E+0	17.421706152E+0	75.000000000E+0	235.743841115E-12
141.126600742E+0	6.873600000E+0	100.000001490E-3	1.464344026E-6	382.343045140E-12	68.289964479E+3	17.830641240E+0	28.204751472E-3	29.579310761E-3	30.872140077E-6	10.049687800E-6	19.261014475E+3	20.199700511E+3	21.082573178E+0	6.862928126E+0	75.000000000E+0	269.182343082E-12
186.189612865E+0	7.862200000E+0	100.000001490E-3	1.485818858E-6	573.204052151E-12	67.302956180E+3	25.964354266E+0	28.047595342E-3	29.619665687E-3	33.304820216E-6	12.496893223E-6	18.876860521E+3	19.934910320E+3	22.415128222E+0	8.410778445E+0	75.000000000E+0	235.492070289E-12
232.331170082E+0	8.879800000E+0	100.000001490E-3	1.509262387E-6	364.929840047E-12	66.257532384E+3	16.020640878E+0	28.042383009E-3	29.625933291E-3	26.518341640E-6	17.626034286E-6	18.580190726E+3	19.629412052E+3	17.570398538E+0	11.678575201E+0	75.000000000E+0	238.056879764E-12
277.297342300E+0	9.855200000E+0	100.000001490E-3	1.532826607E-6	696.043736616E-12	65.238952016E+3	29.624462229E+0	28.052811723E-3	29.533116637E-3	22.839721934E-6	9.889874384E-6	18.301360106E+3	19.267095505E+3	14.900395011E+0	6.452050308E+0	75.000000000E+0	222.770552005E-12
322.598259926E+0	10.891300000E+0	100.000001490E-3	1.558829606E-6	449.385900122E-12	64.150694296E+3	18.493629705E+0	28.029328872E-3	29.555449157E-3	28.004636418E-6	15.648525622E-6	17.981008810E+3	18.960025554E+3	17.965168430E+0	10.038637684E+0	75.000000000E+0	235.894331846E-12
366.909736633E+0	11.872500000E+0	100.000001490E-3	1.583359214E-6	462.325172671E-12	63.156863343E+3	18.441177147E+0	28.184439729E-3	29.494940048E-3	15.730953113E-6	15.339140487E-6	17.800407818E+3	18.628078701E+3	9.935176412E+0	9.687719851E+0	75.000000000E+0	222.468737876E-12
411.228957653E+0	12.878600000E+0	100.000001490E-3	1.607877264E-6	381.449770131E-12	62.193802802E+3	14.754740497E+0	28.263815362E-3	29.528847875E-3	39.701929432E-6	20.494510548E-6	17.578341329E+3	18.365113143E+3	24.692139331E+0	12.746315286E+0	75.000000000E+0	227.497132244E-12
