[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191105 00:57:05"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.134393215E+0	300.000800000E+0	100.000001490E-3	11.323278582E-9	182.849895074E-12	8.831364588E+6	142.610117440E+3	14.162506548E-3	17.324004802E-3	214.376696360E-6	9.588768879E-3	1.250742569E+6	1.529946003E+6	18.932387366E+3	846.819126592E+3	75.000000000E+0	143.823508658E-12
71.516052723E+0	299.141700000E+0	100.000001490E-3	10.572122663E-9	193.965853204E-12	9.458838559E+6	173.540522543E+3	14.132076191E-3	20.167457776E-3	191.545201236E-6	11.446308771E-3	1.336730252E+6	1.907607244E+6	18.117951081E+3	1.082687851E+6	75.000000000E+0	119.084062056E-12
123.060792446E+0	298.087800000E+0	100.000001490E-3	10.126773557E-9	280.237481534E-12	9.874813625E+6	273.265012324E+3	14.205401012E-3	18.236314692E-3	226.830204789E-6	12.897272524E-3	1.402756854E+6	1.800802061E+6	22.399059633E+3	1.273581605E+6	75.000000000E+0	111.792977653E-12
171.701103210E+0	297.049000000E+0	100.000001490E-3	9.645557400E-9	328.137934763E-12	10.367467358E+6	352.697017535E+3	13.899684788E-3	17.168418801E-3	237.474684766E-6	14.578994859E-3	1.441045262E+6	1.779930188E+6	24.620110059E+3	1.511472511E+6	75.000000000E+0	51.804630030E-12
224.632734299E+0	296.061700000E+0	100.000001490E-3	9.175618961E-9	374.247332617E-12	10.898447496E+6	444.516595817E+3	13.011249533E-3	17.844480792E-3	234.380735033E-6	16.256794496E-3	1.418024178E+6	1.944771341E+6	25.543860968E+3	1.771738186E+6	75.000000000E+0	135.224928477E-12
275.835391998E+0	295.018100000E+0	100.000001490E-3	8.845712350E-9	353.173593791E-12	11.304912203E+6	451.359518890E+3	13.060033104E-3	17.676009198E-3	261.707039958E-6	17.987990654E-3	1.476425254E+6	1.998257291E+6	29.585750657E+3	2.033526520E+6	75.000000000E+0	104.903891129E-12
327.371295929E+0	294.042000000E+0	100.000001490E-3	8.693259987E-9	321.005300140E-12	11.503164709E+6	424.763189591E+3	13.167292779E-3	15.334271404E-3	227.403726876E-6	19.805219767E-3	1.514655354E+6	1.763926470E+6	26.158624868E+3	2.278227017E+6	75.000000000E+0	97.109986719E-12
379.145368576E+0	293.055500000E+0	100.000001490E-3	8.236309424E-9	390.088375204E-12	12.141360450E+6	575.039538592E+3	12.984011754E-3	14.832182535E-3	257.452346641E-6	22.335235674E-3	1.576435644E+6	1.800828717E+6	31.258216927E+3	2.711801430E+6	75.000000000E+0	92.333238277E-12
430.667000771E+0	292.068400000E+0	100.000001490E-3	7.868226927E-9	220.509879142E-12	12.709343849E+6	356.183915660E+3	13.059261025E-3	15.654826298E-3	321.996025206E-6	23.139427063E-3	1.659746363E+6	1.989625673E+6	40.923581413E+3	2.940869306E+6	75.000000000E+0	100.479208287E-12
481.452182293E+0	291.051100000E+0	100.000001490E-3	7.814293265E-9	331.159083304E-12	12.797062780E+6	542.322054644E+3	12.927152172E-3	17.694680691E-3	274.966265481E-6	25.540563199E-3	1.654295754E+6	2.264399363E+6	35.187605092E+3	3.268441858E+6	75.000000000E+0	86.399713772E-12
