[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191105 23:25:42"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 1.000000E+0
Final Voltage (V) = 1.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.138633728E+0	299.997000000E+0	1.000000000E+0	96.956669613E-9	4.102724366E-9	10.313885615E+6	436.432377342E+3	136.352763376E-3	197.382541390E-3	1.041563629E-3	9.427435577E-3	1.406326805E+6	2.035780954E+6	10.742568135E+3	97.233492187E+3	75.000000000E+0	148.198578409E-12
93.085332870E+0	299.139800000E+0	1.000000000E+0	85.798818021E-9	2.498804947E-9	11.655172216E+6	339.445258830E+3	135.461297392E-3	201.766548800E-3	732.103748831E-6	11.966570651E-3	1.578824750E+6	2.351623874E+6	8.532795273E+3	139.472441782E+3	75.000000000E+0	108.072134575E-12
140.572055340E+0	298.077200000E+0	1.000000000E+0	83.045863816E-9	2.237757746E-9	12.041538904E+6	324.471872826E+3	133.892096450E-3	207.969007550E-3	954.104371622E-6	13.835919659E-3	1.612266888E+6	2.504266895E+6	11.488884910E+3	166.605764855E+3	75.000000000E+0	164.389835078E-12
185.751101494E+0	297.098700000E+0	1.000000000E+0	79.421702677E-9	2.260746777E-9	12.591016892E+6	358.404565726E+3	132.557456116E-3	203.591736643E-3	983.156101796E-6	15.139778830E-3	1.669033169E+6	2.563426995E+6	12.378935085E+3	190.625210988E+3	75.000000000E+0	159.260826749E-12
233.762923717E+0	296.078700000E+0	1.000000000E+0	75.662894221E-9	2.366782080E-9	13.216517955E+6	413.420847471E+3	131.178960029E-3	198.454928363E-3	1.234694471E-3	16.986164738E-3	1.733729081E+6	2.622883124E+6	16.318361646E+3	224.497951245E+3	75.000000000E+0	157.450608107E-12
281.273546219E+0	295.080400000E+0	1.000000000E+0	72.434051429E-9	2.046736298E-9	13.805661568E+6	390.100347766E+3	127.793300909E-3	204.516868533E-3	1.100359391E-3	21.123600534E-3	1.764271063E+6	2.823490672E+6	15.191189358E+3	291.625280068E+3	75.000000000E+0	103.999267531E-12
330.986355305E+0	294.033600000E+0	1.000000000E+0	69.306084692E-9	1.893251724E-9	14.428747554E+6	394.153721247E+3	128.874299318E-3	207.321160663E-3	1.210588326E-3	19.621789018E-3	1.859494731E+6	2.991384690E+6	17.467273341E+3	283.117840311E+3	75.000000000E+0	124.062232709E-12
380.770815849E+0	293.053600000E+0	1.000000000E+0	66.684039327E-9	1.931264249E-9	14.996092170E+6	434.308073916E+3	128.534047547E-3	204.569975137E-3	1.114965091E-3	21.517172399E-3	1.927508424E+6	3.067750202E+6	16.720119270E+3	322.673500530E+3	75.000000000E+0	141.108388862E-12
429.463860035E+0	292.090900000E+0	1.000000000E+0	63.720292921E-9	2.057741075E-9	15.693587618E+6	506.798358479E+3	125.718634227E-3	206.336724783E-3	1.079289708E-3	27.409979235E-3	1.972976401E+6	3.238163469E+6	16.937927592E+3	430.160910730E+3	75.000000000E+0	172.988345870E-12
479.208181381E+0	291.037700000E+0	1.000000000E+0	61.517815735E-9	1.948801421E-9	16.255453612E+6	514.950843462E+3	127.210879362E-3	211.371817623E-3	988.294445982E-6	27.483807607E-3	2.067870548E+6	3.435944776E+6	16.065174522E+3	446.761759650E+3	75.000000000E+0	140.856895592E-12
