[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191106 04:21:10"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 1.000000E+0
Final Voltage (V) = 1.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.153669357E+0	4.001600000E+0	1.000000000E+0	702.925708974E-9	725.684036933E-12	1.422625446E+6	1.468685187E+3	667.959254957E-3	563.860620827E-3	39.294492606E-3	5.565142241E-3	950.255832770E+3	802.162466997E+3	55.901345056E+3	7.917112961E+3	75.000000000E+0	132.208188841E-12
48.448269367E+0	4.880900000E+0	1.000000000E+0	693.391250434E-9	898.981311414E-12	1.442187220E+6	1.869794806E+3	663.476401290E-3	552.563185037E-3	36.791554387E-3	4.439695057E-3	956.857186869E+3	796.899563833E+3	53.060309550E+3	6.402871472E+3	75.000000000E+0	106.814945777E-12
94.694523811E+0	5.874500000E+0	1.000000000E+0	686.867898946E-9	573.898038067E-12	1.455884023E+6	1.216433299E+3	662.006241320E-3	549.921348660E-3	31.973539123E-3	3.692742736E-3	963.804309877E+3	800.621705431E+3	46.549764768E+3	5.376205151E+3	75.000000000E+0	109.027453732E-12
140.837494373E+0	6.879700000E+0	1.000000000E+0	682.440018349E-9	737.747062758E-12	1.465330246E+6	1.584085130E+3	664.265650260E-3	548.260957337E-3	30.821995461E-3	3.252849760E-3	973.368548737E+3	803.383363513E+3	45.164402193E+3	4.766499139E+3	75.000000000E+0	125.620860936E-12
185.811514378E+0	7.851800000E+0	1.000000000E+0	678.904112881E-9	517.586696836E-12	1.472962059E+6	1.122965014E+3	662.302117653E-3	546.870303310E-3	30.305249157E-3	2.946418089E-3	975.545890925E+3	805.519207991E+3	44.638482198E+3	4.339962055E+3	75.000000000E+0	75.085895834E-12
230.547500610E+0	8.857300000E+0	1.000000000E+0	676.738211847E-9	660.744153833E-12	1.477676275E+6	1.442752815E+3	662.145842880E-3	545.379867677E-3	30.907171069E-3	2.767468221E-3	978.437202583E+3	805.894891303E+3	45.670793414E+3	4.089422132E+3	75.000000000E+0	134.822888964E-12
275.580210209E+0	9.866200000E+0	1.000000000E+0	673.048063692E-9	458.386942349E-12	1.485777991E+6	1.011905787E+3	659.411583033E-3	545.163043163E-3	28.344883121E-3	2.561115257E-3	979.739217161E+3	809.991251104E+3	42.114203502E+3	3.805248681E+3	75.000000000E+0	123.157012366E-12
319.467765331E+0	10.859000000E+0	1.000000000E+0	670.885434296E-9	647.792659407E-12	1.490567463E+6	1.439260136E+3	657.207039800E-3	546.047970143E-3	28.252395361E-3	2.421319117E-3	979.611430213E+3	813.921337726E+3	42.112101287E+3	3.609139495E+3	75.000000000E+0	110.234280037E-12
363.253974915E+0	11.867900000E+0	1.000000000E+0	669.563448714E-9	1.097427393E-9	1.493510439E+6	2.447892384E+3	654.722714260E-3	544.879845450E-3	26.305701408E-3	2.105199841E-3	977.835208175E+3	813.783736995E+3	39.287839648E+3	3.144137938E+3	75.000000000E+0	110.334852366E-12
407.312376499E+0	12.867500000E+0	1.000000000E+0	668.115607316E-9	911.161817919E-12	1.496746954E+6	2.041231578E+3	656.231450533E-3	544.522490777E-3	26.130967046E-3	1.903034598E-3	982.212424538E+3	815.012379316E+3	39.111445325E+3	2.848361237E+3	75.000000000E+0	38.429329163E-12
