[Main]
Experiment = "RvsVg_300.0K"
Header length = 74    
Date = "20191121 10:30:58"
Comments = "SD: 1I+ to 1V-; Volt1: 1I+ to 1Va; Volt2: 1Va to 1V-; Gate: 2Va to 1V-; "

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.571959972E+0	0.000000000E+0	-65.129458771E-12	100.000001490E-3	3.171808995E-9	2.295404819E-9	31.527750142E+6	22.816301273E+6	-281.714921581E-3	451.193303804E-3	230.201512223E-3	171.359436188E-3	-88.818375264E+6	142.251095359E+6	72.577356514E+6	54.025774080E+6	299.998500000E+0
42.856155396E+0	-5.000000000E+0	-128.237909759E-12	100.000001490E-3	4.526299682E-9	2.552983793E-9	22.093102204E+6	12.461245569E+6	228.488770529E-3	-116.735902667E-3	231.468087043E-3	167.920803839E-3	50.480256846E+6	-25.790581901E+6	51.138480278E+6	37.098914261E+6	299.997900000E+0
82.492512226E+0	-10.000000000E+0	-156.055037642E-12	100.000001490E-3	3.038717741E-9	2.333533994E-9	32.908618048E+6	25.271639375E+6	209.006341133E-3	-109.127034400E-3	233.175939310E-3	170.538890955E-3	68.781097474E+6	-35.912198402E+6	76.734978103E+6	56.121991411E+6	299.999000000E+0
124.800579548E+0	-15.000000000E+0	-195.155008357E-12	100.000001490E-3	4.744228762E-9	2.148272170E-9	21.078241902E+6	9.544607298E+6	566.781899478E-3	-705.806921880E-3	234.457378902E-3	164.585341286E-3	119.467658048E+6	-148.771688137E+6	49.419492745E+6	34.691695854E+6	300.007100000E+0
166.777173996E+0	-20.000000000E+0	-228.369642641E-12	100.000001490E-3	3.816621343E-9	2.400033625E-9	26.201184899E+6	16.476280751E+6	-255.417064967E-3	431.235299873E-3	235.185914404E-3	172.870111294E-3	-66.922296459E+6	112.988756588E+6	61.621495372E+6	45.294016821E+6	300.005700000E+0
209.329557896E+0	-25.000000000E+0	-309.566605220E-12	100.000001490E-3	2.825957117E-9	2.335371597E-9	35.386241669E+6	29.243198079E+6	181.068899600E-3	-89.432578900E-3	231.869058846E-3	172.592050689E-3	64.073477446E+6	-31.646828029E+6	82.049744297E+6	61.073839249E+6	299.999700000E+0
252.263881683E+0	-30.000000000E+0	-294.721803444E-12	100.000001490E-3	2.616430739E-9	2.195465720E-9	38.220007131E+6	32.070680964E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.006400000E+0
291.119477749E+0	-35.000000000E+0	-323.028404488E-12	100.000001490E-3	2.580534854E-9	2.229930037E-9	38.751656981E+6	33.486656364E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.012200000E+0
329.930641174E+0	-40.000000000E+0	-346.713714220E-12	100.000001490E-3	3.739773220E-9	2.455746067E-9	26.739589707E+6	17.558723058E+6	-203.244893567E-3	NaN	234.743382800E-3	NaN	-54.346849830E+6	NaN	62.769416489E+6	NaN	300.002100000E+0
369.817527294E+0	-45.000000000E+0	-381.852563458E-12	100.000001490E-3	4.218220260E-9	2.525022464E-9	23.706680857E+6	14.190795649E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.002400000E+0
413.744142532E+0	-50.000000000E+0	-413.510078031E-12	100.000001490E-3	3.500918694E-9	2.234438955E-9	28.563931419E+6	18.230746452E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.001000000E+0
456.581878662E+0	-55.000000000E+0	-431.464271718E-12	100.000001490E-3	3.822348548E-9	2.160104773E-9	26.161926428E+6	14.784759014E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	299.999800000E+0
498.562812805E+0	-60.000000000E+0	-453.261956671E-12	100.000001490E-3	3.867345647E-9	2.453526046E-9	25.857528813E+6	16.404564323E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.002700000E+0
540.920128345E+0	-65.000000000E+0	-471.963804149E-12	100.000001490E-3	3.141270622E-9	2.125257827E-9	31.834252288E+6	21.537779442E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.000700000E+0
581.873424053E+0	-70.000000000E+0	-506.318226234E-12	100.000001490E-3	3.001368045E-9	2.211801027E-9	33.318140258E+6	24.553168996E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.001900000E+0
624.546882629E+0	-75.000000000E+0	-513.905119385E-12	100.000001490E-3	3.124574133E-9	2.321663591E-9	32.004361946E+6	23.780316524E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	299.999500000E+0
663.082557678E+0	-70.000000000E+0	-385.092842799E-12	100.000001490E-3	3.235434767E-9	2.390014790E-9	30.907747707E+6	22.831544901E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.001300000E+0
703.238978386E+0	-65.000000000E+0	-327.859412767E-12	100.000001490E-3	3.061449668E-9	2.544300346E-9	32.664264429E+6	27.146518246E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.002300000E+0
740.954760075E+0	-60.000000000E+0	-286.059024153E-12	100.000001490E-3	3.080549794E-9	2.452130770E-9	32.461738380E+6	25.839682148E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.000300000E+0
775.939468861E+0	-55.000000000E+0	-250.345239909E-12	100.000001490E-3	3.393905785E-9	2.577692405E-9	29.464577933E+6	22.378528917E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.001200000E+0
811.944426537E+0	-50.000000000E+0	-209.798708730E-12	100.000001490E-3	3.956086722E-9	2.445514904E-9	25.277504895E+6	15.625672362E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.999400000E+0
849.294942379E+0	-45.000000000E+0	-185.737964129E-12	100.000001490E-3	3.325619567E-9	2.618980870E-9	30.069585375E+6	23.680299952E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.997500000E+0
884.260107994E+0	-40.000000000E+0	-153.168644203E-12	100.000001490E-3	3.205580351E-9	2.489011867E-9	31.195599722E+6	24.222202972E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.995900000E+0
920.347870827E+0	-35.000000000E+0	-123.787549193E-12	100.000001490E-3	2.920549326E-9	2.442044874E-9	34.240134416E+6	28.630211448E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.992700000E+0
955.788909912E+0	-30.000000000E+0	-105.099152182E-12	100.000001490E-3	3.812606450E-9	2.385216799E-9	26.228776243E+6	16.409067790E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.994700000E+0
995.629125118E+0	-25.000000000E+0	-78.510755420E-12	100.000001490E-3	4.021561953E-9	2.709127420E-9	24.865960703E+6	16.750968094E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.001200000E+0
1.032035626E+3	-20.000000000E+0	-57.648426195E-12	100.000001490E-3	4.185486665E-9	2.685717370E-9	23.892084599E+6	15.330926064E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.004900000E+0
1.069470725E+3	-15.000000000E+0	-28.073418532E-12	100.000001490E-3	3.490379382E-9	2.469559988E-9	28.650181123E+6	20.270960029E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.995900000E+0
1.109759563E+3	-10.000000000E+0	-11.083673765E-12	100.000001490E-3	4.521411564E-9	2.545766110E-9	22.116987156E+6	12.452897854E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.999100000E+0
1.146556619E+3	-5.000000000E+0	12.732965810E-12	100.000001490E-3	4.412801364E-9	2.671996640E-9	22.661342134E+6	13.721675877E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.000500000E+0
1.182756527E+3	0.000000000E+0	36.495773446E-12	100.000001490E-3	3.676909472E-9	2.622233171E-9	27.196753758E+6	19.395699131E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.999900000E+0
1.219413341E+3	5.000000000E+0	64.733698205E-12	100.000001490E-3	4.426452545E-9	2.706475790E-9	22.591454549E+6	13.813143637E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.010400000E+0
1.256659554E+3	10.000000000E+0	85.574759663E-12	100.000001490E-3	4.632121178E-9	2.715191398E-9	21.588382005E+6	12.654372986E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.997000000E+0
1.292534967E+3	15.000000000E+0	124.870131365E-12	100.000001490E-3	4.683347875E-9	2.697123392E-9	21.352247185E+6	12.296683247E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.997000000E+0
1.329380757E+3	20.000000000E+0	149.442386706E-12	100.000001490E-3	4.393929332E-9	2.761989949E-9	22.758673145E+6	14.305925683E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.998400000E+0
1.367636426E+3	25.000000000E+0	171.701486362E-12	100.000001490E-3	5.659479909E-9	2.956025887E-9	17.669468413E+6	9.229011655E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.003800000E+0
1.404859040E+3	30.000000000E+0	185.977233613E-12	100.000001490E-3	5.223931218E-9	2.706458703E-9	19.142671930E+6	9.917598237E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.999400000E+0
1.440536763E+3	35.000000000E+0	242.540180069E-12	100.000001490E-3	3.371002794E-9	2.697106487E-9	29.664763752E+6	23.734488408E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.994000000E+0
1.475455118E+3	40.000000000E+0	284.701652068E-12	100.000001490E-3	3.532734640E-9	2.541306102E-9	28.306683544E+6	20.362680742E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.999700000E+0
1.511620160E+3	45.000000000E+0	294.079699481E-12	100.000001490E-3	3.806373392E-9	2.788612096E-9	26.271726707E+6	19.247101465E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.000200000E+0
1.546632768E+3	50.000000000E+0	313.521231199E-12	100.000001490E-3	4.313631667E-9	2.694318332E-9	23.182322741E+6	14.479807724E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.003200000E+0
