[Main]
Experiment = "RvsVg_300.0K"
Header length = 74    
Date = "20191121 13:49:14"
Comments = "SD: 1I+ to 1V-; Volt1: 1I+ to 1Va; Volt2: 1Va to 1V-; Gate: 2Va to 1V-; "

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 1.000000E+0
Final Voltage (V) = 1.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.577167988E+0	0.000000000E+0	-63.679416080E-12	1.000000000E+0	61.024660398E-9	9.409764633E-9	16.386817943E+6	2.526783417E+6	1.050750049E+0	-402.853333667E-3	234.928853428E-3	169.389922820E-3	17.218449762E+6	-6.601484237E+6	3.849736351E+6	2.775761827E+6	300.000800000E+0
42.669832706E+0	-5.000000000E+0	-125.611120579E-12	1.000000000E+0	53.012406530E-9	7.002893041E-9	18.863508855E+6	2.491853201E+6	253.253854814E-3	NaN	235.860981659E-3	NaN	4.777256333E+6	NaN	4.449165716E+6	NaN	300.000200000E+0
82.786044598E+0	-10.000000000E+0	-155.741407964E-12	1.000000000E+0	51.093645156E-9	6.185826691E-9	19.571905605E+6	2.369539611E+6	228.799190700E-3	NaN	235.089909386E-3	NaN	4.478036163E+6	NaN	4.601157515E+6	NaN	299.998700000E+0
124.540404797E+0	-15.000000000E+0	-191.924657185E-12	1.000000000E+0	48.779936918E-9	6.370913081E-9	20.500231513E+6	2.677436696E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.004100000E+0
165.553640842E+0	-20.000000000E+0	-228.966042885E-12	1.000000000E+0	47.845494818E-9	5.871372774E-9	20.900609426E+6	2.564823911E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.000300000E+0
206.094459057E+0	-25.000000000E+0	-264.006110029E-12	1.000000000E+0	47.454070802E-9	5.406360423E-9	21.073007712E+6	2.400811415E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.007600000E+0
246.448045731E+0	-30.000000000E+0	-299.158330053E-12	1.000000000E+0	44.507179132E-9	6.103604192E-9	22.468285330E+6	3.081244941E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.002600000E+0
283.371083260E+0	-35.000000000E+0	-316.110137140E-12	1.000000000E+0	46.449286351E-9	5.269806582E-9	21.528856061E+6	2.442511312E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.005200000E+0
321.452175140E+0	-40.000000000E+0	-346.485251601E-12	1.000000000E+0	43.963513813E-9	6.375722339E-9	22.746134539E+6	3.298713536E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.000800000E+0
357.205609322E+0	-45.000000000E+0	-379.235452301E-12	1.000000000E+0	44.023151745E-9	5.573940700E-9	22.715320470E+6	2.876074162E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.004800000E+0
398.617546082E+0	-50.000000000E+0	-400.188375956E-12	1.000000000E+0	43.360379825E-9	5.931764955E-9	23.062528604E+6	3.154988482E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	299.997700000E+0
437.142074108E+0	-55.000000000E+0	-425.871804488E-12	1.000000000E+0	44.844445590E-9	5.552685753E-9	22.299305674E+6	2.761123151E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.005900000E+0
476.639052868E+0	-60.000000000E+0	-451.597086578E-12	1.000000000E+0	43.675736166E-9	5.495975258E-9	22.896007893E+6	2.881139597E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.002500000E+0
512.223174095E+0	-65.000000000E+0	-462.692228975E-12	1.000000000E+0	43.626539620E-9	5.889972258E-9	22.921827143E+6	3.094651264E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	299.999300000E+0
553.151430130E+0	-70.000000000E+0	-498.645705282E-12	1.000000000E+0	44.287892844E-9	6.086175074E-9	22.579534400E+6	3.102947343E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.000200000E+0
591.303556919E+0	-75.000000000E+0	-521.953778347E-12	1.000000000E+0	44.836682819E-9	5.682879464E-9	22.303166450E+6	2.826841743E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.002300000E+0
630.810422421E+0	-70.000000000E+0	-381.094438414E-12	1.000000000E+0	46.546174811E-9	6.523464359E-9	21.484042546E+6	3.010996852E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.990200000E+0
668.287484646E+0	-65.000000000E+0	-322.319003432E-12	1.000000000E+0	51.554274333E-9	6.314300554E-9	19.397033766E+6	2.375723500E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.002600000E+0
