[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191121 22:36:05"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.123637199E+0	3.998200000E+0	100.000001490E-3	3.024802233E-12	806.796524742E-15	33.060013110E+9	8.817999204E+9	-513.339156667E-6	4.649707909E-3	-169.709989966E+6	1.537194021E+9	75.000000000E+0	559.167101510E-12
49.316619396E+0	4.877700000E+0	100.000001490E-3	2.551201033E-12	446.059886855E-15	39.197225222E+9	6.853364207E+9	14.025303333E-6	4.619743969E-3	5.497529654E+6	1.810811421E+9	75.000000000E+0	471.321259798E-12
96.277469158E+0	5.880500000E+0	100.000001490E-3	3.083048233E-12	606.386030911E-15	32.435432054E+9	6.379528121E+9	-339.105333333E-6	4.701535038E-3	-109.990278344E+6	1.524963180E+9	75.000000000E+0	422.545970435E-12
143.355432987E+0	6.878900000E+0	100.000001490E-3	3.178049633E-12	560.239551573E-15	31.465840068E+9	5.546926626E+9	793.776673333E-6	5.415932128E-3	249.768494805E+6	1.704168516E+9	75.000000000E+0	347.070677753E-12
190.297146797E+0	7.881600000E+0	100.000001490E-3	3.547587767E-12	455.257094581E-15	28.188168431E+9	3.617349169E+9	-137.645496667E-6	5.377942787E-3	-38.799743860E+6	1.515943548E+9	75.000000000E+0	360.294905022E-12
237.316401005E+0	8.881200000E+0	100.000001490E-3	3.702831333E-12	433.977752547E-15	27.006361481E+9	3.165188745E+9	-939.682670000E-6	4.879326950E-3	-253.774094850E+6	1.317728654E+9	75.000000000E+0	368.139380091E-12
284.192392826E+0	9.882100000E+0	100.000001490E-3	3.955449433E-12	506.045446430E-15	25.281577524E+9	3.234430727E+9	198.138613333E-6	5.236645734E-3	50.092566388E+6	1.323906631E+9	75.000000000E+0	343.902323285E-12
330.241034031E+0	10.879700000E+0	100.000001490E-3	4.522331533E-12	394.821006403E-15	22.112487940E+9	1.930525146E+9	199.904273333E-6	6.252917461E-3	44.203807673E+6	1.382675599E+9	75.000000000E+0	364.217156434E-12
376.260221004E+0	11.882600000E+0	100.000001490E-3	4.602718967E-12	460.339004524E-15	21.726288790E+9	2.172945649E+9	-163.018530000E-6	7.468798551E-3	-35.417876082E+6	1.622692718E+9	75.000000000E+0	354.964890814E-12
421.149257183E+0	12.875100000E+0	100.000001490E-3	4.674673000E-12	534.089510577E-15	21.391870937E+9	2.444058414E+9	96.895046667E-6	7.911550966E-3	20.727663019E+6	1.692428746E+9	75.000000000E+0	335.304201071E-12
466.101710796E+0	13.883200000E+0	100.000001490E-3	4.699572310E-12	520.246163100E-15	21.278532363E+9	2.355549418E+9	-168.217096667E-6	8.103202683E-3	-35.794128821E+6	1.724242580E+9	75.000000000E+0	334.952260372E-12
511.023591518E+0	14.888400000E+0	100.000001490E-3	5.593084507E-12	897.514443160E-15	17.879222345E+9	2.869053787E+9	218.670496667E-6	8.702806186E-3	39.096583720E+6	1.555994045E+9	75.000000000E+0	339.427402851E-12
555.864541054E+0	15.901300000E+0	100.000001490E-3	5.217885303E-12	407.497138490E-15	19.164852364E+9	1.496702600E+9	821.287740000E-6	9.640565596E-3	157.398580508E+6	1.847600136E+9	75.000000000E+0	314.235137910E-12
600.836938381E+0	16.894200000E+0	100.000001490E-3	5.735957767E-12	652.463001148E-15	17.433880366E+9	1.983097221E+9	-456.879450000E-6	8.534737617E-3	-79.651815544E+6	1.487935924E+9	75.000000000E+0	331.432631340E-12
645.836558819E+0	17.906200000E+0	100.000001490E-3	5.603830577E-12	334.882019203E-15	17.844936624E+9	1.066404190E+9	484.099023333E-6	8.203546048E-3	86.387162622E+6	1.463917571E+9	75.000000000E+0	333.393507246E-12
690.824419498E+0	18.904700000E+0	100.000001490E-3	5.698682829E-12	680.844292191E-15	17.547914928E+9	2.096519156E+9	-231.497883333E-6	7.655454414E-3	-40.623051022E+6	1.343372608E+9	75.000000000E+0	335.103222948E-12
735.830342770E+0	19.911100000E+0	100.000001490E-3	6.228628008E-12	463.667597055E-15	16.054900270E+9	1.195148758E+9	-737.644986667E-6	7.774649433E-3	-118.428165193E+6	1.248212194E+9	75.000000000E+0	325.750315611E-12
780.746454716E+0	20.918800000E+0	100.000001490E-3	6.602210200E-12	391.974787827E-15	15.146443155E+9	899.247927902E+6	-524.608636667E-6	8.244621851E-3	-79.459547754E+6	1.248766943E+9	75.000000000E+0	303.525093948E-12
