[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20200219 12:26:58"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 5.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
0.000000000E+0	0.000000000E+0	2.698190220E-9	1.584823208E-9	0.000000000E+0	0.000000000E+0
10.128150463E+0	100.000001490E-3	4.293191200E-9	1.767665397E-9	23.292696931E+6	9.590463704E+6
16.795267105E+0	200.000002980E-3	6.357947933E-9	2.291870856E-9	31.456690913E+6	11.339299076E+6
25.829966545E+0	300.000011921E-3	7.405874900E-9	2.098870901E-9	40.508382328E+6	11.480326913E+6
35.333258629E+0	400.000005960E-3	9.449587600E-9	1.997022389E-9	42.329890244E+6	8.945759553E+6
44.709869862E+0	500.000000000E-3	9.650118400E-9	2.098788594E-9	51.812835789E+6	11.268689594E+6
53.141596317E+0	600.000023842E-3	9.610262700E-9	1.684042888E-9	62.433259378E+6	10.940417523E+6
62.129856110E+0	699.999988079E-3	10.932108833E-9	1.830395440E-9	64.031560493E+6	10.720994288E+6
70.932960987E+0	800.000011921E-3	10.870759533E-9	1.455033935E-9	73.591915033E+6	9.850161198E+6
79.766843319E+0	899.999976158E-3	10.888663700E-9	1.293127867E-9	82.654768386E+6	9.816005642E+6
88.069867134E+0	1.000000000E+0	11.220587500E-9	1.081505546E-9	89.121893127E+6	8.590086898E+6
95.469942570E+0	1.100000024E+0	12.050072667E-9	779.886553713E-12	91.285758540E+6	5.908058615E+6
102.934790611E+0	1.200000048E+0	13.038788333E-9	729.461249355E-12	92.033095178E+6	5.148835526E+6
110.603559971E+0	1.299999952E+0	13.850735333E-9	668.966135433E-12	93.857829280E+6	4.533167938E+6
118.150376797E+0	1.399999976E+0	15.177691667E-9	574.161649196E-12	92.240638887E+6	3.489400003E+6
125.614070415E+0	1.500000000E+0	16.699935000E-9	623.661952767E-12	89.820708883E+6	3.354369864E+6
132.869196892E+0	1.600000024E+0	18.306999000E-9	913.237809956E-12	87.398269036E+6	4.359830020E+6
140.400172710E+0	1.700000048E+0	20.938508000E-9	1.134881345E-9	81.190123369E+6	4.400559791E+6
147.791920185E+0	1.799999952E+0	24.514710667E-9	1.810009125E-9	73.425298662E+6	5.421253483E+6
154.950376034E+0	1.899999976E+0	27.359586000E-9	2.271781708E-9	69.445494393E+6	5.766352015E+6
162.208733082E+0	2.000000000E+0	30.423064333E-9	2.620569915E-9	65.739597369E+6	5.662651508E+6
169.409377098E+0	2.099999905E+0	35.878132000E-9	3.456252136E-9	58.531472726E+6	5.638518962E+6
176.873152256E+0	2.200000048E+0	40.826550000E-9	4.386649147E-9	53.886503946E+6	5.789888848E+6
184.134283543E+0	2.299999952E+0	44.992731000E-9	5.168125593E-9	51.119367533E+6	5.871866539E+6
190.235965729E+0	2.400000095E+0	49.222987333E-9	5.776530175E-9	48.757709058E+6	5.721927760E+6
196.072281837E+0	2.500000000E+0	53.781476667E-9	6.645256559E-9	46.484406062E+6	5.743628167E+6
201.913031101E+0	2.599999905E+0	60.922826000E-9	7.693298101E-9	42.676941884E+6	5.389218746E+6
208.154654503E+0	2.700000048E+0	66.819099000E-9	9.234939775E-9	40.407609323E+6	5.584658341E+6
214.371154308E+0	2.799999952E+0	82.662043667E-9	9.956982382E-9	33.872861450E+6	4.080125167E+6
223.164916039E+0	2.900000095E+0	93.431305000E-9	11.664561013E-9	31.038848225E+6	3.875088108E+6
230.607944012E+0	3.000000000E+0	104.436956667E-9	2.173395654E-9	28.725463627E+6	597.794112370E+3
233.596122742E+0	3.099999905E+0	125.685326667E-9	3.357602108E-9	24.664771830E+6	658.903406566E+3
236.594568729E+0	3.200000048E+0	139.759820000E-9	4.965932275E-9	22.896423648E+6	813.553488907E+3
239.590498447E+0	3.299999952E+0	152.380373333E-9	2.550932107E-9	21.656331981E+6	362.539028928E+3
242.588584900E+0	3.400000095E+0	163.961703333E-9	3.331728840E-9	20.736550220E+6	421.370118788E+3
245.578907967E+0	3.500000000E+0	182.532756667E-9	3.942165477E-9	19.174640563E+6	414.115293234E+3
248.576874733E+0	3.599999905E+0	198.847133333E-9	4.270541939E-9	18.104359084E+6	388.818402635E+3
251.572774410E+0	3.700000048E+0	204.561156667E-9	3.541731074E-9	18.087500618E+6	313.163378771E+3
