[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200204 11:35:35"
Comments = "SD: 3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	69.967118667E-12	709.405759592E-15	0.000000000E+0	0.000000000E+0	299.997500000E+0
8.460347176E+0	-100.000001490E-3	-8.620577033E-9	132.709761668E-12	11.600151719E+6	178.578923889E+3	299.996600000E+0
11.821963310E+0	-200.000002980E-3	-17.012367000E-9	457.848282122E-12	11.756153802E+6	316.389531357E+3	299.998400000E+0
15.057105541E+0	-300.000011921E-3	-24.287022000E-9	455.048899763E-12	12.352276534E+6	231.435943285E+3	300.003800000E+0
18.128393650E+0	-400.000005960E-3	-32.512883333E-9	668.310932964E-12	12.302815529E+6	252.887633492E+3	300.002200000E+0
21.208136559E+0	-500.000000000E-3	-42.521474333E-9	647.114876700E-12	11.758764432E+6	178.951259688E+3	300.004300000E+0
24.254444599E+0	-600.000023842E-3	-54.473613667E-9	822.272490214E-12	11.014507455E+6	166.262633668E+3	300.001000000E+0
27.300960064E+0	-699.999988079E-3	-71.448933000E-9	653.334640125E-12	9.797207022E+6	89.586428446E+3	300.003100000E+0
30.431193352E+0	-800.000011921E-3	-94.917092000E-9	922.895474114E-12	8.428408362E+6	81.950887532E+3	300.004300000E+0
33.482849598E+0	-899.999976158E-3	-127.742770000E-9	912.196269016E-12	7.045408332E+6	50.310441792E+3	300.003800000E+0
36.672111988E+0	-1.000000000E+0	-171.547970000E-9	1.060903315E-9	5.829273293E+6	36.049947790E+3	299.997900000E+0
39.775895119E+0	-1.100000024E+0	-230.589146667E-9	2.235684057E-9	4.770389412E+6	46.251455057E+3	300.001500000E+0
42.807413578E+0	-1.200000048E+0	-311.273713333E-9	3.474390705E-9	3.855128128E+6	43.030364462E+3	299.999400000E+0
45.864502430E+0	-1.299999952E+0	-419.841070000E-9	4.909126107E-9	3.096409678E+6	36.205761355E+3	300.001500000E+0
48.925188065E+0	-1.399999976E+0	-560.188173333E-9	6.751409639E-9	2.499160180E+6	30.119975629E+3	299.999100000E+0
52.132462978E+0	-1.500000000E+0	-742.730176667E-9	11.288345444E-9	2.019575947E+6	30.694418590E+3	300.002700000E+0
55.217741013E+0	-1.600000024E+0	-968.815080000E-9	16.786766812E-9	1.651501981E+6	28.615758794E+3	300.000600000E+0
58.274878979E+0	-1.700000048E+0	-1.252517233E-6	21.575179064E-9	1.357266792E+6	23.379537865E+3	300.000300000E+0
61.446318626E+0	-1.799999952E+0	-1.607854933E-6	29.022083776E-9	1.119503952E+6	20.207256769E+3	300.002700000E+0
64.549036980E+0	-1.899999976E+0	-2.047505167E-6	36.659198200E-9	927.958574704E+3	16.614472025E+3	300.000600000E+0
67.584664822E+0	-2.000000000E+0	-2.564180700E-6	38.568559729E-9	779.976231784E+3	11.731840850E+3	300.002100000E+0
70.595048904E+0	-2.099999905E+0	-3.191522500E-6	51.423283007E-9	657.993137956E+3	10.601889020E+3	300.002700000E+0
73.678650379E+0	-2.200000048E+0	-3.978237467E-6	67.857440113E-9	553.008729649E+3	9.432759374E+3	300.004500000E+0
76.748126984E+0	-2.299999952E+0	-4.880910867E-6	69.246739762E-9	471.223510354E+3	6.685369326E+3	299.999100000E+0
79.811212063E+0	-2.400000095E+0	-5.901761633E-6	88.671815988E-9	406.658256378E+3	6.109891981E+3	300.004500000E+0
82.842467785E+0	-2.500000000E+0	-7.089489833E-6	111.428222874E-9	352.634682999E+3	5.542494167E+3	299.999100000E+0
85.940520763E+0	-2.599999905E+0	-8.446797767E-6	91.461118000E-9	307.808944461E+3	3.332925798E+3	300.000900000E+0
89.010900974E+0	-2.700000048E+0	-10.006710300E-6	132.253948195E-9	269.818948160E+3	3.566069180E+3	300.000000000E+0
92.071622372E+0	-2.799999952E+0	-11.721168667E-6	123.108957901E-9	238.884025300E+3	2.509029965E+3	300.002400000E+0
95.204530239E+0	-2.900000095E+0	-13.666907667E-6	163.310028235E-9	212.191387115E+3	2.535539294E+3	300.000600000E+0
