[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200204 11:39:19"
Comments = "SD: 3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	111.894034333E-12	46.153268459E-12	0.000000000E+0	0.000000000E+0	299.999000000E+0
9.392576694E+0	100.000001490E-3	134.650110000E-9	2.711977414E-9	742.665575915E+3	14.957969718E+3	299.997200000E+0
12.677882195E+0	200.000002980E-3	297.499776667E-9	4.893044593E-9	672.269422253E+3	11.056963801E+3	299.991900000E+0
15.786906242E+0	300.000011921E-3	538.114383333E-9	9.293850119E-9	557.502310313E+3	9.628701766E+3	299.993300000E+0
18.823783875E+0	400.000005960E-3	824.349183333E-9	11.589791143E-9	485.231275833E+3	6.822023066E+3	299.992700000E+0
21.914487362E+0	500.000000000E-3	1.177087567E-6	15.435181984E-9	424.777233368E+3	5.570115670E+3	299.995100000E+0
25.091345310E+0	600.000023842E-3	1.624392700E-6	18.683476665E-9	369.368825557E+3	4.248414705E+3	299.992700000E+0
28.158968925E+0	699.999988079E-3	2.101884167E-6	33.458279225E-9	333.034521683E+3	5.301320689E+3	299.996600000E+0
31.263936043E+0	800.000011921E-3	2.688161300E-6	23.447784357E-9	297.601193768E+3	2.595859339E+3	299.997200000E+0
34.312652111E+0	899.999976158E-3	3.298283067E-6	41.045450913E-9	272.869234680E+3	3.395718485E+3	299.997800000E+0
37.408609390E+0	1.000000000E+0	4.002494800E-6	47.180160390E-9	249.844172190E+3	2.945085179E+3	300.001400000E+0
40.475645542E+0	1.100000024E+0	4.821868500E-6	77.140950875E-9	228.127337741E+3	3.649614201E+3	300.000200000E+0
43.542446136E+0	1.200000048E+0	5.637875000E-6	73.027019735E-9	212.846160598E+3	2.756982156E+3	300.002300000E+0
46.608948708E+0	1.299999952E+0	6.603931600E-6	70.377131227E-9	196.852425352E+3	2.097827447E+3	300.001400000E+0
49.672533512E+0	1.399999976E+0	7.690938667E-6	82.726588204E-9	182.032393812E+3	1.958007928E+3	300.003800000E+0
52.736504555E+0	1.500000000E+0	8.685621000E-6	56.658671357E-9	172.699223233E+3	1.126564069E+3	300.002000000E+0
55.816879272E+0	1.600000024E+0	9.783168300E-6	67.222774722E-9	163.546202496E+3	1.123769845E+3	300.003000000E+0
58.931989670E+0	1.700000048E+0	10.740539000E-6	54.431016852E-9	158.278839422E+3	802.127172188E+0	300.000300000E+0
62.046079159E+0	1.799999952E+0	11.616824667E-6	79.968517371E-9	154.947673221E+3	1.066637059E+3	299.998900000E+0
65.141058445E+0	1.899999976E+0	12.820900333E-6	74.799412891E-9	148.195518783E+3	864.599014876E+0	299.998300000E+0
68.204742432E+0	2.000000000E+0	13.724304000E-6	77.402462386E-9	145.726879848E+3	821.871865857E+0	299.998300000E+0
