[Main]
Experiment = "Rvst_3.0K"
Header length = 45    
Date = "20200211 18:20:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+0
Delay after setting initial temperature (s) = 0.000000E+0
Initial temperature stabilization (K) = 1.000000E+0
Initial temperature ramp rate (K/min) = 5.000000E+0
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	100.000001490E-3	3.092115133E-9	36.504083417E-12	32.340322788E+6	381.794917098E+3	3.000200000E+0
11.998374939E+0	100.000001490E-3	2.830618680E-9	36.345819508E-12	35.327966356E+6	453.619520676E+3	3.000200000E+0
26.997673512E+0	100.000001490E-3	2.328411670E-9	42.599602827E-12	42.947732464E+6	785.752952754E+3	3.000200000E+0
41.998041630E+0	100.000001490E-3	2.937450482E-9	44.891855135E-12	34.043127575E+6	520.267204853E+3	3.000200000E+0
56.996756554E+0	100.000001490E-3	2.922308552E-9	62.640329621E-12	34.219521901E+6	733.503014283E+3	2.999200000E+0
71.997786999E+0	100.000001490E-3	2.970145507E-9	49.998337870E-12	33.668384682E+6	566.761213843E+3	2.999200000E+0
86.997153282E+0	100.000001490E-3	2.677891117E-9	81.290586329E-12	37.342818329E+6	1.133585894E+6	2.999200000E+0
101.996675968E+0	100.000001490E-3	2.603548807E-9	64.527329138E-12	38.409113439E+6	951.945858537E+3	2.999200000E+0
116.997092724E+0	100.000001490E-3	2.619950337E-9	58.514482788E-12	38.168662996E+6	852.466377763E+3	2.999900000E+0
131.997060776E+0	100.000001490E-3	2.583387420E-9	53.418788921E-12	38.708867555E+6	800.414529084E+3	2.999900000E+0
146.996871948E+0	100.000001490E-3	2.496287855E-9	67.654528888E-12	40.059483244E+6	1.085694289E+6	2.999900000E+0
161.997093678E+0	100.000001490E-3	2.470524050E-9	52.257252620E-12	40.477242663E+6	856.186562893E+3	2.999900000E+0
176.996912003E+0	100.000001490E-3	2.482714168E-9	67.278296061E-12	40.278499548E+6	1.091494483E+6	2.998400000E+0
191.996527672E+0	100.000001490E-3	2.574796336E-9	90.053964568E-12	38.838023847E+6	1.358366864E+6	2.998400000E+0
206.996640682E+0	100.000001490E-3	2.564623289E-9	82.181810239E-12	38.992081957E+6	1.249477806E+6	2.998400000E+0
