[Main]
Experiment = "RvsB_100.00Vg_"
Header length = 66    
Date = "20200216 10:23:22"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 1.000000E+2
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
7.068383694E+0	-8.999978125E+0	100.000001490E-3	1.045453000E-12	285.818965098E-15	95.652316737E+9	26.150621959E+9	100.000000000E+0	63.665283462E-12	2.999200000E+0
91.725072861E+0	-8.799991406E+0	100.000001490E-3	1.012889667E-12	297.025517789E-15	98.727437727E+9	28.951394486E+9	100.000000000E+0	64.389345245E-12	2.998900000E+0
164.319122314E+0	-8.599954688E+0	100.000001490E-3	1.047836000E-12	315.805409630E-15	95.434783201E+9	28.762917863E+9	100.000000000E+0	67.235506745E-12	2.998900000E+0
230.866546154E+0	-8.399954687E+0	100.000001490E-3	1.000214667E-12	314.164605964E-15	99.978539430E+9	31.402977272E+9	100.000000000E+0	66.928726450E-12	3.000000000E+0
291.381558418E+0	-8.199967969E+0	100.000001490E-3	917.964666667E-15	323.554061797E-15	108.936656411E+9	38.396791228E+9	100.000000000E+0	59.858561857E-12	2.999600000E+0
363.938860416E+0	-7.999969531E+0	100.000001490E-3	787.401666667E-15	329.155057867E-15	126.999987076E+9	53.089407687E+9	100.000000000E+0	58.908175560E-12	3.002100000E+0
436.462947845E+0	-7.799982812E+0	100.000001490E-3	829.661666667E-15	313.792291221E-15	120.531061646E+9	45.586917555E+9	100.000000000E+0	54.653991749E-12	2.998800000E+0
508.994039059E+0	-7.599984375E+0	100.000001490E-3	789.342000000E-15	297.990633811E-15	126.687800079E+9	47.826896126E+9	100.000000000E+0	45.114824376E-12	2.999400000E+0
575.503135681E+0	-7.399980469E+0	100.000001490E-3	817.924666667E-15	303.438859572E-15	122.260650113E+9	45.357028285E+9	100.000000000E+0	47.417954979E-12	3.000200000E+0
635.988676548E+0	-7.199992188E+0	100.000001490E-3	932.721000000E-15	264.145138631E-15	107.213198256E+9	30.362611238E+9	100.000000000E+0	48.237631251E-12	2.998900000E+0
696.493068695E+0	-6.999982812E+0	100.000001490E-3	980.572666667E-15	287.979955736E-15	101.981224737E+9	29.950405089E+9	100.000000000E+0	42.655924279E-12	2.999300000E+0
