[Main]
Experiment = "RvsB_100.00Vg_2.0K"
Header length = 71    
Date = "20200216 21:51:50"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 1.000000E+2
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.120967388E+0	-8.999972656E+0	100.000001490E-3	1.777175933E-6	34.313871964E-9	56.269050029E+3	1.086447854E+3	100.000000000E+0	89.029124350E-12	2.051900000E+0
971.664021492E+0	-8.799971875E+0	100.000001490E-3	1.763703521E-6	10.301357567E-9	56.698872741E+3	331.164141132E+0	100.000000000E+0	87.208813088E-12	2.051900000E+0
1.021575778E+3	-8.599976563E+0	100.000001490E-3	1.758364600E-6	53.158634561E-9	56.871027471E+3	1.719317010E+3	100.000000000E+0	79.852048585E-12	2.030700000E+0
1.071636972E+3	-8.399950000E+0	100.000001490E-3	1.701834799E-6	80.339191909E-9	58.760110892E+3	2.773911915E+3	100.000000000E+0	79.635804201E-12	2.030700000E+0
1.121591756E+3	-8.199977344E+0	100.000001490E-3	1.706420315E-6	11.664410107E-9	58.602209896E+3	400.581382710E+0	100.000000000E+0	74.883849122E-12	2.013000000E+0
1.171623600E+3	-7.999978125E+0	100.000001490E-3	1.707732585E-6	38.899617424E-9	58.557178301E+3	1.333845740E+3	100.000000000E+0	76.563410473E-12	2.013000000E+0
1.221562015E+3	-7.799967188E+0	100.000001490E-3	1.726012778E-6	51.851543768E-9	57.936999531E+3	1.740498625E+3	100.000000000E+0	73.455720673E-12	2.000900000E+0
1.271584084E+3	-7.599958594E+0	100.000001490E-3	1.732133358E-6	61.663509233E-9	57.732276229E+3	2.055254425E+3	100.000000000E+0	73.521118360E-12	2.000900000E+0
1.321523370E+3	-7.399965625E+0	100.000001490E-3	1.695601500E-6	10.023382505E-9	58.976122320E+3	348.631581521E+0	100.000000000E+0	75.844298203E-12	1.999800000E+0
1.371570788E+3	-7.199962500E+0	100.000001490E-3	1.663600819E-6	26.372204065E-9	60.110574825E+3	952.901878835E+0	100.000000000E+0	74.018891710E-12	1.999800000E+0
1.421534256E+3	-6.999954687E+0	100.000001490E-3	1.746334961E-6	74.843402007E-9	57.262783901E+3	2.454134889E+3	100.000000000E+0	73.365239578E-12	2.000000000E+0
1.471546871E+3	-6.799975000E+0	100.000001490E-3	1.711299203E-6	37.738427246E-9	58.435135887E+3	1.288640888E+3	100.000000000E+0	71.992298234E-12	2.000000000E+0
