[Main]
Experiment = "IvsV_300.0K"
Header length = 55    
Date = "20201116 15:19:43"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
0.000000000E+0	-10.000000000E+0	-1.294019000E-9	95.175181452E-12	7.727861801E+9	568.384737132E+6	-1.034716623E+0	-1.600137339E+0	330.728130260E-3	301.763144787E-3	799.614706585E+6	1.236564022E+9	255.582128439E+6	233.198387958E+6	300.016500000E+0
6.508405685E+0	-9.899999619E+0	-1.090387203E-9	65.166985427E-12	9.079343180E+9	542.626897042E+6	-1.950076080E+0	-2.667227271E+0	284.728825844E-3	242.426153330E-3	1.788425317E+9	2.446128552E+9	261.126345736E+6	222.330336039E+6	300.016500000E+0
12.837881565E+0	-9.800000191E+0	-1.039443377E-9	55.715300386E-12	9.428123177E+9	505.357700741E+6	-2.373268004E+0	-3.153509523E+0	262.557400616E-3	216.045395899E-3	2.283210473E+9	3.033844454E+9	252.594231210E+6	207.847200481E+6	300.016500000E+0
19.163420200E+0	-9.699999809E+0	-939.447690000E-12	50.106586681E-12	10.325215456E+9	550.707941245E+6	-2.434890551E+0	-3.495874364E+0	263.734590578E-3	193.257462136E-3	2.591831964E+9	3.721201724E+9	280.733662327E+6	205.713914882E+6	300.016500000E+0
25.494246483E+0	-9.600000381E+0	-977.646686667E-12	54.404732542E-12	9.819498713E+9	546.441990199E+6	-2.777362901E+0	-3.400144771E+0	241.067281484E-3	203.653445660E-3	2.840865662E+9	3.477887070E+9	246.579142314E+6	208.309861260E+6	300.016500000E+0
31.818320274E+0	-9.500000000E+0	-849.282906667E-12	55.151154870E-12	11.185907458E+9	726.396009811E+6	-2.737053481E+0	-3.478643856E+0	242.181459996E-3	198.251899207E-3	3.222781784E+9	4.095977711E+9	285.159936807E+6	233.434462946E+6	300.016500000E+0
38.152609825E+0	-9.399999619E+0	-823.044570000E-12	60.447130158E-12	11.421009215E+9	838.796895983E+6	-2.710478487E+0	-3.499630005E+0	239.725918602E-3	193.442408121E-3	3.293234153E+9	4.252054059E+9	291.267237936E+6	235.032725045E+6	300.016500000E+0
44.485517502E+0	-9.300000191E+0	-775.252933333E-12	54.475394364E-12	11.996085137E+9	842.939691734E+6	-2.523632232E+0	-3.658146550E+0	251.521740113E-3	181.114692732E-3	3.255237257E+9	4.718649092E+9	324.438295295E+6	233.620132147E+6	300.016500000E+0
50.814505577E+0	-9.199999809E+0	-762.951506667E-12	63.199695262E-12	12.058433241E+9	998.869914414E+6	-2.807344064E+0	-3.408527361E+0	238.492306786E-3	198.462516408E-3	3.679583878E+9	4.467554401E+9	312.591697771E+6	260.124679844E+6	300.016500000E+0
57.142092705E+0	-9.100000381E+0	-750.854810000E-12	80.992308328E-12	12.119520659E+9	1.307293955E+9	-2.726682130E+0	-3.437092305E+0	240.949371192E-3	195.231932731E-3	3.631437254E+9	4.577572467E+9	320.900083456E+6	260.012894811E+6	300.003200000E+0
63.631900787E+0	-9.000000000E+0	-677.881093333E-12	57.518641310E-12	13.276664726E+9	1.126533434E+9	-2.666384160E+0	-3.422793737E+0	242.513839939E-3	192.849851109E-3	3.933409836E+9	5.049253875E+9	357.752771576E+6	284.489201728E+6	300.003200000E+0
69.951085091E+0	-8.899999619E+0	-620.582196667E-12	87.399566029E-12	14.341371161E+9	2.019764058E+9	-2.653700723E+0	-3.419154723E+0	244.681482605E-3	194.711739749E-3	4.276147039E+9	5.509592027E+9	394.277315590E+6	313.756567293E+6	300.003200000E+0
76.278553963E+0	-8.800000191E+0	-617.737013333E-12	45.128313459E-12	14.245544626E+9	1.040697561E+9	-2.643207931E+0	-3.404257363E+0	244.092185837E-3	193.290360449E-3	4.278856333E+9	5.510852175E+9	395.139323966E+6	312.900726810E+6	300.003200000E+0
82.608966351E+0	-8.699999809E+0	-654.845586667E-12	52.795830072E-12	13.285574472E+9	1.071127219E+9	-2.623731196E+0	-3.381528620E+0	240.637444872E-3	192.219694014E-3	4.006641031E+9	5.163856471E+9	367.472041916E+6	293.534381124E+6	300.003200000E+0
88.943194389E+0	-8.600000381E+0	-618.793766667E-12	66.770210175E-12	13.898007454E+9	1.499648071E+9	-2.613297522E+0	-3.364116350E+0	244.800491247E-3	194.588341799E-3	4.223212422E+9	5.436571167E+9	395.609174548E+6	314.463965671E+6	300.003200000E+0
95.268984318E+0	-8.500000000E+0	-585.603490000E-12	43.781838862E-12	14.514940818E+9	1.085189571E+9	-2.602556982E+0	-3.339830829E+0	241.970917567E-3	191.473875098E-3	4.444230655E+9	5.703229038E+9	413.199240952E+6	326.968466493E+6	300.003200000E+0
101.595245838E+0	-8.399999619E+0	-642.476410000E-12	57.102594474E-12	13.074409407E+9	1.162039083E+9	-2.588197904E+0	-3.312377068E+0	243.998883922E-3	189.730759738E-3	4.028471495E+9	5.155639983E+9	379.778743818E+6	295.311636015E+6	300.003200000E+0
107.926278591E+0	-8.300000191E+0	-626.784223333E-12	79.248405606E-12	13.242197046E+9	1.674297092E+9	-2.578593536E+0	-3.288164623E+0	244.522846490E-3	192.282333399E-3	4.114005171E+9	5.246087091E+9	390.122848322E+6	306.775962509E+6	300.003200000E+0
114.254595280E+0	-8.199999809E+0	-585.466913333E-12	81.919031077E-12	14.005914976E+9	1.959719598E+9	-2.564912365E+0	-3.270801297E+0	243.258549702E-3	193.314205067E-3	4.380968944E+9	5.586654382E+9	415.494956525E+6	330.188095458E+6	300.003200000E+0
120.579747200E+0	-8.100000381E+0	-662.001970000E-12	61.449651294E-12	12.235613712E+9	1.135758246E+9	-2.551821128E+0	-3.253427474E+0	243.754005507E-3	193.678614902E-3	3.854703223E+9	4.914528387E+9	368.207371811E+6	292.565012913E+6	300.003000000E+0
127.106081009E+0	-8.000000000E+0	-658.099913333E-12	39.447239465E-12	12.156208864E+9	728.656655832E+6	-2.513849636E+0	-3.213785887E+0	243.962198443E-3	193.367838441E-3	3.819860154E+9	4.883431560E+9	370.706929906E+6	293.827478963E+6	300.003000000E+0
133.431686401E+0	-7.900000095E+0	-636.751286667E-12	46.889737775E-12	12.406728123E+9	913.619242693E+6	-2.347081116E+0	-3.362611570E+0	253.745416721E-3	181.551127445E-3	3.686024929E+9	5.280886965E+9	398.500045519E+6	285.120943211E+6	300.003000000E+0
139.759357929E+0	-7.800000191E+0	-650.518026667E-12	29.717942859E-12	11.990444340E+9	547.765511693E+6	-2.625161256E+0	-3.096648278E+0	235.018889696E-3	196.561668200E-3	4.035493481E+9	4.760280501E+9	361.279595740E+6	302.161754391E+6	300.003000000E+0
146.085684776E+0	-7.699999809E+0	-566.742480000E-12	52.609338318E-12	13.586417255E+9	1.261194364E+9	-2.545834289E+0	-3.114332522E+0	241.174696763E-3	193.560976392E-3	4.492047762E+9	5.495145735E+9	425.545473074E+6	341.532500602E+6	300.003000000E+0
152.410245895E+0	-7.599999905E+0	-445.687523333E-12	56.036567860E-12	17.052305723E+9	2.143996941E+9	-2.501405577E+0	-3.111741201E+0	239.162733147E-3	192.946972528E-3	5.612464891E+9	6.981889863E+9	536.615275560E+6	432.919842774E+6	300.003000000E+0
158.734427929E+0	-7.500000000E+0	-453.440336667E-12	42.885841724E-12	16.540213549E+9	1.564353506E+9	-2.477425816E+0	-3.099301752E+0	240.836908417E-3	193.159592294E-3	5.463620272E+9	6.835081711E+9	531.132519413E+6	425.986787400E+6	300.003000000E+0
165.053612232E+0	-7.400000095E+0	-518.626493333E-12	64.988143189E-12	14.268457533E+9	1.787954478E+9	-2.457639391E+0	-3.079947573E+0	242.667981063E-3	192.351507018E-3	4.738746328E+9	5.938662240E+9	467.905099687E+6	370.886388356E+6	300.003000000E+0
171.381297112E+0	-7.300000191E+0	-597.615136667E-12	40.448868001E-12	12.215219701E+9	826.772581472E+6	-2.446364170E+0	-3.060502211E+0	243.311688318E-3	193.092054621E-3	4.093544523E+9	5.121192592E+9	407.137760390E+6	323.104357259E+6	300.003000000E+0
177.709363461E+0	-7.199999809E+0	-458.738600000E-12	75.885872123E-12	15.695212501E+9	2.596347656E+9	-2.432673767E+0	-3.038353406E+0	241.422212681E-3	191.940770172E-3	5.302962880E+9	6.623278280E+9	526.274032055E+6	418.409896555E+6	300.003000000E+0
184.027460098E+0	-7.099999905E+0	-411.406763333E-12	55.723421646E-12	17.257858979E+9	2.337508856E+9	-2.421592462E+0	-3.003745312E+0	243.723272938E-3	187.216915394E-3	5.886127011E+9	7.301156858E+9	592.414356446E+6	455.065234895E+6	300.004200000E+0
190.538590431E+0	-7.000000000E+0	-490.871673333E-12	69.885142103E-12	14.260346197E+9	2.030237992E+9	-2.382954029E+0	-2.965368669E+0	243.037027488E-3	193.561817518E-3	4.854535632E+9	6.041026260E+9	495.113164380E+6	394.322646901E+6	300.004200000E+0
196.872115135E+0	-6.900000095E+0	-401.746360000E-12	49.465285594E-12	17.175015837E+9	2.114685155E+9	-2.383143924E+0	-2.957718765E+0	244.099293149E-3	193.750017961E-3	5.931961460E+9	7.362154482E+9	607.595531540E+6	482.269504474E+6	300.004200000E+0
203.197364807E+0	-6.800000191E+0	-400.605343333E-12	57.557282943E-12	16.974312260E+9	2.438797459E+9	-2.373389754E+0	-2.938406879E+0	242.440068457E-3	191.487374631E-3	5.924508480E+9	7.334916840E+9	605.184310423E+6	477.995058773E+6	300.004200000E+0
209.524528027E+0	-6.699999809E+0	-307.203166667E-12	45.510084195E-12	21.809670395E+9	3.230956070E+9	-2.363093755E+0	-2.914312730E+0	242.666113371E-3	189.618330799E-3	7.692283190E+9	9.486597295E+9	789.920611835E+6	617.240807952E+6	300.004200000E+0
215.844040871E+0	-6.599999905E+0	-354.636866667E-12	54.061798770E-12	18.610585997E+9	2.837047836E+9	-2.351836392E+0	-2.897580124E+0	242.821020480E-3	193.572711031E-3	6.631674856E+9	8.170555282E+9	684.703264955E+6	545.833581405E+6	300.004200000E+0
222.165020943E+0	-6.500000000E+0	-277.063403333E-12	55.892325027E-12	23.460334067E+9	4.732680683E+9	-2.339739501E+0	-2.878160489E+0	242.544711999E-3	192.836189591E-3	8.444780050E+9	10.388093320E+9	875.412303035E+6	696.000219699E+6	300.004200000E+0
228.493884087E+0	-6.400000095E+0	-257.027193333E-12	48.729578571E-12	24.900089412E+9	4.720787897E+9	-2.324103962E+0	-2.853917025E+0	242.143148737E-3	191.653589966E-3	9.042249313E+9	11.103560632E+9	942.091556914E+6	745.654914878E+6	300.004200000E+0
234.818956852E+0	-6.300000191E+0	-253.687612000E-12	79.647248436E-12	24.833692671E+9	7.796735813E+9	-2.314855975E+0	-2.830127773E+0	243.306557923E-3	189.716888465E-3	9.124828592E+9	11.155955747E+9	959.079381153E+6	747.836628559E+6	300.004200000E+0
241.140836716E+0	-6.199999809E+0	-219.100430000E-12	51.945028071E-12	28.297524607E+9	6.708867299E+9	-2.300215156E+0	-2.805697869E+0	241.458762877E-3	192.579883793E-3	10.498451124E+9	12.805533377E+9	1.102046047E+9	878.957123879E+6	300.004200000E+0
247.465809822E+0	-6.099999905E+0	-312.212856667E-12	62.887177529E-12	19.537952312E+9	3.935413451E+9	-2.283294352E+0	-2.776859160E+0	240.219769260E-3	188.241681698E-3	7.313261781E+9	8.894121752E+9	769.410240901E+6	602.927386488E+6	300.001400000E+0
254.035253048E+0	-6.000000000E+0	-218.980660000E-12	35.570898067E-12	27.399679953E+9	4.450763929E+9	-2.080104747E+0	-2.895022349E+0	252.721317703E-3	183.118855943E-3	9.499034056E+9	13.220447637E+9	1.154080537E+9	836.233007715E+6	300.001400000E+0
260.379083157E+0	-5.900000095E+0	-205.947495667E-12	64.786028841E-12	28.648078853E+9	9.011982674E+9	-2.366078064E+0	-2.649388072E+0	236.057355870E-3	197.563445931E-3	11.488744043E+9	12.864385960E+9	1.146201633E+9	959.290353549E+6	300.001400000E+0
266.704092979E+0	-5.800000191E+0	-229.885025000E-12	89.043073323E-12	25.230004393E+9	9.772524901E+9	-2.289186378E+0	-2.675817469E+0	238.493146097E-3	193.776298284E-3	9.957962149E+9	11.639807636E+9	1.037445332E+9	842.927016597E+6	300.001400000E+0
273.027385712E+0	-5.699999809E+0	-129.412498000E-12	44.908944531E-12	44.045203495E+9	15.284641215E+9	-2.248440126E+0	-2.673249093E+0	240.948581854E-3	190.139441191E-3	17.374211619E+9	20.656807758E+9	1.861864855E+9	1.469250993E+9	300.001400000E+0
279.355034351E+0	-5.599999905E+0	-133.604678667E-12	60.023074103E-12	41.914699100E+9	18.830546319E+9	-2.223380758E+0	-2.657762881E+0	241.780486623E-3	191.130502716E-3	16.641488758E+9	19.892738098E+9	1.809670807E+9	1.430567437E+9	300.001400000E+0
285.678102493E+0	-5.500000000E+0	-162.228148667E-12	43.041546694E-12	33.902871020E+9	8.994937180E+9	-2.210782343E+0	-2.632069536E+0	243.502641027E-3	187.424451362E-3	13.627612478E+9	16.224493455E+9	1.500988842E+9	1.155314000E+9	300.001400000E+0
292.002976894E+0	-5.400000095E+0	-204.158103000E-12	62.825099799E-12	26.450089494E+9	8.139424729E+9	-2.197653233E+0	-2.611923955E+0	242.048292336E-3	193.211619680E-3	10.764467347E+9	12.793633547E+9	1.185592385E+9	946.382322528E+6	300.001400000E+0
298.324476242E+0	-5.300000191E+0	-66.882535107E-12	54.454526945E-12	79.243410590E+9	64.518523861E+9	-2.183126798E+0	-2.591549403E+0	241.712987318E-3	192.460763344E-3	32.641208872E+9	38.747774720E+9	3.613992606E+9	2.877593725E+9	300.001400000E+0
304.649430752E+0	-5.199999809E+0	-22.787740433E-12	122.357153071E-12	228.192866444E+9	1.225265382E+12	-2.168329787E+0	-2.571580820E+0	243.070217468E-3	192.608841217E-3	95.153347609E+9	112.849311579E+9	10.666709943E+9	8.452300998E+9	300.001400000E+0
311.132648945E+0	-5.099999905E+0	-155.701460000E-12	41.889108871E-12	32.754990895E+9	8.812231945E+9	-2.137070255E+0	-2.532232263E+0	242.264911543E-3	191.752561945E-3	13.725434912E+9	16.263381621E+9	1.555957867E+9	1.231539909E+9	299.999300000E+0
317.655878544E+0	-5.000000000E+0	-89.185146317E-12	52.479288671E-12	56.063147357E+9	32.989283703E+9	-2.108150213E+0	-2.491475607E+0	242.299015356E-3	188.915629432E-3	23.637907212E+9	27.935992822E+9	2.716809080E+9	2.118240954E+9	299.999300000E+0
323.980932236E+0	-4.900000095E+0	-56.575392533E-12	41.302031900E-12	86.610094530E+9	63.228423648E+9	-2.110155186E+0	-2.484105252E+0	242.355291068E-3	192.486982483E-3	37.298109511E+9	43.907874798E+9	4.283758012E+9	3.402309270E+9	299.999300000E+0
330.305437565E+0	-4.800000191E+0	-60.561345067E-12	59.932860545E-12	79.258480561E+9	78.435963687E+9	-2.104791832E+0	-2.468871768E+0	242.612031666E-3	191.753689703E-3	34.754707474E+9	40.766461934E+9	4.006054215E+9	3.166271976E+9	299.999300000E+0
336.636446476E+0	-4.699999809E+0	-73.834461667E-12	59.090160849E-12	63.655909492E+9	50.944204725E+9	-2.096172038E+0	-2.449059895E+0	242.271637187E-3	191.066231330E-3	28.390158074E+9	33.169604541E+9	3.281281284E+9	2.587764941E+9	299.999300000E+0
342.963585854E+0	-4.599999905E+0	-10.316931383E-12	57.737721948E-12	445.869002489E+9	2.495263323E+12	-2.086000672E+0	-2.428323692E+0	242.381328767E-3	192.217025008E-3	202.191969119E+9	235.372670591E+9	23.493548591E+9	18.631220647E+9	299.999300000E+0
349.286839962E+0	-4.500000000E+0	73.152275667E-12	61.972865779E-12	-61.515516216E+9	52.114480309E+9	-2.073602387E+0	-2.406547755E+0	241.621236686E-3	190.034894409E-3	-28.346382507E+9	-32.897783882E+9	3.302990023E+9	2.597798806E+9	299.999300000E+0
355.614245892E+0	-4.400000095E+0	81.586003110E-12	47.370033436E-12	-53.930820578E+9	31.313027683E+9	-2.058874808E+0	-2.379530095E+0	240.601125511E-3	191.079873744E-3	-25.235637599E+9	-29.165910867E+9	2.949049057E+9	2.342066855E+9	299.999300000E+0
