[Main]
Experiment = "RvsB_400.0K"
Header length = 74    
Date = "20201117 08:54:39"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 2I+; Volt2: 1Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.348932743E+0	-8.999982031E+0	1.000000000E-9	-7.707181000E-3	-1.466099807E-3	10.413492767E-3	2.466067159E-3	1.612408578E-3	120.367475658E-6	-7.707181000E+6	-1.466099807E+6	10.413492767E+6	2.466067159E+6	1.612408578E+6	120.367475658E+3	399.994100000E+0
1.079187938E+3	-8.799970312E+0	1.000000000E-9	-7.519937317E-3	-1.331503340E-3	10.683727283E-3	2.402567121E-3	1.502507869E-3	81.202705931E-6	-7.519937317E+6	-1.331503340E+6	10.683727283E+6	2.402567121E+6	1.502507869E+6	81.202705931E+3	399.999200000E+0
1.236989141E+3	-8.599964844E+0	1.000000000E-9	-7.317273980E-3	-1.369795067E-3	10.480555900E-3	2.424190847E-3	1.488417340E-3	117.625454323E-6	-7.317273980E+6	-1.369795067E+6	10.480555900E+6	2.424190847E+6	1.488417340E+6	117.625454323E+3	400.000000000E+0
1.394913190E+3	-8.399963281E+0	1.000000000E-9	-7.158113901E-3	-1.288120752E-3	10.269235533E-3	2.453729544E-3	1.430600406E-3	88.397313855E-6	-7.158113901E+6	-1.288120752E+6	10.269235533E+6	2.453729544E+6	1.430600406E+6	88.397313855E+3	399.997200000E+0
1.552815962E+3	-8.199977344E+0	1.000000000E-9	-7.086273581E-3	-1.269909395E-3	10.073993017E-3	2.416306155E-3	1.489392446E-3	92.014919035E-6	-7.086273581E+6	-1.269909395E+6	10.073993017E+6	2.416306155E+6	1.489392446E+6	92.014919035E+3	399.996700000E+0
1.704713089E+3	-7.999969531E+0	1.000000000E-9	-6.898257216E-3	-1.236648458E-3	9.872955783E-3	2.425379729E-3	1.253527942E-3	56.994776586E-6	-6.898257216E+6	-1.236648458E+6	9.872955783E+6	2.425379729E+6	1.253527942E+6	56.994776586E+3	400.006000000E+0
1.862525667E+3	-7.799983594E+0	1.000000000E-9	-6.713279298E-3	-1.191578640E-3	9.678093283E-3	2.261960508E-3	1.287501458E-3	58.725393717E-6	-6.713279298E+6	-1.191578640E+6	9.678093283E+6	2.261960508E+6	1.287501458E+6	58.725393717E+3	400.002700000E+0
2.014347399E+3	-7.599976563E+0	1.000000000E-9	-6.223631183E-3	-1.181545868E-3	9.463303650E-3	560.882480761E-6	1.241781950E-3	70.364190972E-6	-6.223631183E+6	-1.181545868E+6	9.463303650E+6	560.882480761E+3	1.241781950E+6	70.364190972E+3	399.995800000E+0
2.165982858E+3	-7.399982813E+0	1.000000000E-9	-6.211773960E-3	-1.153837838E-3	9.286321150E-3	537.214340700E-6	1.193033608E-3	68.600646531E-6	-6.211773960E+6	-1.153837838E+6	9.286321150E+6	537.214340700E+3	1.193033608E+6	68.600646531E+3	400.000100000E+0
2.317740992E+3	-7.199985156E+0	1.000000000E-9	-5.991807726E-3	-1.106337393E-3	9.082529283E-3	548.038643560E-6	1.057335558E-3	93.254932523E-6	-5.991807726E+6	-1.106337393E+6	9.082529283E+6	548.038643560E+3	1.057335558E+6	93.254932523E+3	399.994300000E+0
