[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201117 22:42:01"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+2
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 20.000000
Auto-range = 0
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
2.254119873E+0	399.996900000E+0	1.000000000E-9	468.324250167E-6	991.089413550E-6	3.332975117E-3	231.669267045E-6	295.091025897E-6	57.374881706E-6	468.324250167E+3	991.089413550E+3	3.332975117E+6	231.669267045E+3	295.091025897E+3	57.374881706E+3
269.440256596E+0	399.155300000E+0	1.000000000E-9	489.749902667E-6	1.062659888E-3	3.563000417E-3	243.451887733E-6	336.776747912E-6	133.653144756E-6	489.749902667E+3	1.062659888E+6	3.563000417E+6	243.451887733E+3	336.776747912E+3	133.653144756E+3
518.663806438E+0	398.047600000E+0	1.000000000E-9	494.253388667E-6	1.094430765E-3	3.805103933E-3	256.961998626E-6	328.737472518E-6	307.897365352E-6	494.253388667E+3	1.094430765E+6	3.805103933E+6	256.961998626E+3	328.737472518E+3	307.897365352E+3
769.834796906E+0	397.049300000E+0	1.000000000E-9	540.772014333E-6	1.158432102E-3	4.035269550E-3	212.155735477E-6	378.085882618E-6	470.582147379E-6	540.772014333E+3	1.158432102E+6	4.035269550E+6	212.155735477E+3	378.085882618E+3	470.582147379E+3
1.026521195E+3	396.084700000E+0	1.000000000E-9	570.623132167E-6	1.233487344E-3	4.367028050E-3	227.929656005E-6	394.594735669E-6	790.161454083E-6	570.623132167E+3	1.233487344E+6	4.367028050E+6	227.929656005E+3	394.594735669E+3	790.161454083E+3
1.275599695E+3	395.026600000E+0	1.000000000E-9	595.102794000E-6	1.326057110E-3	4.643409083E-3	302.884903236E-6	377.925735594E-6	963.014386991E-6	595.102794000E+3	1.326057110E+6	4.643409083E+6	302.884903236E+3	377.925735594E+3	963.014386991E+3
1.524244009E+3	394.089200000E+0	1.000000000E-9	643.608271667E-6	1.374768651E-3	4.903549917E-3	272.362030312E-6	373.829275079E-6	965.551773292E-6	643.608271667E+3	1.374768651E+6	4.903549917E+6	272.362030312E+3	373.829275079E+3	965.551773292E+3
1.778371274E+3	393.055300000E+0	1.000000000E-9	695.442073333E-6	1.473725782E-3	5.256326217E-3	310.885020143E-6	343.007735804E-6	1.204718246E-3	695.442073333E+3	1.473725782E+6	5.256326217E+6	310.885020143E+3	343.007735804E+3	1.204718246E+6
2.037399393E+3	392.058700000E+0	1.000000000E-9	772.421344833E-6	1.528018820E-3	5.688457000E-3	286.553155572E-6	351.355910212E-6	1.578708988E-3	772.421344833E+3	1.528018820E+6	5.688457000E+6	286.553155572E+3	351.355910212E+3	1.578708988E+6
2.295495205E+3	391.080000000E+0	1.000000000E-9	704.715099167E-6	1.690026496E-3	5.983204283E-3	357.106520847E-6	361.039111928E-6	1.509973668E-3	704.715099167E+3	1.690026496E+6	5.983204283E+6	357.106520847E+3	361.039111928E+3	1.509973668E+6
