[Main]
Experiment = "IvsV_300.0K"
Header length = 55    
Date = "20201118 05:07:33"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 1Va; Volt2: 2I+ to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
0.000000000E+0	-10.000000000E+0	-1.457853867E-9	45.854940010E-12	6.859398070E+9	215.753645969E+6	-989.778176800E-3	-1.648430163E+0	329.858921582E-3	303.100874279E-3	678.928251611E+6	1.130723868E+9	226.263365022E+6	207.908955218E+6	299.996400000E+0
6.409306049E+0	-9.899999619E+0	-1.220000300E-9	41.449351863E-12	8.114751790E+9	275.697638956E+6	-1.910782178E+0	-2.774421918E+0	287.470629462E-3	247.526095968E-3	1.566214515E+9	2.274115767E+9	235.631605551E+6	202.890192706E+6	299.996400000E+0
12.742268562E+0	-9.800000191E+0	-1.107543900E-9	36.485872097E-12	8.848407897E+9	291.493527964E+6	-2.241835082E+0	-3.388135200E+0	271.561721318E-3	216.421894294E-3	2.024150087E+9	3.059143028E+9	245.192738020E+6	195.407057268E+6	299.996400000E+0
19.077294350E+0	-9.699999809E+0	-1.059445350E-9	42.603871937E-12	9.155733997E+9	368.182954139E+6	-2.652260722E+0	-3.544459802E+0	244.689422540E-3	212.053383389E-3	2.503442694E+9	3.345580593E+9	230.959928740E+6	200.155093785E+6	299.996400000E+0
25.415060520E+0	-9.600000381E+0	-1.016475287E-9	38.855269635E-12	9.444401165E+9	361.016896934E+6	-2.671818328E+0	-3.718840792E+0	248.863331248E-3	201.757140155E-3	2.628512826E+9	3.658564886E+9	244.829691889E+6	198.487009769E+6	299.996400000E+0
31.747810841E+0	-9.500000000E+0	-967.439653333E-12	35.649394858E-12	9.819733941E+9	361.849518438E+6	-2.679620895E+0	-3.797417345E+0	245.937936151E-3	197.642926176E-3	2.769806764E+9	3.925223999E+9	254.215273587E+6	204.294836887E+6	299.996400000E+0
38.083438873E+0	-9.399999619E+0	-971.102800000E-12	31.872152195E-12	9.679716317E+9	317.693854506E+6	-2.678080949E+0	-3.827215681E+0	246.397771705E-3	195.601175584E-3	2.757772863E+9	3.941102508E+9	253.729854043E+6	201.421698695E+6	299.996400000E+0
44.416667938E+0	-9.300000191E+0	-951.849803333E-12	30.908031977E-12	9.770449243E+9	317.261564363E+6	-2.671825175E+0	-3.834545883E+0	244.123226775E-3	195.529028262E-3	2.806981906E+9	4.028519909E+9	256.472424452E+6	205.420043769E+6	299.996400000E+0
50.750069618E+0	-9.199999809E+0	-969.842020000E-12	30.686905963E-12	9.486080846E+9	300.150400653E+6	-2.661311473E+0	-3.827908228E+0	244.245962459E-3	194.658454325E-3	2.744066990E+9	3.946939965E+9	251.840977625E+6	200.711507968E+6	299.996400000E+0
57.077652454E+0	-9.100000381E+0	-971.000706667E-12	42.148006094E-12	9.371775241E+9	406.798509252E+6	-2.478384758E+0	-3.982434004E+0	255.424882430E-3	181.165412808E-3	2.552402631E+9	4.101370861E+9	263.053240514E+6	186.575984512E+6	300.012100000E+0
63.619826317E+0	-9.000000000E+0	-910.106546667E-12	38.995955010E-12	9.888952050E+9	423.718663089E+6	-2.732806791E+0	-3.695919740E+0	238.695373753E-3	198.435984576E-3	3.002732813E+9	4.060974788E+9	262.271900611E+6	218.035992931E+6	300.012100000E+0
69.954861641E+0	-8.899999619E+0	-920.670126667E-12	41.000272657E-12	9.666871294E+9	430.495513325E+6	-2.659368388E+0	-3.721076755E+0	242.961138356E-3	195.652762516E-3	2.888513824E+9	4.041704675E+9	263.895972421E+6	212.511253324E+6	300.012100000E+0
76.290157318E+0	-8.800000191E+0	-861.173226667E-12	34.453791383E-12	10.218617948E+9	408.826145677E+6	-2.625764547E+0	-3.721745763E+0	244.846075142E-3	194.889189951E-3	3.049055016E+9	4.321715595E+9	284.316868616E+6	226.306605821E+6	300.012100000E+0
82.630408764E+0	-8.699999809E+0	-809.053556667E-12	31.926777961E-12	10.753305189E+9	424.345686754E+6	-2.602813595E+0	-3.709179499E+0	244.341011650E-3	194.702359641E-3	3.217109143E+9	4.584590808E+9	302.008451279E+6	240.654475883E+6	300.012100000E+0
88.962354183E+0	-8.600000381E+0	-837.933206667E-12	44.965695676E-12	10.263348335E+9	550.758215778E+6	-2.583795896E+0	-3.690196507E+0	243.802610858E-3	193.128147529E-3	3.083534434E+9	4.403926802E+9	290.957094095E+6	230.481553891E+6	300.012100000E+0
95.296528816E+0	-8.500000000E+0	-861.939793333E-12	33.209292304E-12	9.861477641E+9	379.948455878E+6	-2.565321368E+0	-3.666453489E+0	243.898549949E-3	192.971502001E-3	2.976218742E+9	4.253723424E+9	282.964717299E+6	223.880488513E+6	300.012100000E+0
101.627560616E+0	-8.399999619E+0	-829.380146667E-12	31.291528465E-12	10.128045206E+9	382.119123709E+6	-2.544996354E+0	-3.644903769E+0	242.447413801E-3	193.323975418E-3	3.068552297E+9	4.394732360E+9	292.323628406E+6	233.094529927E+6	300.012100000E+0
107.959172726E+0	-8.300000191E+0	-775.318210000E-12	41.975049543E-12	10.705282146E+9	579.574609027E+6	-2.534588565E+0	-3.621874174E+0	244.496402470E-3	193.798173351E-3	3.269094589E+9	4.671467957E+9	315.349748422E+6	249.959527394E+6	300.012100000E+0
114.287497520E+0	-8.199999809E+0	-751.737423333E-12	27.949953254E-12	10.908063846E+9	405.566977409E+6	-2.523368336E+0	-3.595779424E+0	245.242931809E-3	192.523649840E-3	3.356715067E+9	4.783291761E+9	326.234831734E+6	256.104916243E+6	300.012100000E+0
120.622332573E+0	-8.100000381E+0	-743.235510000E-12	36.279214209E-12	10.898295725E+9	531.973512853E+6	-2.513152567E+0	-3.568919367E+0	245.613210080E-3	193.057292828E-3	3.381367727E+9	4.801868746E+9	330.464848322E+6	259.752514822E+6	300.004800000E+0
127.105617523E+0	-8.000000000E+0	-733.864500000E-12	25.959796034E-12	10.901194975E+9	385.619958565E+6	-2.479527028E+0	-3.530043828E+0	242.775326121E-3	193.072923510E-3	3.378725948E+9	4.810212005E+9	330.817645656E+6	263.090697955E+6	300.004800000E+0
133.434274197E+0	-7.900000095E+0	-718.087413333E-12	33.211144607E-12	11.001446271E+9	508.810788488E+6	-2.474392022E+0	-3.509164223E+0	245.741496422E-3	194.139026410E-3	3.445808931E+9	4.886820404E+9	342.216688191E+6	270.355701556E+6	300.004800000E+0
139.760234356E+0	-7.800000191E+0	-695.170906667E-12	31.985688159E-12	11.220262695E+9	516.258405218E+6	-2.465703242E+0	-3.485265724E+0	245.946915178E-3	192.088743188E-3	3.546902235E+9	5.013537952E+9	353.793452544E+6	276.318731618E+6	300.004800000E+0
146.093993664E+0	-7.699999809E+0	-691.320360000E-12	34.958231804E-12	11.138106520E+9	563.224421159E+6	-2.451984288E+0	-3.461151342E+0	243.867229305E-3	191.854301993E-3	3.546813359E+9	5.006580946E+9	352.755745983E+6	277.518662972E+6	300.004800000E+0
152.430199146E+0	-7.599999905E+0	-626.371253333E-12	34.833145706E-12	12.133379149E+9	674.749617807E+6	-2.441668159E+0	-3.438792269E+0	245.563474264E-3	193.102260942E-3	3.898116565E+9	5.490022492E+9	392.041417860E+6	308.287233672E+6	300.004800000E+0
158.759699821E+0	-7.500000000E+0	-640.751413333E-12	40.455510009E-12	11.705007346E+9	739.026137103E+6	-2.430575999E+0	-3.410666013E+0	245.665016783E-3	192.557077624E-3	3.793321323E+9	5.322916099E+9	383.401443479E+6	300.517601081E+6	300.004800000E+0
165.088275909E+0	-7.400000095E+0	-627.870660000E-12	42.972176812E-12	11.785867005E+9	806.638043628E+6	-2.414677639E+0	-3.384143819E+0	243.467885471E-3	192.221194075E-3	3.845820156E+9	5.389874117E+9	387.767578551E+6	306.147756729E+6	300.004800000E+0
171.415685654E+0	-7.300000191E+0	-631.823503333E-12	35.203620583E-12	11.553859824E+9	643.752084801E+6	-2.400193528E+0	-3.362271468E+0	244.297471905E-3	193.701659278E-3	3.798835458E+9	5.321535920E+9	386.654612587E+6	306.575583618E+6	300.004800000E+0
177.740596771E+0	-7.199999809E+0	-587.302503333E-12	33.603782616E-12	12.259440013E+9	701.450368185E+6	-2.385207494E+0	-3.336132918E+0	243.414910481E-3	193.101117695E-3	4.061292913E+9	5.680433676E+9	414.462579504E+6	328.793282166E+6	300.004800000E+0
184.066960812E+0	-7.099999905E+0	-514.430830000E-12	41.119083218E-12	13.801660963E+9	1.103183582E+9	-2.373305293E+0	-3.304265527E+0	244.435290109E-3	192.204462895E-3	4.613458514E+9	6.423148331E+9	475.156767157E+6	373.625474382E+6	300.000700000E+0
190.579771996E+0	-7.000000000E+0	-524.415153333E-12	37.160061611E-12	13.348203147E+9	945.853772877E+6	-2.339834418E+0	-3.260216324E+0	245.547031799E-3	191.767163552E-3	4.461797877E+9	6.216861400E+9	468.230237510E+6	365.678150855E+6	300.000700000E+0
196.913583755E+0	-6.900000095E+0	-525.335403333E-12	34.085889705E-12	13.134466194E+9	852.217389449E+6	-2.336910888E+0	-3.243570401E+0	244.874303450E-3	192.417654922E-3	4.448416903E+9	6.174284810E+9	466.129451578E+6	366.275818650E+6	300.000700000E+0
203.242439747E+0	-6.800000191E+0	-536.597480000E-12	29.312213717E-12	12.672441531E+9	692.245730365E+6	-2.328493752E+0	-3.222868079E+0	244.367613076E-3	193.029761988E-3	4.339367661E+9	6.006118550E+9	455.402088500E+6	359.729162328E+6	300.000700000E+0
209.567417622E+0	-6.699999809E+0	-482.330806667E-12	39.361580813E-12	13.890880940E+9	1.133593428E+9	-2.316237776E+0	-3.200622517E+0	243.817255214E-3	191.760683411E-3	4.802176729E+9	6.635741431E+9	505.497993999E+6	397.570880317E+6	300.000700000E+0
215.891108036E+0	-6.599999905E+0	-447.829790000E-12	32.110002758E-12	14.737741999E+9	1.056716071E+9	-2.305218264E+0	-3.172201509E+0	245.016721131E-3	190.854651483E-3	5.147532200E+9	7.083498195E+9	547.120192989E+6	426.176765693E+6	300.000700000E+0
222.215130806E+0	-6.500000000E+0	-450.964316667E-12	29.482925114E-12	14.413557259E+9	942.322515529E+6	-2.292832637E+0	-3.148577618E+0	242.967354981E-3	192.796896597E-3	5.084288385E+9	6.981877505E+9	538.772905086E+6	427.521401299E+6	300.000700000E+0
228.539121628E+0	-6.400000095E+0	-418.336330000E-12	36.868154106E-12	15.298695419E+9	1.348280366E+9	-2.276842011E+0	-3.119795471E+0	241.996623124E-3	190.168600337E-3	5.442611238E+9	7.457624996E+9	578.473839755E+6	454.583039290E+6	300.000700000E+0
234.863431931E+0	-6.300000191E+0	-394.926126667E-12	41.708865103E-12	15.952350998E+9	1.684756745E+9	-2.262607537E+0	-3.090315363E+0	242.781421460E-3	192.460705980E-3	5.729191827E+9	7.825046646E+9	614.751481522E+6	487.333435254E+6	300.000700000E+0
241.186821461E+0	-6.199999809E+0	-426.361116667E-12	35.364940794E-12	14.541663315E+9	1.206172519E+9	-2.251198659E+0	-3.068585692E+0	242.983130105E-3	193.435906957E-3	5.280028058E+9	7.197151831E+9	569.899835154E+6	453.690309447E+6	300.000700000E+0
247.510975838E+0	-6.099999905E+0	-373.491953333E-12	32.506902300E-12	16.332346253E+9	1.421487074E+9	-2.239478770E+0	-3.042760889E+0	244.722393963E-3	191.780011692E-3	5.996056274E+9	8.146791014E+9	655.228022394E+6	513.478295799E+6	300.006700000E+0
253.984845638E+0	-6.000000000E+0	-333.469390000E-12	47.217316362E-12	17.992655938E+9	2.547654907E+9	-2.212019271E+0	-2.999775788E+0	246.087812383E-3	190.819349376E-3	6.633350277E+9	8.995655606E+9	737.962223109E+6	572.224483259E+6	300.006700000E+0
260.321934223E+0	-5.900000095E+0	-354.545926667E-12	30.211607521E-12	16.641003750E+9	1.418015090E+9	-2.208122463E+0	-2.977727576E+0	244.367586607E-3	192.135566644E-3	6.228029422E+9	8.398707619E+9	689.240993134E+6	541.920107361E+6	300.006700000E+0
266.893857479E+0	-5.800000191E+0	-347.560320000E-12	31.097495847E-12	16.687751325E+9	1.493114282E+9	-2.168839054E+0	-2.930771717E+0	244.729829680E-3	193.350071528E-3	6.240180277E+9	8.432411724E+9	704.136276775E+6	556.306518328E+6	300.006700000E+0
273.222723007E+0	-5.699999809E+0	-293.498396667E-12	34.639774320E-12	19.420889088E+9	2.292125690E+9	-2.170993926E+0	-2.910010874E+0	243.169106092E-3	188.268083293E-3	7.396953272E+9	9.914912336E+9	828.519367921E+6	641.462050324E+6	300.006700000E+0
279.550308704E+0	-5.599999905E+0	-301.540006667E-12	41.275644855E-12	18.571333093E+9	2.542096346E+9	-2.166322951E+0	-2.888208941E+0	243.886003607E-3	192.631486250E-3	7.184197464E+9	9.578194856E+9	808.801479786E+6	638.825635045E+6	300.006700000E+0
285.877905369E+0	-5.500000000E+0	-310.059133333E-12	38.834093422E-12	17.738551807E+9	2.221707100E+9	-2.155150386E+0	-2.866874743E+0	241.757978890E-3	191.317416936E-3	6.950772141E+9	9.246219301E+9	779.715715164E+6	617.035256725E+6	300.006700000E+0
292.199038982E+0	-5.400000095E+0	-247.103510000E-12	41.746666407E-12	21.853190573E+9	3.691966402E+9	-2.141971303E+0	-2.846105906E+0	240.774532501E-3	193.002516888E-3	8.668315974E+9	11.517869197E+9	974.387342782E+6	781.059390408E+6	300.006700000E+0
298.528713226E+0	-5.300000191E+0	-280.992096667E-12	25.988827808E-12	18.861741144E+9	1.744513631E+9	-2.130402108E+0	-2.816760754E+0	244.597110569E-3	190.723518319E-3	7.581715404E+9	10.024341564E+9	870.476833587E+6	678.750472279E+6	300.006700000E+0
304.858627796E+0	-5.199999809E+0	-257.410936667E-12	43.144081688E-12	20.201161134E+9	3.385872246E+9	-2.119679612E+0	-2.789418525E+0	243.049726990E-3	190.750392149E-3	8.234613648E+9	10.836441376E+9	944.209015115E+6	741.034528754E+6	300.006700000E+0
311.185958385E+0	-5.099999905E+0	-250.442386667E-12	36.724455245E-12	20.363964633E+9	2.986137921E+9	-2.108663548E+0	-2.765472397E+0	244.353744315E-3	192.168086850E-3	8.419755041E+9	11.042349636E+9	975.688451014E+6	767.314548499E+6	300.004200000E+0
317.757812500E+0	-5.000000000E+0	-241.310169333E-12	37.333652488E-12	20.720220842E+9	3.205673124E+9	-2.069328715E+0	-2.714307268E+0	245.434836772E-3	192.295249313E-3	8.575389595E+9	11.248209205E+9	1.017092804E+9	796.880006524E+6	300.004200000E+0
324.092310429E+0	-4.900000095E+0	-240.458190000E-12	35.903296547E-12	20.377763367E+9	3.042644882E+9	-2.069578751E+0	-2.697505571E+0	243.350718203E-3	190.859403292E-3	8.606813313E+9	11.218189621E+9	1.012029236E+9	793.732179770E+6	300.004200000E+0
330.420690060E+0	-4.800000191E+0	-179.427436667E-12	40.843090980E-12	26.751762606E+9	6.089507236E+9	-2.062632367E+0	-2.673036829E+0	242.910678813E-3	191.705149217E-3	11.495635259E+9	14.897592466E+9	1.353810116E+9	1.068427175E+9	300.004200000E+0
336.754804611E+0	-4.699999809E+0	-172.868305000E-12	36.064727155E-12	27.188325872E+9	5.672176599E+9	-2.053882386E+0	-2.648303361E+0	243.150357014E-3	190.245344411E-3	11.881196994E+9	15.319773979E+9	1.406564130E+9	1.100521836E+9	300.004200000E+0
343.083956718E+0	-4.599999905E+0	-103.761883733E-12	43.678473210E-12	44.332270571E+9	18.661630098E+9	-2.039182534E+0	-2.623969372E+0	241.746811002E-3	191.636680361E-3	19.652520373E+9	25.288374474E+9	2.329822882E+9	1.846888987E+9	300.004200000E+0
349.410098076E+0	-4.500000000E+0	-112.808859000E-12	35.345308345E-12	39.890484133E+9	12.498499446E+9	-2.027974412E+0	-2.596439233E+0	243.134858434E-3	191.439224118E-3	17.977084690E+9	23.016270670E+9	2.155281603E+9	1.697022963E+9	300.004200000E+0
355.735553265E+0	-4.400000095E+0	-115.551190000E-12	36.261368167E-12	38.078362459E+9	11.949453055E+9	-2.017406377E+0	-2.570429662E+0	244.414184745E-3	192.401493048E-3	17.458983994E+9	22.244943233E+9	2.115202663E+9	1.665075825E+9	300.004200000E+0
362.060199738E+0	-4.300000191E+0	-102.040717000E-12	38.006549454E-12	42.140042888E+9	15.695671994E+9	-2.005788033E+0	-2.544061513E+0	243.077365891E-3	190.604294867E-3	19.656741854E+9	24.931827099E+9	2.382160505E+9	1.867923908E+9	300.004200000E+0
368.381238937E+0	-4.199999809E+0	-77.011827863E-12	45.190819419E-12	54.537074704E+9	32.002552893E+9	-1.989736203E+0	-2.514980157E+0	242.493448327E-3	191.090660704E-3	25.836761164E+9	32.657063555E+9	3.148781883E+9	2.481315741E+9	300.004200000E+0
374.705191135E+0	-4.099999905E+0	-39.595943397E-12	37.943909607E-12	103.545958321E+9	99.225782888E+9	-1.978590920E+0	-2.486300000E+0	243.497566433E-3	191.625923466E-3	49.969536033E+9	62.791785885E+9	6.149558403E+9	4.839534231E+9	300.002500000E+0
381.185755253E+0	-4.000000000E+0	-53.975668033E-12	40.543146874E-12	74.107466304E+9	55.664894947E+9	-1.782790434E+0	-2.616830930E+0	254.207755018E-3	181.897216235E-3	33.029520510E+9	48.481677486E+9	4.709673160E+9	3.369985456E+9	300.002500000E+0
387.520944595E+0	-3.900000095E+0	-46.053414967E-12	30.164042314E-12	84.684275817E+9	55.466463907E+9	-1.873499193E+0	-2.505663178E+0	247.583498886E-3	185.459309650E-3	40.681004757E+9	54.407760629E+9	5.376007383E+9	4.027047935E+9	300.002500000E+0
393.854857445E+0	-3.799999952E+0	12.642975433E-12	36.045723570E-12	-300.562155827E+9	856.916984599E+9	-2.106967001E+0	-2.291354780E+0	232.572683764E-3	196.243976814E-3	-166.651197901E+9	-181.235405575E+9	18.395407394E+9	15.521977231E+9	300.002500000E+0
400.183554173E+0	-3.700000048E+0	10.513748333E-12	33.870439266E-12	-351.920164948E+9	1.133724167E+12	-1.994537045E+0	-2.324477671E+0	237.866182039E-3	194.353028150E-3	-189.707512655E+9	-221.089339149E+9	22.624298632E+9	18.485607795E+9	300.002500000E+0
