[Main]
Experiment = "VvsI_400.0K"
Header length = 61    
Date = "20201118 09:01:28"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 1Va; Volt2: 2I+ to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = 0
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-2.539436440E-3	-3.217037400E-3	-3.123118133E-3	190.617339852E-6	281.156329304E-6	177.680900872E-6	2.539436440E+6	3.217037400E+6	3.123118133E+6	190.617339852E+3	281.156329304E+3	177.680900872E+3	NaN	NaN	NaN	399.842500000E+0
42.161612988E+0	-990.000000000E-12	-2.424537848E-3	-3.151953705E-3	-2.916219300E-3	165.895966698E-6	273.161959310E-6	74.900220375E-6	2.449028129E+6	3.183791622E+6	2.945676061E+6	167.571683533E+3	275.921171020E+3	75.656788258E+3	87.033268685E-9	153.648313913E-9	48.332800330E-9	399.919700000E+0
83.310467243E+0	-980.000000000E-12	-2.400923610E-3	-3.104676863E-3	-2.893507467E-3	163.235191626E-6	254.600097401E-6	71.666409284E-6	2.449922051E+6	3.168037615E+6	2.952558639E+6	166.566522067E+3	259.796017757E+3	73.128989066E+3	423.473323968E-9	211.520048854E-9	440.299109862E-9	399.919700000E+0
126.534300804E+0	-970.000000000E-12	-2.458965400E-3	-3.106000179E-3	-2.839809833E-3	164.716080642E-6	246.921656317E-6	106.363896292E-6	2.535015876E+6	3.202062040E+6	2.927639003E+6	169.810392415E+3	254.558408574E+3	109.653501332E+3	-172.289654447E-9	-7.556775947E-6	186.227946731E-9	400.007000000E+0
169.212077618E+0	-960.000000000E-12	-2.375888180E-3	-3.094003655E-3	-2.818280600E-3	147.084319929E-6	213.887520963E-6	111.979365620E-6	2.474883521E+6	3.222920474E+6	2.935708958E+6	153.212833259E+3	222.799501003E+3	116.645172521E+3	120.369940642E-9	833.574815326E-9	464.484723872E-9	400.007000000E+0
213.195879459E+0	-950.000000000E-12	-2.369486836E-3	-3.056036367E-3	-2.775120267E-3	178.072076682E-6	214.144201355E-6	64.514341334E-6	2.494196670E+6	3.216880386E+6	2.921179228E+6	187.444291245E+3	225.414948795E+3	67.909832983E+3	1.562171944E-6	263.384625002E-9	231.694225408E-9	400.015700000E+0
254.344549656E+0	-940.000000000E-12	-2.409840377E-3	-3.048939369E-3	-2.750415033E-3	149.460293828E-6	222.302773670E-6	86.058486827E-6	2.563659976E+6	3.243552520E+6	2.925973440E+6	159.000312583E+3	236.492312414E+3	91.551581731E+3	-247.809727528E-9	1.409046473E-6	404.772538072E-9	400.015700000E+0
293.360277176E+0	-930.000000000E-12	-2.380499997E-3	-3.047851606E-3	-2.727281800E-3	133.126381498E-6	193.048781764E-6	111.579047512E-6	2.559677416E+6	3.277259791E+6	2.932561075E+6	143.146646772E+3	207.579335230E+3	119.977470443E+3	340.827211045E-9	9.193181846E-6	432.278525700E-9	400.004900000E+0
331.814937115E+0	-920.000000000E-12	-2.375339966E-3	-3.041736030E-3	-2.678077033E-3	137.954793571E-6	181.511226961E-6	118.739905945E-6	2.581891267E+6	3.306234816E+6	2.910953297E+6	149.950862577E+3	197.294811914E+3	129.065115157E+3	1.937972853E-6	1.635169041E-6	203.232342666E-9	400.004900000E+0
371.793001175E+0	-910.000000000E-12	-2.357780381E-3	-3.051263756E-3	-2.640737900E-3	141.146246390E-6	218.669128090E-6	125.684862322E-6	2.590967452E+6	3.353037095E+6	2.901909780E+6	155.105765263E+3	240.295745154E+3	138.115233320E+3	569.489540897E-9	-1.049568386E-6	267.815535801E-9	400.011700000E+0
414.098351479E+0	-900.000000000E-12	-2.352053738E-3	-3.011606594E-3	-2.608232433E-3	162.745456283E-6	219.510818467E-6	95.073565996E-6	2.613393042E+6	3.346229549E+6	2.898036037E+6	180.828284758E+3	243.900909408E+3	105.637295551E+3	1.746223747E-6	252.161259445E-9	307.640560972E-9	400.011700000E+0
455.030009747E+0	-890.000000000E-12	-2.353603126E-3	-3.025690439E-3	-2.579927333E-3	148.709311873E-6	241.046982954E-6	69.468033971E-6	2.644497894E+6	3.399652179E+6	2.898794757E+6	167.089114464E+3	270.839306690E+3	78.053970754E+3	-6.454162644E-6	-710.033358314E-9	353.293222776E-9	400.002900000E+0
494.982737064E+0	-880.000000000E-12	-2.340784168E-3	-3.013966444E-3	-2.541855967E-3	161.784790318E-6	284.858775276E-6	60.966514965E-6	2.659982009E+6	3.424961868E+6	2.888472689E+6	183.846352634E+3	323.703153723E+3	69.280130642E+3	780.094606753E-9	852.951550703E-9	262.664592200E-9	400.002900000E+0
