[Main]
Experiment = "VvsI_400.0K"
Header length = 61    
Date = "20201118 10:59:37"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 1Va; Volt2: 2I+ to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-2.401799433E-3	-3.156364545E-3	-2.388596600E-3	170.085424561E-6	263.652907782E-6	53.713501296E-6	2.401799433E+6	3.156364545E+6	2.388596600E+6	170.085424561E+3	263.652907782E+3	53.713501296E+3	NaN	NaN	NaN	400.008500000E+0
18.004443645E+0	-990.000000000E-12	-2.395125186E-3	-3.130393661E-3	-2.374940767E-3	178.508943585E-6	250.440133824E-6	38.008375596E-6	2.419318369E+6	3.162013799E+6	2.398930067E+6	180.312064227E+3	252.969832145E+3	38.392298582E+3	1.498296212E-6	385.046567660E-9	732.287789101E-9	400.008500000E+0
34.851102829E+0	-980.000000000E-12	-2.383545772E-3	-3.127561438E-3	-2.331760800E-3	174.265474751E-6	235.215389009E-6	47.303619004E-6	2.432189563E+6	3.191389222E+6	2.379347755E+6	177.821913012E+3	240.015703070E+3	48.268998983E+3	863.601560493E-9	3.530795421E-6	231.588877249E-9	400.008500000E+0
51.673266411E+0	-970.000000000E-12	-2.373496165E-3	-3.125202059E-3	-2.303761900E-3	146.915464296E-6	221.226741309E-6	35.449457339E-6	2.446903263E+6	3.221857793E+6	2.375012268E+6	151.459241542E+3	228.068805474E+3	36.545832308E+3	995.063820077E-9	4.238404009E-6	357.156888306E-9	399.988600000E+0
68.743892670E+0	-960.000000000E-12	-2.380846092E-3	-3.113422628E-3	-2.280509000E-3	167.528212818E-6	211.002912913E-6	31.865415026E-6	2.480048013E+6	3.243148571E+6	2.375530208E+6	174.508555019E+3	219.794700952E+3	33.193140652E+3	-1.360557669E-6	848.937464210E-9	430.053885752E-9	399.988600000E+0
85.565870762E+0	-950.000000000E-12	-2.368482162E-3	-3.077179540E-3	-2.241698233E-3	144.763585016E-6	247.306433111E-6	44.890447909E-6	2.493139118E+6	3.239136358E+6	2.359682351E+6	152.382721069E+3	260.322561170E+3	47.253103062E+3	808.804298504E-9	275.914679235E-9	257.660460199E-9	399.988600000E+0
102.388366222E+0	-940.000000000E-12	-2.374081276E-3	-3.080428990E-3	-2.204392700E-3	181.021892590E-6	199.016871315E-6	25.465444886E-6	2.525618378E+6	3.277052117E+6	2.345098617E+6	192.576481479E+3	211.720075867E+3	27.090898815E+3	-1.785996962E-6	-3.077444506E-6	268.056749401E-9	399.988600000E+0
119.201418400E+0	-930.000000000E-12	-2.366257893E-3	-3.075002157E-3	-2.158409533E-3	162.364269747E-6	219.920657965E-6	37.756447365E-6	2.544363325E+6	3.306453932E+6	2.320870466E+6	174.585236287E+3	236.473825769E+3	40.598330500E+3	1.278219410E-6	1.842695362E-6	217.470886085E-9	400.009300000E+0
136.256606102E+0	-920.000000000E-12	-2.365929007E-3	-3.081987965E-3	-2.120785667E-3	149.059360511E-6	193.977338557E-6	43.326400816E-6	2.571661964E+6	3.349986918E+6	2.305201812E+6	162.021044033E+3	210.844933214E+3	47.093913931E+3	30.405672482E-6	-1.431473639E-6	265.788736936E-9	400.009300000E+0
153.073906898E+0	-910.000000000E-12	-2.343516988E-3	-3.063930850E-3	-2.105928333E-3	152.212047717E-6	204.578430160E-6	19.866221067E-6	2.575293394E+6	3.366956978E+6	2.314206960E+6	167.265986502E+3	224.811461714E+3	21.831012161E+3	446.189176328E-9	553.798332934E-9	673.068293996E-9	400.009300000E+0
