[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20201102 16:21:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-9
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
0.000000000E+0	-10.000000000E+0	-1.325081967E-9	34.281239737E-12	7.546702960E+9	195.241003878E+6
3.087234974E+0	-9.899999619E+0	-1.260096200E-9	12.653363828E-12	7.856542714E+9	78.892146001E+6
6.078897476E+0	-9.800000191E+0	-1.233375067E-9	20.414140674E-12	7.945677236E+9	131.512446804E+6
9.059601784E+0	-9.699999809E+0	-1.206875933E-9	19.231193789E-12	8.037280006E+9	128.071564832E+6
12.045999050E+0	-9.600000381E+0	-1.202587600E-9	21.826956670E-12	7.982786769E+9	144.887524958E+6
15.023383141E+0	-9.500000000E+0	-1.175496033E-9	17.682434525E-12	8.081694647E+9	121.569135403E+6
18.023389339E+0	-9.399999619E+0	-1.172829767E-9	20.257898844E-12	8.014803073E+9	138.437030275E+6
21.010070324E+0	-9.300000191E+0	-1.154066700E-9	19.276306293E-12	8.058459871E+9	134.599967858E+6
23.993288040E+0	-9.199999809E+0	-1.136218267E-9	16.929317352E-12	8.097035648E+9	120.643445117E+6
26.978700638E+0	-9.100000381E+0	-1.132805833E-9	18.040428854E-12	8.033151061E+9	127.931447667E+6
29.969143867E+0	-9.000000000E+0	-1.122484100E-9	15.398020760E-12	8.017930944E+9	109.988432920E+6
32.939198971E+0	-8.899999619E+0	-1.104199300E-9	19.054036991E-12	8.060138798E+9	139.085564363E+6
