[Main]
Experiment = "VvsI_300.0K"
Header length = 61    
Date = "20201126 12:27:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-937.455187767E-3	-312.259747673E-3	-4.471244600E+0	319.021549024E-3	244.341201568E-3	336.056932308E-3	937.455187767E+6	312.259747673E+6	4.471244600E+9	319.021549024E+6	244.341201568E+6	336.056932308E+6	NaN	NaN	NaN	300.005600000E+0
17.939667225E+0	-990.000000000E-12	-1.161151382E+0	-434.715670007E-3	-4.772568267E+0	309.703022256E-3	239.255298114E-3	6.507557166E-3	1.172880184E+9	439.106737380E+6	4.820776027E+9	312.831335612E+6	241.672018297E+6	6.573290067E+6	-44.703487465E-12	-81.662036506E-12	-33.186905332E-12	300.005600000E+0
34.723759651E+0	-980.000000000E-12	-1.196324095E+0	-462.663905650E-3	-4.747943833E+0	308.565331537E-3	237.988502684E-3	9.921576474E-3	1.220738873E+9	472.106026173E+6	4.844840646E+9	314.862583201E+6	242.845410902E+6	10.124057627E+6	-284.311303121E-12	-357.804339695E-12	406.100715685E-12	300.005600000E+0
51.525419235E+0	-970.000000000E-12	-1.201055982E+0	-475.214317340E-3	-4.715157533E+0	307.874265576E-3	238.679005599E-3	10.569301552E-3	1.238202043E+9	489.911667361E+6	4.860987148E+9	317.396150079E+6	246.060830514E+6	10.896187167E+6	-2.113322093E-9	-796.786611229E-12	305.005444347E-12	300.000700000E+0
68.508201122E+0	-960.000000000E-12	-1.198673082E+0	-475.038542037E-3	-4.676013333E+0	307.100423944E-3	238.471381715E-3	10.954778096E-3	1.248617794E+9	494.831814622E+6	4.870847222E+9	319.896274942E+6	248.407689287E+6	11.411227183E+6	4.196568852E-9	56.890813501E-9	255.465688403E-12	300.000700000E+0
85.293961048E+0	-950.000000000E-12	-1.198663081E+0	-479.465108917E-3	-4.634147833E+0	307.359420845E-3	237.900022733E-3	11.921552540E-3	1.261750612E+9	504.700114649E+6	4.878050351E+9	323.536232468E+6	250.421076561E+6	12.549002674E+6	999.863352013E-9	-2.259087069E-9	238.860159320E-12	300.000700000E+0
102.093836784E+0	-940.000000000E-12	-1.196983371E+0	-481.123273493E-3	-4.601210867E+0	307.271651045E-3	236.216805501E-3	17.044823103E-3	1.273386565E+9	511.833269674E+6	4.894905177E+9	326.884735154E+6	251.294473937E+6	18.132790535E+6	5.953409451E-9	-6.030764461E-9	303.610229236E-12	300.000700000E+0
118.888291359E+0	-930.000000000E-12	-1.194042956E+0	-485.717369740E-3	-4.541293400E+0	307.321484518E-3	237.726156898E-3	11.856749356E-3	1.283917157E+9	522.276741656E+6	4.883111183E+9	330.453209159E+6	255.619523546E+6	12.749192856E+6	3.400879987E-9	-2.176706682E-9	166.896241719E-12	299.998600000E+0
135.846913815E+0	-920.000000000E-12	-1.186034940E+0	-488.847015527E-3	-4.489537533E+0	307.021281915E-3	237.322046402E-3	19.685088813E-3	1.289168413E+9	531.355451659E+6	4.879932101E+9	333.718784690E+6	257.958746089E+6	21.396835666E+6	1.248748764E-9	-3.195249776E-9	193.214811075E-12	299.998600000E+0
152.643124104E+0	-910.000000000E-12	-1.192216434E+0	-494.137081377E-3	-4.455029300E+0	309.010618729E-3	237.428518737E-3	12.236455615E-3	1.310127949E+9	543.007781733E+6	4.895636593E+9	339.572108494E+6	260.910460150E+6	13.446654522E+6	-1.617731886E-9	-1.890335637E-9	289.785915825E-12	299.998600000E+0
