[Main]
Experiment = "RvsB_400.0K"
Header length = 74    
Date = "20201126 14:25:26"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
434.144952297E+0	-8.999969531E+0	1.000000000E-9	696.625111667E-6	-1.920325908E-3	11.440253183E-3	803.712252711E-6	798.577050515E-6	35.184771782E-6	696.625111667E+3	-1.920325908E+6	11.440253183E+6	803.712252711E+3	798.577050515E+3	35.184771782E+3	399.997000000E+0
681.396740913E+0	-8.799971875E+0	1.000000000E-9	733.099173333E-6	-1.869342811E-3	11.174226600E-3	777.358197176E-6	721.086538290E-6	40.055957195E-6	733.099173333E+3	-1.869342811E+6	11.174226600E+6	777.358197176E+3	721.086538290E+3	40.055957195E+3	400.008200000E+0
925.646928310E+0	-8.599948438E+0	1.000000000E-9	759.184698333E-6	-1.761534423E-3	10.961792600E-3	838.971645222E-6	744.961603792E-6	69.166501769E-6	759.184698333E+3	-1.761534423E+6	10.961792600E+6	838.971645222E+3	744.961603792E+3	69.166501769E+3	399.995400000E+0
1.169943904E+3	-8.399962500E+0	1.000000000E-9	675.487671667E-6	-1.745446172E-3	10.735441250E-3	789.263529760E-6	662.893611392E-6	61.478852391E-6	675.487671667E+3	-1.745446172E+6	10.735441250E+6	789.263529760E+3	662.893611392E+3	61.478852391E+3	400.003700000E+0
1.414242043E+3	-8.199968750E+0	1.000000000E-9	697.822450000E-6	-1.742240130E-3	10.482003167E-3	684.702176892E-6	631.013066467E-6	80.859806124E-6	697.822450000E+3	-1.742240130E+6	10.482003167E+6	684.702176892E+3	631.013066467E+3	80.859806124E+3	400.003100000E+0
1.658588567E+3	-7.999969531E+0	1.000000000E-9	648.167566667E-6	-1.684813508E-3	10.265041233E-3	693.006179515E-6	626.481637727E-6	68.855183585E-6	648.167566667E+3	-1.684813508E+6	10.265041233E+6	693.006179515E+3	626.481637727E+3	68.855183585E+3	400.001000000E+0
1.902828290E+3	-7.799980469E+0	1.000000000E-9	617.253166000E-6	-1.619594811E-3	10.025800717E-3	660.852398208E-6	647.088483945E-6	95.557215505E-6	617.253166000E+3	-1.619594811E+6	10.025800717E+6	660.852398208E+3	647.088483945E+3	95.557215505E+3	399.999800000E+0
2.144154099E+3	-7.599975000E+0	1.000000000E-9	644.673998333E-6	-1.537386404E-3	9.779310300E-3	711.057093001E-6	652.645963310E-6	91.604923690E-6	644.673998333E+3	-1.537386404E+6	9.779310300E+6	711.057093001E+3	652.645963310E+3	91.604923690E+3	400.003000000E+0
2.385428055E+3	-7.399971094E+0	1.000000000E-9	577.644118167E-6	-1.538335015E-3	9.554172800E-3	645.365489958E-6	544.444422994E-6	45.270448930E-6	577.644118167E+3	-1.538335015E+6	9.554172800E+6	645.365489958E+3	544.444422994E+3	45.270448930E+3	399.997200000E+0
2.626747419E+3	-7.199974219E+0	1.000000000E-9	555.093121833E-6	-1.548564234E-3	9.335813183E-3	685.380814041E-6	619.916899554E-6	39.185961084E-6	555.093121833E+3	-1.548564234E+6	9.335813183E+6	685.380814041E+3	619.916899554E+3	39.185961084E+3	399.997900000E+0
