[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201201 11:47:08"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
72.136893749E+0	299.883400000E+0	1.000000000E-9	1.390308727E+0	702.902990379E-3	5.510502617E+0	452.121804765E-3	341.048217030E-3	13.294234386E-3	1.390308727E+9	702.902990379E+6	5.510502617E+9	452.121804765E+6	341.048217030E+6	13.294234386E+6
254.681303024E+0	300.931200000E+0	1.000000000E-9	1.270943070E+0	636.199010283E-3	4.970241233E+0	448.057129408E-3	337.089291326E-3	33.585279343E-3	1.270943070E+9	636.199010283E+6	4.970241233E+9	448.057129408E+6	337.089291326E+6	33.585279343E+6
438.460220814E+0	301.989900000E+0	1.000000000E-9	1.160688593E+0	580.200393044E-3	4.541943400E+0	441.742214103E-3	332.902344450E-3	16.689739288E-3	1.160688593E+9	580.200393044E+6	4.541943400E+9	441.742214103E+6	332.902344450E+6	16.689739288E+6
621.179643154E+0	302.937800000E+0	1.000000000E-9	1.064288976E+0	531.178024672E-3	4.133692083E+0	438.662183037E-3	329.611529981E-3	7.053600023E-3	1.064288976E+9	531.178024672E+6	4.133692083E+9	438.662183037E+6	329.611529981E+6	7.053600023E+6
804.685335159E+0	303.966800000E+0	1.000000000E-9	972.340022595E-3	483.463693127E-3	3.764674133E+0	434.341646712E-3	325.280402417E-3	3.098396063E-3	972.340022595E+6	483.463693127E+6	3.764674133E+9	434.341646712E+6	325.280402417E+6	3.098396063E+6
988.372654438E+0	304.971300000E+0	1.000000000E-9	885.848169909E-3	442.282624099E-3	3.433930467E+0	429.413140053E-3	321.224871588E-3	928.991654566E-6	885.848169909E+6	442.282624099E+6	3.433930467E+9	429.413140053E+6	321.224871588E+6	928.991654566E+3
1.172337755E+3	305.970400000E+0	1.000000000E-9	809.527415420E-3	402.551126277E-3	3.132031083E+0	424.168405514E-3	316.758556728E-3	677.491268977E-6	809.527415420E+6	402.551126277E+6	3.132031083E+9	424.168405514E+6	316.758556728E+6	677.491268977E+3
1.355905318E+3	306.958300000E+0	1.000000000E-9	727.793465958E-3	376.771203551E-3	2.862165683E+0	419.274757245E-3	308.280790539E-3	909.969953401E-6	727.793465958E+6	376.771203551E+6	2.862165683E+9	419.274757245E+6	308.280790539E+6	909.969953401E+3
1.539552690E+3	307.964500000E+0	1.000000000E-9	674.431941677E-3	335.628161927E-3	2.616953383E+0	412.431384941E-3	305.610897501E-3	1.228900284E-3	674.431941677E+6	335.628161927E+6	2.616953383E+9	412.431384941E+6	305.610897501E+6	1.228900284E+6
1.723390341E+3	308.969800000E+0	1.000000000E-9	617.250991208E-3	306.764083708E-3	2.395663200E+0	403.367130306E-3	298.972588183E-3	1.955648533E-3	617.250991208E+6	306.764083708E+6	2.395663200E+9	403.367130306E+6	298.972588183E+6	1.955648533E+6
