[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201201 17:53:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
0.000000000E+0	-10.000000000E+0	-2.967952600E-6	2.205249264E-9	3.369326047E+6	2.503477914E+3	-2.519384452E+0	-1.259986161E+0	1.000186564E-3	350.746899226E-6	848.862765531E+3	424.530418938E+3	336.995464013E+0	118.178066330E+0	400.002700000E+0
6.463196754E+0	-9.899999619E+0	-2.954245200E-6	365.411001476E-12	3.351109657E+6	414.499221588E+0	-2.502942748E+0	-1.250815292E+0	693.622187188E-6	217.344166419E-6	847.235953310E+3	423.395895394E+3	234.788292857E+0	73.570117477E+0	400.002700000E+0
12.793271065E+0	-9.800000191E+0	-2.930491567E-6	409.706344234E-12	3.344148914E+6	467.538975985E+0	-2.482099687E+0	-1.240017462E+0	418.157425803E-6	282.229437951E-6	846.990899035E+3	423.143160157E+3	142.691905535E+0	96.307882664E+0	400.002700000E+0
19.122803211E+0	-9.699999809E+0	-2.905017100E-6	336.790874436E-12	3.339050847E+6	387.110235826E+0	-2.460300394E+0	-1.228273330E+0	472.977727453E-6	230.258629731E-6	846.914255456E+3	422.811049890E+3	162.814094090E+0	79.262400807E+0	400.002700000E+0
25.451732635E+0	-9.600000381E+0	-2.877892167E-6	279.346291500E-12	3.335774875E+6	323.791263377E+0	-2.437743131E+0	-1.216684801E+0	478.428514895E-6	252.872468235E-6	847.058537924E+3	422.769419725E+3	166.242682904E+0	87.867249219E+0	400.002700000E+0
31.777073383E+0	-9.500000000E+0	-2.852844400E-6	433.726880533E-12	3.330009867E+6	506.271842797E+0	-2.415849287E+0	-1.204394873E+0	451.382248145E-6	358.539929745E-6	846.821259045E+3	422.173348466E+3	158.221825258E+0	125.678053014E+0	400.002700000E+0
38.103816509E+0	-9.399999619E+0	-2.825160833E-6	417.904632194E-12	3.327244066E+6	492.173999888E+0	-2.393463176E+0	-1.192816104E+0	341.493433326E-6	248.381951447E-6	847.195369349E+3	422.211751720E+3	120.875749549E+0	87.917809321E+0	400.002700000E+0
44.430378437E+0	-9.300000191E+0	-2.799572533E-6	322.482475689E-12	3.321935788E+6	382.653445971E+0	-2.371278976E+0	-1.180924901E+0	437.857315017E-6	303.100825211E-6	847.014659595E+3	421.823291570E+3	156.401489800E+0	108.266823453E+0	400.002700000E+0
50.755582333E+0	-9.199999809E+0	-2.772394667E-6	310.529729082E-12	3.318430785E+6	371.690014032E+0	-2.348056274E+0	-1.168304804E+0	396.658228736E-6	307.771272557E-6	846.941563515E+3	421.406381415E+3	143.074228754E+0	111.012792031E+0	400.002700000E+0
57.079874992E+0	-9.100000381E+0	-2.743947067E-6	269.464466768E-12	3.316390645E+6	325.680275515E+0	-2.324054434E+0	-1.155660217E+0	367.505554973E-6	290.194949341E-6	846.974951728E+3	421.167095643E+3	133.933179483E+0	105.758217010E+0	400.003900000E+0
