[Main]
Experiment = "RvsT"
Header length = 56    
Date = "20201105 15:54:11"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
4.921522430E+3	300.198500000E+0	10.000000000E+0	4.000103000E-9	47.439169170E-12	2.499935627E+9	29.647953842E+6	-61.800426982E-3	-63.263898436E-3	35.328300683E-3	31.739634862E-3	-15.449708916E+6	-15.815567358E+6	8.831847751E+6	7.934704397E+6
4.956707082E+3	300.958500000E+0	10.000000000E+0	3.566419733E-9	44.548964127E-12	2.803932444E+9	35.024561104E+6	-63.657285182E-3	-65.108276770E-3	33.657748168E-3	30.266301735E-3	-17.849072723E+6	-18.255920962E+6	9.437405209E+6	8.486466540E+6
4.988485162E+3	301.882100000E+0	10.000000000E+0	3.785834400E-9	41.451915951E-12	2.641425626E+9	28.921537889E+6	-59.470170224E-3	-62.377062687E-3	35.106995987E-3	28.518282153E-3	-15.708603161E+6	-16.476437186E+6	9.273251885E+6	7.532892129E+6
5.022778882E+3	302.910000000E+0	10.000000000E+0	4.052390433E-9	39.938648700E-12	2.467679303E+9	24.320405057E+6	-56.069795903E-3	-65.882628373E-3	34.645981586E-3	29.164576919E-3	-13.836227487E+6	-16.257719846E+6	8.549517169E+6	7.196882284E+6
5.055545705E+3	303.886500000E+0	10.000000000E+0	4.343221133E-9	38.691118475E-12	2.302438603E+9	20.511026735E+6	-58.837043065E-3	-66.006869773E-3	37.902501282E-3	29.768392599E-3	-13.546867926E+6	-15.197676505E+6	8.726818211E+6	6.853989628E+6
5.089562602E+3	304.913800000E+0	10.000000000E+0	4.665565333E-9	51.613265507E-12	2.143362977E+9	23.711159202E+6	-47.684551279E-3	-60.200530503E-3	40.648057571E-3	27.021873737E-3	-10.220530176E+6	-12.903158825E+6	8.712354167E+6	5.791768372E+6
5.123814225E+3	305.913100000E+0	10.000000000E+0	5.068373100E-9	35.091460191E-12	1.973019705E+9	13.660427336E+6	9.573221503E-3	-60.654435850E-3	18.575543162E-3	27.457305830E-3	1.888815467E+6	-11.967239714E+6	3.664991270E+6	5.417380546E+6
5.156922432E+3	306.880800000E+0	10.000000000E+0	5.489837233E-9	35.782708075E-12	1.821547630E+9	11.872830525E+6	37.365567905E-3	-59.198531037E-3	7.875817578E-3	27.972905610E-3	6.806316165E+6	-10.783294389E+6	1.434617684E+6	5.095397991E+6
5.190402058E+3	307.922400000E+0	10.000000000E+0	5.930828400E-9	36.740788814E-12	1.686105098E+9	10.445224030E+6	69.780102965E-3	-54.238754012E-3	29.998076734E-3	31.942041323E-3	11.765658734E+6	-9.145223964E+6	5.057991011E+6	5.385763871E+6
5.222648797E+3	308.878500000E+0	10.000000000E+0	6.354612533E-9	56.464459079E-12	1.573660069E+9	13.982892604E+6	69.720929207E-3	-9.164995510E-3	33.435611314E-3	7.455660530E-3	10.971704229E+6	-1.442258747E+6	5.261628642E+6	1.173267527E+6
