[Main]
Experiment = "VvsI_400.0K"
Header length = 61    
Date = "20201118 12:51:14"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 1Va; Volt2: 2I+ to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-1.545987843E-3	-1.937380274E-3	803.307180000E-6	204.367423629E-6	208.474595822E-6	31.126949374E-6	1.545987843E+6	1.937380274E+6	-803.307180000E+3	204.367423629E+3	208.474595822E+3	31.126949374E+3	NaN	NaN	NaN	400.171300000E+0
18.061252117E+0	-990.000000000E-12	-1.560592938E-3	-1.889830361E-3	744.046106667E-6	209.219177657E-6	181.713927583E-6	28.391883796E-6	1.576356503E+6	1.908919557E+6	-751.561723906E+3	211.332502684E+3	183.549421801E+3	28.678670501E+3	-684.692567902E-9	210.305325478E-9	-168.744834299E-9	400.171300000E+0
34.886610508E+0	-980.000000000E-12	-1.612016593E-3	-1.897162828E-3	664.923626667E-6	241.887946736E-6	178.258715793E-6	32.827079770E-6	1.644914890E+6	1.935880436E+6	-678.493496599E+3	246.824435445E+3	181.896648769E+3	33.497020174E+3	-194.463035831E-9	-1.363797540E-6	-126.386331672E-9	400.171300000E+0
51.735918522E+0	-970.000000000E-12	-1.669785586E-3	-1.879340151E-3	589.265430000E-6	198.966915610E-6	204.281229620E-6	21.062018156E-6	1.721428439E+6	1.937464074E+6	-607.490134021E+3	205.120531557E+3	210.599205794E+3	21.713420780E+3	-173.103242426E-9	561.082960436E-9	-132.173385576E-9	400.044600000E+0
68.757546425E+0	-960.000000000E-12	-1.716905997E-3	-1.843387187E-3	536.291426667E-6	176.260968781E-6	186.420332650E-6	29.127654909E-6	1.788443747E+6	1.920194987E+6	-558.636902778E+3	183.605175814E+3	194.187846510E+3	30.341307197E+3	-212.222257569E-9	278.141184688E-9	-188.771838463E-9	400.044600000E+0
85.584366798E+0	-950.000000000E-12	-1.750695581E-3	-1.838160086E-3	488.058326667E-6	219.205099900E-6	197.181159379E-6	26.593686106E-6	1.842837454E+6	1.934905353E+6	-513.745607018E+3	230.742210421E+3	207.559115136E+3	27.993353796E+3	-295.949183710E-9	1.913106084E-6	-207.326503998E-9	400.044600000E+0
102.410760880E+0	-940.000000000E-12	-1.790156219E-3	-1.835074892E-3	423.732106667E-6	168.780125568E-6	216.475644983E-6	34.076141191E-6	1.904421509E+6	1.952207332E+6	-450.778836879E+3	179.553325073E+3	230.293239344E+3	36.251214033E+3	-253.417092976E-9	3.241287258E-6	-155.457603447E-9	400.044600000E+0
119.235677719E+0	-930.000000000E-12	-1.831185893E-3	-1.824240802E-3	385.710990000E-6	193.371899574E-6	246.841115128E-6	25.277533571E-6	1.969017090E+6	1.961549249E+6	-414.743000000E+3	207.926773735E+3	265.420553901E+3	27.180143625E+3	-243.726036856E-9	923.012454207E-9	-263.011738652E-9	400.019700000E+0
136.239881992E+0	-920.000000000E-12	-1.858683294E-3	-1.796508323E-3	351.714590000E-6	218.414479466E-6	205.708789175E-6	22.776264957E-6	2.020307928E+6	1.952726438E+6	-382.298467391E+3	237.407042898E+3	223.596509973E+3	24.756809736E+3	-363.670738235E-9	360.588035429E-9	-294.148792225E-9	400.019700000E+0
153.067955494E+0	-910.000000000E-12	-1.876480527E-3	-1.797833204E-3	337.991143333E-6	198.767938012E-6	177.199528885E-6	26.239445701E-6	2.062066514E+6	1.975640883E+6	-371.418838828E+3	218.426305508E+3	194.724757017E+3	28.834555716E+3	-561.885087008E-9	-7.547849592E-6	-728.679918602E-9	400.019700000E+0
169.894031525E+0	-900.000000000E-12	-1.896849653E-3	-1.786163890E-3	305.000423333E-6	202.158026745E-6	173.443943945E-6	15.812096277E-6	2.107610725E+6	1.984626545E+6	-338.889359259E+3	224.620029716E+3	192.715493273E+3	17.568995864E+3	-490.939097107E-9	856.948452265E-9	-303.115542795E-9	400.019700000E+0
186.715013981E+0	-890.000000000E-12	-1.911674669E-3	-1.787342538E-3	257.895900000E-6	219.563873042E-6	188.317597529E-6	18.471792005E-6	2.147949067E+6	2.008250042E+6	-289.770674157E+3	246.700980946E+3	211.592806212E+3	20.754822478E+3	-674.535497993E-9	-8.484302062E-6	-212.293837032E-9	400.021400000E+0
203.781063557E+0	-880.000000000E-12	-1.949658265E-3	-1.778176837E-3	232.064716667E-6	196.919092483E-6	178.992293804E-6	22.649488073E-6	2.215520756E+6	2.020655497E+6	-263.709905303E+3	223.771696003E+3	203.400333868E+3	25.738054629E+3	-263.271544906E-9	1.091024065E-6	-387.128993316E-9	400.021400000E+0
220.603044033E+0	-870.000000000E-12	-1.979763231E-3	-1.778848573E-3	209.211200000E-6	222.831022137E-6	192.250269568E-6	31.664291557E-6	2.275589921E+6	2.044653533E+6	-240.472643678E+3	256.127611652E+3	220.977321343E+3	36.395737422E+3	-332.171110906E-9	-14.886793380E-6	-437.569418565E-9	400.021400000E+0
237.427307606E+0	-860.000000000E-12	-1.982990926E-3	-1.766888576E-3	190.699893333E-6	191.897638669E-6	186.345218603E-6	23.628521885E-6	2.305803402E+6	2.054521600E+6	-221.744062016E+3	223.136789150E+3	216.680486747E+3	27.475025448E+3	-3.098186807E-6	836.120564460E-9	-540.210379530E-9	400.021400000E+0
254.255410671E+0	-850.000000000E-12	-2.032008019E-3	-1.764002570E-3	178.968943333E-6	191.293826539E-6	180.486466855E-6	16.082420948E-6	2.390597669E+6	2.075297142E+6	-210.551698039E+3	225.051560634E+3	212.337019829E+3	18.920495233E+3	-204.010466308E-9	3.464997062E-6	-852.445880342E-9	399.996900000E+0
271.287665844E+0	-840.000000000E-12	-2.039210088E-3	-1.761625082E-3	163.612206667E-6	186.384085830E-6	191.192054061E-6	26.096698517E-6	2.427631057E+6	2.097172716E+6	-194.776436508E+3	221.885816464E+3	227.609588168E+3	31.067498235E+3	-1.388489827E-6	4.206118894E-6	-651.180014157E-9	399.996900000E+0
288.120535374E+0	-830.000000000E-12	-2.068149137E-3	-1.763567684E-3	165.354370000E-6	206.190223142E-6	215.871717248E-6	24.493586447E-6	2.491745948E+6	2.124780342E+6	-199.222132530E+3	248.421955593E+3	260.086406323E+3	29.510345117E+3	-345.553857005E-9	-5.147734842E-6	5.739989936E-6	399.996900000E+0
304.932384968E+0	-820.000000000E-12	-2.088701421E-3	-1.741425569E-3	156.514546667E-6	195.049490702E-6	188.439481996E-6	20.835778211E-6	2.547196855E+6	2.123689718E+6	-190.871398374E+3	237.865232564E+3	229.804246336E+3	25.409485623E+3	-486.563918531E-9	451.628040049E-9	-1.131244327E-6	399.996900000E+0
321.963278770E+0	-810.000000000E-12	-2.110310534E-3	-1.752096568E-3	141.453806667E-6	215.578738903E-6	211.548194505E-6	18.424671927E-6	2.605321647E+6	2.163082183E+6	-174.634329218E+3	266.146591238E+3	261.170610500E+3	22.746508551E+3	-462.767722118E-9	-937.119324559E-9	-663.977998425E-9	400.001600000E+0
338.995770454E+0	-800.000000000E-12	-2.063554438E-3	-1.757886044E-3	138.043299667E-6	197.507033367E-6	183.666133248E-6	27.099727305E-6	2.579443047E+6	2.197357555E+6	-172.554124583E+3	246.883791709E+3	229.582666560E+3	33.874659131E+3	213.875851769E-9	-1.727272136E-6	-2.932115372E-6	400.001600000E+0
355.817903519E+0	-790.000000000E-12	-2.112806870E-3	-1.757250893E-3	144.485758000E-6	196.611205247E-6	182.329968625E-6	32.644933041E-6	2.674439076E+6	2.224368219E+6	-182.893364557E+3	248.874943351E+3	230.797428639E+3	41.322700052E+3	-203.035656486E-9	15.744287579E-6	1.552202511E-6	400.001600000E+0
372.639918804E+0	-780.000000000E-12	-2.152485675E-3	-1.766289348E-3	133.882662333E-6	234.319285663E-6	181.730499949E-6	29.099256155E-6	2.759597020E+6	2.264473523E+6	-171.644438889E+3	300.409340594E+3	232.987820447E+3	37.306738660E+3	-252.023718960E-9	-1.106383820E-6	-943.120793622E-9	400.001600000E+0
389.450572968E+0	-770.000000000E-12	-2.142840359E-3	-1.764184369E-3	132.302885000E-6	169.793761757E-6	183.181557903E-6	18.203702299E-6	2.782909557E+6	2.291148531E+6	-171.821928571E+3	220.511378905E+3	237.898127146E+3	23.641171817E+3	1.036772632E-6	4.750641970E-6	-6.330006001E-6	400.000300000E+0
406.493719578E+0	-760.000000000E-12	-2.177779657E-3	-1.762459873E-3	131.067396667E-6	206.361860447E-6	204.427425588E-6	17.193991189E-6	2.865499549E+6	2.319026149E+6	-172.457100877E+3	271.528763746E+3	268.983454721E+3	22.623672617E+3	-286.210670420E-9	5.798795706E-6	-8.093965544E-6	400.000300000E+0
423.318388939E+0	-750.000000000E-12	-2.203654750E-3	-1.765528119E-3	125.157983000E-6	217.489304515E-6	217.651993395E-6	17.970080611E-6	2.938206333E+6	2.354037492E+6	-166.877310667E+3	289.985739354E+3	290.202657861E+3	23.960107481E+3	-386.472050850E-9	-3.259191436E-6	-1.692215263E-6	400.000300000E+0
440.136304855E+0	-740.000000000E-12	-2.201649273E-3	-1.750355396E-3	126.630327000E-6	219.823658106E-6	192.640131229E-6	17.561227803E-6	2.975201721E+6	2.365345130E+6	-171.122063514E+3	297.058997440E+3	260.324501661E+3	23.731388922E+3	4.986346552E-6	659.077491871E-9	6.791891025E-6	400.000300000E+0
456.947516918E+0	-730.000000000E-12	-2.213100520E-3	-1.746217076E-3	133.484869333E-6	214.276555253E-6	182.531276707E-6	28.523451484E-6	3.031644548E+6	2.392078186E+6	-182.855985388E+3	293.529527744E+3	250.042844804E+3	39.073221211E+3	-873.267339356E-9	2.416439521E-6	1.458886606E-6	399.972000000E+0
