[Main]
Experiment = "RvsB_400.0K"
Header length = 74    
Date = "20201118 14:05:12"
Comments = "SD: 1I- to 2I-; Volt1: 1V- to 2I+; Volt2: 1Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.267096043E+0	-8.999985156E+0	1.000000000E-9	1.691881097E-3	-12.533415263E-3	10.144230267E-3	5.087777788E-3	1.310556181E-3	59.566709313E-6	1.691881097E+6	-12.533415263E+6	10.144230267E+6	5.087777788E+6	1.310556181E+6	59.566709313E+3	399.999900000E+0
1.081866498E+3	-8.799951563E+0	1.000000000E-9	1.023130508E-3	-12.221486323E-3	9.980799933E-3	1.056788435E-3	1.382773448E-3	81.539678349E-6	1.023130508E+6	-12.221486323E+6	9.980799933E+6	1.056788435E+6	1.382773448E+6	81.539678349E+3	400.006100000E+0
1.236297425E+3	-8.599957812E+0	1.000000000E-9	888.622815000E-6	-12.126576485E-3	9.762562117E-3	1.094125386E-3	1.189231937E-3	60.105300281E-6	888.622815000E+3	-12.126576485E+6	9.762562117E+6	1.094125386E+6	1.189231937E+6	60.105300281E+3	399.991400000E+0
1.396476046E+3	-8.399957813E+0	1.000000000E-9	1.382499152E-3	-11.956266270E-3	9.573838517E-3	4.839436029E-3	1.233822396E-3	43.713636437E-6	1.382499152E+6	-11.956266270E+6	9.573838517E+6	4.839436029E+6	1.233822396E+6	43.713636437E+3	399.999200000E+0
1.550851933E+3	-8.199971875E+0	1.000000000E-9	901.293580000E-6	-11.781204625E-3	9.367904067E-3	882.338072616E-6	1.118199337E-3	59.695760854E-6	901.293580000E+3	-11.781204625E+6	9.367904067E+6	882.338072616E+3	1.118199337E+6	59.695760854E+3	400.000500000E+0
1.705978694E+3	-7.999985937E+0	1.000000000E-9	696.011440000E-6	-11.212498418E-3	9.157109150E-3	818.976357020E-6	4.174126814E-3	56.499103404E-6	696.011440000E+3	-11.212498418E+6	9.157109150E+6	818.976357020E+3	4.174126814E+6	56.499103404E+3	400.003000000E+0
1.861774948E+3	-7.799979687E+0	1.000000000E-9	730.375211667E-6	-11.522720728E-3	8.954378667E-3	793.508683674E-6	1.035953391E-3	57.067887583E-6	730.375211667E+3	-11.522720728E+6	8.954378667E+6	793.508683674E+3	1.035953391E+6	57.067887583E+3	400.001500000E+0
2.013214642E+3	-7.599986719E+0	1.000000000E-9	768.640631667E-6	-11.032898323E-3	8.752229917E-3	794.203955814E-6	3.999776269E-3	68.041788751E-6	768.640631667E+3	-11.032898323E+6	8.752229917E+6	794.203955814E+3	3.999776269E+6	68.041788751E+3	399.986600000E+0
2.165097484E+3	-7.399976563E+0	1.000000000E-9	4.586787915E-3	-11.257782267E-3	8.538468933E-3	9.396645766E-3	1.006986177E-3	61.361014582E-6	4.586787915E+6	-11.257782267E+6	8.538468933E+6	9.396645766E+6	1.006986177E+6	61.361014582E+3	399.998700000E+0
2.318061817E+3	-7.199979687E+0	1.000000000E-9	4.228776258E-3	-10.968115147E-3	8.332135000E-3	6.268166608E-3	874.579602621E-6	58.153929841E-6	4.228776258E+6	-10.968115147E+6	8.332135000E+6	6.268166608E+6	874.579602621E+3	58.153929841E+3	399.990200000E+0
2.468086492E+3	-6.999979687E+0	1.000000000E-9	10.093616775E-3	-10.777303028E-3	8.131379250E-3	9.593276394E-3	708.950787146E-6	50.868437751E-6	10.093616775E+6	-10.777303028E+6	8.131379250E+6	9.593276394E+6	708.950787146E+3	50.868437751E+3	399.995300000E+0
2.617972061E+3	-6.799978906E+0	1.000000000E-9	3.627097847E-3	-10.540217089E-3	7.921885267E-3	5.277467016E-3	737.992820590E-6	53.513198321E-6	3.627097847E+6	-10.540217089E+6	7.921885267E+6	5.277467016E+6	737.992820590E+3	53.513198321E+3	399.999100000E+0
2.770872013E+3	-6.599978906E+0	1.000000000E-9	3.504367225E-3	-10.094768223E-3	7.693438517E-3	7.993671132E-3	3.426922195E-3	56.198024907E-6	3.504367225E+6	-10.094768223E+6	7.693438517E+6	7.993671132E+6	3.426922195E+6	56.198024907E+3	399.997200000E+0
2.918487587E+3	-6.399977344E+0	1.000000000E-9	3.547191854E-3	-9.835652338E-3	7.495830667E-3	5.814124241E-3	3.335480232E-3	62.337260146E-6	3.547191854E+6	-9.835652338E+6	7.495830667E+6	5.814124241E+6	3.335480232E+6	62.337260146E+3	399.984600000E+0
3.065708942E+3	-6.199988281E+0	1.000000000E-9	662.496355500E-6	-9.626639497E-3	7.301533833E-3	2.910513388E-3	3.252522726E-3	42.366559194E-6	662.496355500E+3	-9.626639497E+6	7.301533833E+6	2.910513388E+6	3.252522726E+6	42.366559194E+3	399.990100000E+0
3.209939133E+3	-5.999970313E+0	1.000000000E-9	186.008263833E-6	-6.007194579E-3	7.077583750E-3	7.283282535E-3	8.686806017E-3	44.040237345E-6	186.008263833E+3	-6.007194579E+6	7.077583750E+6	7.283282535E+6	8.686806017E+6	44.040237345E+3	400.003400000E+0
3.355788308E+3	-5.799983203E+0	1.000000000E-9	1.443675985E-3	-2.512137694E-3	6.865336650E-3	4.431846335E-3	6.322418757E-3	44.155894239E-6	1.443675985E+6	-2.512137694E+6	6.865336650E+6	4.431846335E+6	6.322418757E+6	44.155894239E+3	399.994200000E+0
3.501574826E+3	-5.599981641E+0	1.000000000E-9	995.774443000E-6	-1.074031935E-3	6.662097450E-3	2.507501352E-3	175.784276459E-6	35.938515260E-6	995.774443000E+3	-1.074031935E+6	6.662097450E+6	2.507501352E+6	175.784276459E+3	35.938515260E+3	399.995900000E+0
3.647598023E+3	-5.399992578E+0	1.000000000E-9	493.116749167E-6	-988.153660167E-6	6.453531067E-3	117.419254961E-6	176.138903122E-6	61.139321753E-6	493.116749167E+3	-988.153660167E+3	6.453531067E+6	117.419254961E+3	176.138903122E+3	61.139321753E+3	400.008300000E+0
3.790228168E+3	-5.200016406E+0	1.000000000E-9	471.861981833E-6	-995.511582833E-6	6.237616800E-3	112.964087752E-6	169.848579286E-6	41.829186306E-6	471.861981833E+3	-995.511582833E+3	6.237616800E+6	112.964087752E+3	169.848579286E+3	41.829186306E+3	400.012100000E+0
