[Main]
Experiment = "RvsB_400.0K"
Header length = 74    
Date = "20201213 03:10:28"
Comments = "DS: 2I- to 2I+; Volt1: 2Vb to 1I+; Volt2: 2Va to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-7
Final current (A) = 1.000000E-7
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 0
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.373086929E+0	-8.999982031E+0	99.999999921E-9	-139.141876917E-3	71.201838098E-3	1.353131900E+0	1.104151795E-3	703.510015057E-6	33.405814565E-3	-1.391418770E+6	712.018381542E+3	13.531319011E+6	11.041517957E+3	7.035100156E+3	334.058145915E+3	399.998600000E+0
1.153625554E+3	-8.799962500E+0	99.999999921E-9	-134.747436917E-3	68.493322917E-3	1.331561067E+0	1.021313180E-3	718.793238598E-6	25.998012645E-3	-1.347474370E+6	684.933229704E+3	13.315610677E+6	10.213131811E+3	7.187932392E+3	259.980126654E+3	399.994100000E+0
1.382042632E+3	-8.599979687E+0	99.999999921E-9	-132.903443083E-3	67.101742362E-3	1.310736417E+0	1.001274790E-3	683.070333642E-6	19.201594416E-3	-1.329034432E+6	671.017424143E+3	13.107364177E+6	10.012747908E+3	6.830703342E+3	192.015944309E+3	399.995000000E+0
1.609793964E+3	-8.399960156E+0	99.999999921E-9	-130.936155083E-3	65.653717558E-3	1.288975850E+0	922.346385330E-6	707.838917200E-6	11.858255719E-3	-1.309361552E+6	656.537176099E+3	12.889758510E+6	9.223463861E+3	7.078389178E+3	118.582557284E+3	400.007700000E+0
1.836347598E+3	-8.199954688E+0	99.999999921E-9	-128.922189733E-3	64.205372807E-3	1.270254850E+0	902.260165600E-6	690.249163458E-6	9.433724296E-3	-1.289221898E+6	642.053728571E+3	12.702548510E+6	9.022601663E+3	6.902491640E+3	94.337243037E+3	400.003200000E+0
2.063374598E+3	-7.999961719E+0	99.999999921E-9	-127.890346950E-3	63.069509247E-3	1.249908033E+0	944.474589681E-6	546.122208857E-6	4.550136686E-3	-1.278903471E+6	630.695092962E+3	12.499080343E+6	9.444745904E+3	5.461222093E+3	45.501366892E+3	399.993700000E+0
2.289442868E+3	-7.799968750E+0	99.999999921E-9	-124.673926767E-3	60.869114052E-3	1.228443933E+0	804.969396066E-6	562.729684291E-6	1.971949435E-3	-1.246739269E+6	608.691140994E+3	12.284439343E+6	8.049693967E+3	5.627296847E+3	19.719494367E+3	399.995300000E+0
2.512421282E+3	-7.599965625E+0	99.999999921E-9	-122.264812217E-3	59.137169365E-3	1.205917917E+0	869.250312139E-6	524.247347855E-6	906.802743127E-6	-1.222648123E+6	591.371694114E+3	12.059179176E+6	8.692503128E+3	5.242473483E+3	9.068027438E+3	399.998800000E+0
2.734544692E+3	-7.399980469E+0	99.999999921E-9	-119.473134600E-3	57.199186033E-3	1.179254717E+0	768.180804164E-6	534.559248616E-6	1.031030856E-3	-1.194731347E+6	571.991860782E+3	11.792547176E+6	7.681808048E+3	5.345592490E+3	10.310308570E+3	400.002700000E+0
2.956137012E+3	-7.199975781E+0	99.999999921E-9	-116.670168683E-3	55.178571355E-3	1.152796867E+0	697.618372178E-6	464.838735616E-6	910.804189310E-6	-1.166701688E+6	551.785713983E+3	11.527968676E+6	6.976183727E+3	4.648387360E+3	9.108041900E+3	400.001700000E+0
