[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201218 16:26:13"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Skip data"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
344.006242752E+0	300.133300000E+0	1.000000000E-9	838.817722500E-9	290.386515017E-9	4.849596283E+0	1.809628735E-6	944.497151743E-9	11.106878354E-3	838.817722500E+0	290.386515017E+0	4.849596283E+9	1.809628735E+3	944.497151743E+0	11.106878354E+6
526.877341747E+0	300.967400000E+0	1.000000000E-9	63.823022033E-9	-980.049972650E-9	4.368037583E+0	1.554069491E-6	959.174670624E-9	16.818793268E-3	63.823022033E+0	-980.049972650E+0	4.368037583E+9	1.554069491E+3	959.174670624E+0	16.818793268E+6
709.330248833E+0	301.952700000E+0	1.000000000E-9	-401.171702200E-9	181.490310467E-9	4.028247967E+0	1.719966959E-6	1.133408518E-6	7.735985296E-3	-401.171702200E+0	181.490310467E+0	4.028247967E+9	1.719966959E+3	1.133408518E+3	7.735985296E+6
892.147860050E+0	302.926200000E+0	1.000000000E-9	-702.053746467E-9	-299.460489033E-9	3.706458817E+0	1.874335989E-6	1.168200284E-6	4.260501868E-3	-702.053746467E+0	-299.460489033E+0	3.706458817E+9	1.874335989E+3	1.168200284E+3	4.260501868E+6
1.074905748E+3	303.948400000E+0	1.000000000E-9	-54.705496783E-9	117.968980000E-9	3.417299200E+0	1.798187003E-6	1.087848676E-6	2.671093333E-3	-54.705496783E+0	117.968980000E+0	3.417299200E+9	1.798187003E+3	1.087848676E+3	2.671093333E+6
1.257545740E+3	304.937400000E+0	1.000000000E-9	291.763428650E-9	117.969206950E-9	3.149994633E+0	1.494836571E-6	1.070800600E-6	2.385774528E-3	291.763428650E+0	117.969206950E+0	3.149994633E+9	1.494836571E+3	1.070800600E+3	2.385774528E+6
1.441139142E+3	305.977400000E+0	1.000000000E-9	528.819055867E-9	317.609006400E-9	2.902453867E+0	1.707522437E-6	1.041767416E-6	1.295098736E-3	528.819055867E+0	317.609006400E+0	2.902453867E+9	1.707522437E+3	1.041767416E+3	1.295098736E+6
1.624042494E+3	306.950100000E+0	1.000000000E-9	638.231084567E-9	199.639953850E-9	2.679009883E+0	1.700659039E-6	1.040294496E-6	1.072631507E-3	638.231084567E+0	199.639953850E+0	2.679009883E+9	1.700659039E+3	1.040294496E+3	1.072631507E+6
1.806825886E+3	307.938200000E+0	1.000000000E-9	902.640269183E-9	-417.429265067E-9	2.470903100E+0	1.521409535E-6	1.048126717E-6	803.254035768E-6	902.640269183E+0	-417.429265067E+0	2.470903100E+9	1.521409535E+3	1.048126717E+3	803.254035768E+3
1.989411795E+3	308.932100000E+0	1.000000000E-9	-1.312930384E-6	-217.789029417E-9	2.279746467E+0	1.901576149E-6	954.545601849E-9	860.256390544E-6	-1.312930384E+3	-217.789029417E+0	2.279746467E+9	1.901576149E+3	954.545601849E+0	860.256390544E+3
