[Main]
Experiment = "IvsV"
Header length = 46    
Date = "20201124 16:15:12"
Comments = "SD: 1Va to 2V-; Volt1: 1I+ to 2I-; Volt2 1I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
0.000000000E+0	-10.000000000E+0	-1.912942100E-9	57.909491340E-12	5.227549752E+9	158.250867645E+6	145.413887617E-3	-1.252325786E+0	233.122745139E-3	275.551484201E-3	-76.015833212E+6	654.659535034E+6	121.866074848E+6	144.045909283E+6
6.460981369E+0	-9.899999619E+0	-1.796137200E-9	51.636761868E-12	5.511828171E+9	158.458362055E+6	424.588087653E-3	-1.935450513E+0	248.049440029E-3	232.278949150E-3	-236.389562921E+6	1.077562735E+9	138.101610517E+6	129.321384330E+6
12.806294918E+0	-9.800000191E+0	-1.724060033E-9	86.088157706E-12	5.684256929E+9	283.834203854E+6	527.843329867E-3	-2.194480617E+0	253.558465502E-3	209.773174087E-3	-306.162963969E+6	1.272856266E+9	147.070554737E+6	121.673938280E+6
19.141668797E+0	-9.699999809E+0	-1.659940700E-9	48.355707838E-12	5.843582129E+9	170.229304063E+6	565.172469533E-3	-2.290572814E+0	256.659297457E-3	206.334406361E-3	-340.477505933E+6	1.379912435E+9	154.619558070E+6	124.302275594E+6
25.471830368E+0	-9.600000381E+0	-1.657964267E-9	57.402591527E-12	5.790233586E+9	200.471397409E+6	567.622736600E-3	-2.325428279E+0	258.975942173E-3	203.566068108E-3	-342.361260741E+6	1.402580457E+9	156.201160290E+6	122.780733096E+6
31.800642967E+0	-9.500000000E+0	-1.586961267E-9	59.413357699E-12	5.986283471E+9	224.117127892E+6	557.447617567E-3	-2.326032468E+0	260.214610402E-3	200.935318687E-3	-351.267311481E+6	1.465714707E+9	163.970360127E+6	126.616397582E+6
38.140814304E+0	-9.399999619E+0	-1.588698967E-9	59.102562887E-12	5.916790919E+9	220.115651045E+6	542.002651700E-3	-2.320118680E+0	258.225180182E-3	199.369757911E-3	-341.161329536E+6	1.460389116E+9	162.538772669E+6	125.492470313E+6
44.467132092E+0	-9.300000191E+0	-1.565831833E-9	74.788838701E-12	5.939335242E+9	283.680517888E+6	521.151385033E-3	-2.310305638E+0	259.413619277E-3	200.572366310E-3	-332.827174630E+6	1.475449399E+9	165.671442970E+6	128.093171974E+6
50.799955845E+0	-9.199999809E+0	-1.597661467E-9	53.763928172E-12	5.758416286E+9	193.780150583E+6	499.444802153E-3	-2.296139775E+0	259.292164402E-3	201.816076921E-3	-312.609906775E+6	1.437187930E+9	162.294810141E+6	126.319674807E+6
57.130903244E+0	-9.100000381E+0	-1.539744233E-9	63.252070670E-12	5.910072715E+9	242.783398009E+6	674.059497233E-3	-2.479839293E+0	271.240489306E-3	187.936575525E-3	-437.773678667E+6	1.610552740E+9	176.159444818E+6	122.057008857E+6
