[Main]
Experiment = "RvsB_400.0K"
Header length = 74    
Date = "20201124 17:37:13"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
921.226963997E+0	-8.999985937E+0	1.000000000E-9	1.059326618E-3	-900.482655833E-6	9.995441767E-3	893.559682130E-6	670.930358180E-6	39.802886215E-6	1.059326618E+6	-900.482655833E+3	9.995441767E+6	893.559682130E+3	670.930358180E+3	39.802886215E+3	399.992600000E+0
1.168548903E+3	-8.799964063E+0	1.000000000E-9	927.912758333E-6	-901.040180500E-6	9.776386783E-3	902.931262470E-6	690.615826240E-6	120.114155984E-6	927.912758333E+3	-901.040180500E+3	9.776386783E+6	902.931262470E+3	690.615826240E+3	120.114155984E+3	400.000000000E+0
1.412811442E+3	-8.599946094E+0	1.000000000E-9	993.003155000E-6	-795.199944167E-6	9.629664833E-3	881.769283708E-6	657.920800667E-6	130.583563076E-6	993.003155000E+3	-795.199944167E+3	9.629664833E+6	881.769283708E+3	657.920800667E+3	130.583563076E+3	399.998000000E+0
1.657114737E+3	-8.399961719E+0	1.000000000E-9	883.902413333E-6	-831.212200667E-6	9.407776817E-3	850.219464594E-6	729.566325497E-6	47.895844154E-6	883.902413333E+3	-831.212200667E+3	9.407776817E+6	850.219464594E+3	729.566325497E+3	47.895844154E+3	399.998700000E+0
1.901359438E+3	-8.199954688E+0	1.000000000E-9	896.392371667E-6	-832.608080000E-6	9.230309633E-3	806.656420795E-6	560.631991997E-6	29.320226377E-6	896.392371667E+3	-832.608080000E+3	9.230309633E+6	806.656420795E+3	560.631991997E+3	29.320226377E+3	400.002200000E+0
2.145604907E+3	-7.999961719E+0	1.000000000E-9	886.886645000E-6	-835.775938667E-6	9.022395600E-3	775.355458295E-6	623.473305237E-6	37.481887117E-6	886.886645000E+3	-835.775938667E+3	9.022395600E+6	775.355458295E+3	623.473305237E+3	37.481887117E+3	400.004500000E+0
2.389854687E+3	-7.799971094E+0	1.000000000E-9	806.385638333E-6	-771.851884167E-6	8.837879050E-3	707.858346004E-6	587.775526671E-6	75.709221095E-6	806.385638333E+3	-771.851884167E+3	8.837879050E+6	707.858346004E+3	587.775526671E+3	75.709221095E+3	400.000900000E+0
2.631199477E+3	-7.599973438E+0	1.000000000E-9	759.738038333E-6	-804.048607833E-6	8.634517400E-3	684.274632527E-6	596.402314948E-6	59.605195705E-6	759.738038333E+3	-804.048607833E+3	8.634517400E+6	684.274632527E+3	596.402314948E+3	59.605195705E+3	399.994000000E+0
2.872453707E+3	-7.399965625E+0	1.000000000E-9	729.199427500E-6	-770.237376833E-6	8.445936117E-3	666.097173685E-6	507.979601866E-6	79.995147087E-6	729.199427500E+3	-770.237376833E+3	8.445936117E+6	666.097173685E+3	507.979601866E+3	79.995147087E+3	400.002200000E+0
3.113746637E+3	-7.199972656E+0	1.000000000E-9	763.752967333E-6	-733.721369500E-6	8.240380717E-3	625.509163813E-6	567.695822100E-6	29.248177879E-6	763.752967333E+3	-733.721369500E+3	8.240380717E+6	625.509163813E+3	567.695822100E+3	29.248177879E+3	399.999100000E+0
