[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201124 23:43:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 10.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
0.000000000E+0	-10.000000000E+0	-3.956965200E-6	553.457184588E-12	2.527189271E+6	353.475703796E+0	-604.696071500E-3	624.854907233E-3	264.619659038E-6	206.625448067E-6	152.818142424E+3	-157.912661762E+3	66.874396327E+0	52.218161551E+0	400.002300000E+0
6.408987999E+0	-9.989999771E+0	-3.951366433E-6	146.444925115E-12	2.528239266E+6	93.701208488E+0	-604.609069700E-3	624.310455133E-3	328.344022881E-6	220.328145250E-6	153.012655217E+3	-157.998622924E+3	83.096323366E+0	55.759988087E+0	400.002300000E+0
12.746288776E+0	-9.979999542E+0	-3.947266700E-6	139.286148035E-12	2.528331704E+6	89.216567004E+0	-604.424504433E-3	623.650229867E-3	316.049003828E-6	170.820284956E-6	153.124820381E+3	-157.995463004E+3	80.067810931E+0	43.275587372E+0	400.002300000E+0
19.076410294E+0	-9.970000267E+0	-3.943749167E-6	160.520292698E-12	2.528051315E+6	102.897907524E+0	-604.115472333E-3	623.110620533E-3	288.092669215E-6	202.635711245E-6	153.183036446E+3	-157.999556818E+3	73.050454540E+0	51.381490729E+0	400.002300000E+0
25.407897949E+0	-9.960000038E+0	-3.939987300E-6	97.422347504E-12	2.527926940E+6	62.506946861E+0	-603.768035667E-3	622.458638000E-3	277.152936360E-6	200.197897277E-6	153.241112139E+3	-157.984935129E+3	70.343611605E+0	50.811812839E+0	400.002300000E+0
31.738021374E+0	-9.949999809E+0	-3.937067033E-6	127.817079247E-12	2.527261976E+6	82.047687147E+0	-603.387288333E-3	621.918551167E-3	224.414416606E-6	189.029622583E-6	153.258068309E+3	-157.964938341E+3	57.000405303E+0	48.012802673E+0	400.002300000E+0
38.070486069E+0	-9.939999580E+0	-3.934018800E-6	157.662756628E-12	2.526678210E+6	101.261095074E+0	-602.923220333E-3	621.400477933E-3	287.826107961E-6	197.264233858E-6	153.258855889E+3	-157.955645238E+3	73.163378874E+0	50.143185350E+0	400.002300000E+0
44.396809578E+0	-9.930000305E+0	-3.930869567E-6	140.084871647E-12	2.526158687E+6	90.025021053E+0	-602.570543533E-3	620.823827400E-3	239.195943213E-6	234.731466135E-6	153.291920099E+3	-157.935494137E+3	60.850643644E+0	59.714895688E+0	400.002300000E+0
50.721966743E+0	-9.920000076E+0	-3.928123100E-6	152.569565818E-12	2.525379125E+6	98.086538223E+0	-602.012466867E-3	620.272356133E-3	300.500906647E-6	175.437366510E-6	153.257026712E+3	-157.905529013E+3	76.499870039E+0	44.661881016E+0	400.002300000E+0
57.048180580E+0	-9.909999847E+0	-3.925160833E-6	132.015956019E-12	2.524737270E+6	84.915145793E+0	-601.603089133E-3	619.563566133E-3	316.973833943E-6	180.239206476E-6	153.268391966E+3	-157.844122175E+3	80.754355656E+0	45.918935333E+0	399.998900000E+0
63.615497589E+0	-9.899999619E+0	-3.922195400E-6	152.725717637E-12	2.524096484E+6	98.285375302E+0	-601.248072667E-3	618.891826100E-3	248.879444543E-6	157.914062716E-6	153.293758049E+3	-157.792196202E+3	63.454116677E+0	40.261651094E+0	399.998900000E+0
69.949779034E+0	-9.890000343E+0	-3.919056067E-6	140.258120014E-12	2.523566944E+6	90.315307905E+0	-600.705655000E-3	618.280371167E-3	317.311911023E-6	175.572917326E-6	153.278147794E+3	-157.762573602E+3	80.966412734E+0	44.799797283E+0	399.998900000E+0
76.277638912E+0	-9.880000114E+0	-3.915947133E-6	151.320562528E-12	2.523016726E+6	97.494755982E+0	-600.406916067E-3	617.737991333E-3	284.956963035E-6	203.397383863E-6	153.323549993E+3	-157.749318441E+3	72.768337603E+0	51.940789019E+0	399.998900000E+0
82.608049393E+0	-9.869999886E+0	-3.912188133E-6	135.147361037E-12	2.522884777E+6	87.153584686E+0	-600.020005533E-3	617.114657033E-3	261.404986054E-6	181.132850280E-6	153.371971154E+3	-157.741559455E+3	66.818102081E+0	46.299626732E+0	399.998900000E+0
88.940413952E+0	-9.859999657E+0	-3.908700100E-6	124.745630840E-12	2.522577687E+6	80.507722986E+0	-599.589264867E-3	616.449698633E-3	326.299360659E-6	237.986159297E-6	153.398636254E+3	-157.712201720E+3	83.480275363E+0	60.886267354E+0	399.998900000E+0
95.275932789E+0	-9.850000381E+0	-3.905269367E-6	133.366873655E-12	2.522233284E+6	86.135509794E+0	-599.084357133E-3	615.821236033E-3	344.160932764E-6	186.992098987E-6	153.404106320E+3	-157.689823214E+3	88.127322459E+0	47.881997740E+0	399.998900000E+0
101.616263866E+0	-9.840000153E+0	-3.901986967E-6	166.763818811E-12	2.521792163E+6	107.776805750E+0	-598.590683367E-3	615.282589967E-3	286.777340305E-6	205.222121236E-6	153.406633205E+3	-157.684429810E+3	73.495207123E+0	52.594261075E+0	399.998900000E+0
107.956644535E+0	-9.829999924E+0	-3.898839667E-6	130.372499039E-12	2.521262931E+6	84.307993427E+0	-598.225828333E-3	614.693409067E-3	272.950632472E-6	193.776088315E-6	153.436888787E+3	-157.660602030E+3	70.008170586E+0	49.700963590E+0	399.998900000E+0
114.303310871E+0	-9.819999695E+0	-3.895493667E-6	146.326355449E-12	2.520861420E+6	94.691070168E+0	-597.978655367E-3	614.026026067E-3	261.190741762E-6	181.648752682E-6	153.505231053E+3	-157.624701414E+3	67.049458711E+0	46.630483380E+0	399.998900000E+0
120.643135548E+0	-9.810000420E+0	-3.892650533E-6	143.124429427E-12	2.520133861E+6	92.659928731E+0	-597.535479167E-3	613.425589600E-3	383.106624057E-6	259.419986068E-6	153.503499492E+3	-157.585579375E+3	98.417934201E+0	66.643533460E+0	399.989100000E+0
127.160447598E+0	-9.800000191E+0	-3.889680367E-6	139.394128243E-12	2.519487276E+6	90.290640701E+0	-597.118099633E-3	612.734584833E-3	312.446176709E-6	270.072398625E-6	153.513410703E+3	-157.528261212E+3	80.326954211E+0	69.433057004E+0	399.989100000E+0
133.503503799E+0	-9.789999962E+0	-3.886944100E-6	137.104377555E-12	2.518688129E+6	88.841814872E+0	-596.618249733E-3	612.092792233E-3	231.452351360E-6	179.246665593E-6	153.492881396E+3	-157.474040399E+3	59.546097244E+0	46.115061339E+0	399.989100000E+0
139.844375610E+0	-9.779999733E+0	-3.883974433E-6	155.179691911E-12	2.518039163E+6	100.605333097E+0	-596.077942467E-3	611.595229533E-3	320.659561153E-6	204.188445809E-6	153.471129303E+3	-157.466337647E+3	82.559647767E+0	52.572036535E+0	399.989100000E+0
146.178362846E+0	-9.770000458E+0	-3.881498600E-6	187.860843583E-12	2.517069170E+6	121.823755791E+0	-595.623861367E-3	610.998048933E-3	385.911395733E-6	204.918421926E-6	153.452035605E+3	-157.412925238E+3	99.423298963E+0	52.793635408E+0	399.989100000E+0
