[Main]
Experiment = "VvsI_300.0K"
Header length = 61    
Date = "20201125 11:40:49"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = -1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-11
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000010
Check output compliance = "Abort"
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Temperature (K)
0.000000000E+0	-1.000000000E-9	-119.783416413E-3	-110.376847157E-3	-62.484247333E-3	24.132904151E-3	10.954862679E-3	7.464239020E-3	119.783416413E+6	110.376847157E+6	62.484247333E+6	24.132904151E+6	10.954862679E+6	7.464239020E+6	NaN	NaN	NaN	300.156200000E+0
17.928564072E+0	-990.000000000E-12	-205.054399283E-3	-165.557793380E-3	-113.414607667E-3	53.039316930E-3	20.818280943E-3	13.535908018E-3	207.125655842E+6	167.230094323E+6	114.560209764E+6	53.575067606E+6	21.028566609E+6	13.672634361E+6	-117.273187941E-12	-181.221973968E-12	-196.346539364E-12	300.156200000E+0
34.736371994E+0	-980.000000000E-12	-303.099648607E-3	-236.997098900E-3	-195.442950000E-3	93.773040615E-3	38.038137290E-3	18.809661535E-3	309.285355721E+6	241.833774388E+6	199.431581633E+6	95.686776138E+6	38.814425806E+6	19.193532179E+6	-101.993722990E-12	-139.978964342E-12	-121.909083075E-12	300.156200000E+0
51.543867111E+0	-970.000000000E-12	-396.805864700E-3	-305.125743167E-3	-301.452953333E-3	135.901019654E-3	61.183958893E-3	22.889653184E-3	409.078211031E+6	314.562621821E+6	310.776240550E+6	140.104143973E+6	63.076246282E+6	23.597580602E+6	-106.716506299E-12	-146.781138941E-12	-94.330720551E-12	300.063000000E+0
68.537697792E+0	-960.000000000E-12	-478.639035800E-3	-360.370726667E-3	-446.632893333E-3	171.222903523E-3	84.588857216E-3	26.283484920E-3	498.582328958E+6	375.386173611E+6	465.242597222E+6	178.357191170E+6	88.113392933E+6	27.378630125E+6	-122.199834927E-12	-181.011910339E-12	-68.880039488E-12	300.063000000E+0
85.331322193E+0	-950.000000000E-12	-541.145597200E-3	-399.553286400E-3	-579.000450000E-3	197.321235245E-3	104.963710076E-3	22.598551314E-3	569.626944421E+6	420.582406737E+6	609.474157895E+6	207.706563416E+6	110.488115869E+6	23.787948752E+6	-159.983204579E-12	-255.215587446E-12	-75.547213017E-12	300.063000000E+0
102.145618439E+0	-940.000000000E-12	-586.468195567E-3	-422.231371767E-3	-694.840960000E-3	214.450924452E-3	118.313213632E-3	17.522171633E-3	623.902335709E+6	449.182310390E+6	739.192510638E+6	228.139281332E+6	125.865120885E+6	18.640608120E+6	-220.640483123E-12	-440.954332710E-12	-86.325586792E-12	300.063000000E+0
118.950297832E+0	-930.000000000E-12	-623.560266667E-3	-437.294325233E-3	-793.389686667E-3	225.616891073E-3	128.915397625E-3	12.836927389E-3	670.494910394E+6	470.208951864E+6	853.107189964E+6	242.598807605E+6	138.618707123E+6	13.803147730E+6	-269.599396945E-12	-663.880428372E-12	-101.472645444E-12	300.014300000E+0
135.959651947E+0	-920.000000000E-12	-655.441180100E-3	-449.047307700E-3	-875.855606667E-3	235.631585814E-3	137.807631688E-3	9.085753476E-3	712.436065326E+6	488.094899674E+6	952.016963768E+6	256.121288928E+6	149.790904009E+6	9.875818995E+6	-313.667298803E-12	-850.847861669E-12	-121.262213530E-12	300.014300000E+0
152.768108845E+0	-910.000000000E-12	-677.656600533E-3	-458.900949600E-3	-942.286570000E-3	241.316481894E-3	143.040292936E-3	5.941259396E-3	744.677583004E+6	504.286757802E+6	1.035479747E+9	265.182947136E+6	157.187135094E+6	6.528856479E+6	-450.137778396E-12	-1.014853199E-9	-150.532214170E-12	300.014300000E+0
169.573653698E+0	-900.000000000E-12	-698.054636400E-3	-460.905846400E-3	-995.683403333E-3	247.568118545E-3	146.644633600E-3	5.263715703E-3	775.616262667E+6	512.117607111E+6	1.106314893E+9	275.075687273E+6	162.938481778E+6	5.848573004E+6	-490.243279567E-12	-4.987787900E-9	-187.277023294E-12	300.014300000E+0
186.370451450E+0	-890.000000000E-12	-709.742234267E-3	-469.830066567E-3	-1.039421833E+0	247.804146679E-3	151.660936756E-3	6.436956708E-3	797.463184569E+6	527.898951199E+6	1.167889700E+9	278.431625482E+6	170.405546917E+6	7.232535627E+6	-855.607808729E-12	-1.120546088E-9	-228.631891908E-12	300.002100000E+0
203.357504845E+0	-880.000000000E-12	-726.502879600E-3	-473.641678100E-3	-1.077188967E+0	253.946089425E-3	153.734154214E-3	6.708408046E-3	825.571454091E+6	538.229179659E+6	1.224078371E+9	288.575101620E+6	174.697902516E+6	7.623190962E+6	-596.635738131E-12	-2.623562216E-9	-264.780488149E-12	300.002100000E+0
220.157015800E+0	-870.000000000E-12	-739.173395667E-3	-478.530173967E-3	-1.109093867E+0	256.170166305E-3	158.021639125E-3	9.066938630E-3	849.624592720E+6	550.034682720E+6	1.274820536E+9	294.448467018E+6	181.634067960E+6	10.421768540E+6	-789.233836048E-12	-2.045618995E-9	-313.431479177E-12	300.002100000E+0
236.958864689E+0	-860.000000000E-12	-750.591749000E-3	-481.453608633E-3	-1.135422567E+0	258.914326829E-3	160.052440353E-3	10.124423409E-3	872.781103488E+6	559.829777481E+6	1.320258798E+9	301.063170732E+6	186.107488782E+6	11.772585359E+6	-875.783023004E-12	-3.420633994E-9	-379.813663417E-12	300.002100000E+0
253.756192684E+0	-850.000000000E-12	-756.365978300E-3	-483.885116500E-3	-1.158485267E+0	261.346969309E-3	162.698271873E-3	11.289785072E-3	889.842327412E+6	569.276607647E+6	1.362923843E+9	307.467022717E+6	191.409731615E+6	13.282100084E+6	-1.731832853E-9	-4.112674336E-9	-433.600575822E-12	300.011400000E+0
270.748134613E+0	-840.000000000E-12	-771.857190967E-3	-484.669560000E-3	-1.178877900E+0	264.789516281E-3	163.744560328E-3	10.543195453E-3	918.877608294E+6	576.987571429E+6	1.403426071E+9	315.225614620E+6	194.934000391E+6	12.551423159E+6	-645.527255688E-12	-12.747890702E-9	-490.373157627E-12	300.011400000E+0
287.548684597E+0	-830.000000000E-12	-822.881399333E-3	-425.369730633E-3	-1.201084533E+0	265.079678440E-3	164.968248217E-3	12.758663258E-3	991.423372691E+6	512.493651365E+6	1.447089799E+9	319.373106555E+6	198.756925563E+6	15.371883443E+6	-195.985402226E-12	168.634549320E-12	-450.315896601E-12	300.011400000E+0
304.344721794E+0	-820.000000000E-12	-793.590919700E-3	-492.959047300E-3	-1.229649900E+0	267.290088258E-3	168.175023238E-3	23.322093405E-3	967.793804512E+6	601.169569878E+6	1.499573049E+9	325.963522266E+6	205.091491754E+6	28.441577323E+6	341.407861025E-12	-147.952376103E-12	-350.074274092E-12	300.011400000E+0
321.346453667E+0	-810.000000000E-12	-798.006844200E-3	-495.696819333E-3	-1.234539433E+0	268.162339424E-3	170.007384369E-3	13.476057115E-3	985.193634815E+6	611.971381893E+6	1.524122757E+9	331.064616573E+6	209.885659714E+6	16.637107549E+6	-2.264531470E-9	-3.652605067E-9	-2.045184953E-9	300.001200000E+0
338.370285511E+0	-800.000000000E-12	-803.920428900E-3	-497.350878533E-3	-1.248622233E+0	271.149040892E-3	171.916458412E-3	14.195542444E-3	1.004900536E+9	621.688598167E+6	1.560777792E+9	338.936301115E+6	214.895573015E+6	17.744428055E+6	-1.691021691E-9	-6.045732825E-9	-710.086062431E-12	300.001200000E+0
355.174264908E+0	-790.000000000E-12	-812.950397833E-3	-501.169726567E-3	-1.262786667E+0	272.261204265E-3	174.054844111E-3	15.926186320E-3	1.029051136E+9	634.392058945E+6	1.598464135E+9	344.634435779E+6	220.322587483E+6	20.159729520E+6	-1.107423522E-9	-2.618590714E-9	-705.993650764E-12	300.001200000E+0
371.967527390E+0	-780.000000000E-12	-820.124665000E-3	-502.128779633E-3	-1.275467667E+0	272.240574268E-3	174.662632083E-3	16.560255073E-3	1.051441878E+9	643.754845684E+6	1.635214957E+9	349.026377267E+6	223.926451388E+6	21.231096248E+6	-1.393870589E-9	-10.426951696E-9	-788.581342165E-12	300.001200000E+0
388.763232708E+0	-770.000000000E-12	-830.122708600E-3	-503.498689933E-3	-1.286965333E+0	274.471180760E-3	176.455938536E-3	17.312292128E-3	1.078081440E+9	653.894402511E+6	1.671383550E+9	356.456078910E+6	229.163556540E+6	22.483496270E+6	-1.000195678E-9	-7.299748020E-9	-869.741686719E-12	300.000000000E+0
405.743241787E+0	-760.000000000E-12	-837.148415733E-3	-508.273739633E-3	-1.296023267E+0	276.463793044E-3	178.517987827E-3	17.208103221E-3	1.101511073E+9	668.781236360E+6	1.705293772E+9	363.768148743E+6	234.892089246E+6	22.642241081E+6	-1.423344271E-9	-2.094219040E-9	-1.104004593E-9	300.000000000E+0
422.546792030E+0	-750.000000000E-12	-843.394627467E-3	-511.409885700E-3	-1.306059833E+0	275.490004966E-3	180.380893742E-3	18.820105843E-3	1.124526170E+9	681.879847600E+6	1.741413111E+9	367.320006622E+6	240.507858322E+6	25.093474457E+6	-1.600970384E-9	-3.188626992E-9	-996.356655828E-12	300.000000000E+0
439.345087051E+0	-740.000000000E-12	-850.601918667E-3	-511.098235467E-3	-1.313491833E+0	277.436815385E-3	179.406944446E-3	19.485618674E-3	1.149462052E+9	690.673291171E+6	1.774988964E+9	374.914615385E+6	242.441816820E+6	26.331917127E+6	-1.387483830E-9	32.087253371E-9	-1.345532831E-9	300.000000000E+0
456.131864071E+0	-730.000000000E-12	-855.868033833E-3	-515.094384367E-3	-1.320364333E+0	279.148747306E-3	181.146315159E-3	19.995300273E-3	1.172421964E+9	705.608745708E+6	1.808718265E+9	382.395544255E+6	248.145637205E+6	27.390822291E+6	-1.898933024E-9	-2.502409257E-9	-1.455074573E-9	300.001500000E+0
473.165791035E+0	-720.000000000E-12	-861.259587367E-3	-517.658566700E-3	-1.324235833E+0	280.121047444E-3	183.339610128E-3	19.705557615E-3	1.196193871E+9	718.970231528E+6	1.839216435E+9	389.057010339E+6	254.638347399E+6	27.368830020E+6	-1.854752983E-9	-3.899878675E-9	-2.582978174E-9	300.001500000E+0
489.962471962E+0	-710.000000000E-12	-864.407329000E-3	-518.684338600E-3	-1.329716033E+0	280.750503577E-3	184.061525033E-3	21.760617956E-3	1.217475111E+9	730.541321972E+6	1.872839484E+9	395.423244475E+6	259.241584553E+6	30.648757684E+6	-3.176880813E-9	-9.748756034E-9	-1.824750921E-9	300.001500000E+0
506.755330563E+0	-700.000000000E-12	-871.953332000E-3	-522.895301333E-3	-1.332258633E+0	281.239282385E-3	185.785943317E-3	22.361968227E-3	1.245647617E+9	746.993287619E+6	1.903226619E+9	401.770403407E+6	265.408490453E+6	31.945668896E+6	-1.325204880E-9	-2.374753859E-9	-3.932981987E-9	300.001500000E+0
523.552793503E+0	-690.000000000E-12	-874.445532800E-3	-523.814590967E-3	-1.333282733E+0	282.626057347E-3	185.663232170E-3	23.075072174E-3	1.267312366E+9	759.151581111E+6	1.932293816E+9	409.602981662E+6	269.077148073E+6	33.442133586E+6	-4.012517771E-9	-10.877964504E-9	-9.764671419E-9	300.001500000E+0
