[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201125 12:40:44"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Skip data"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
2.217577457E+0	299.992800000E+0	1.000000000E-9	NaN	146.354903520E-3	2.664096133E+0	NaN	309.869266195E-3	1.792337332E-3	NaN	146.354903520E+6	2.664096133E+9	NaN	309.869266195E+6	1.792337332E+6
184.916966438E+0	300.936300000E+0	1.000000000E-9	NaN	170.637926303E-3	2.600402717E+0	NaN	309.058264003E-3	3.643187934E-3	NaN	170.637926303E+6	2.600402717E+9	NaN	309.058264003E+6	3.643187934E+6
368.262506962E+0	301.963900000E+0	1.000000000E-9	NaN	204.781530117E-3	2.583197450E+0	NaN	310.193729359E-3	3.360386251E-3	NaN	204.781530117E+6	2.583197450E+9	NaN	310.193729359E+6	3.360386251E+6
551.058234215E+0	302.962000000E+0	1.000000000E-9	NaN	238.376109785E-3	2.536084700E+0	NaN	307.164099793E-3	2.152365720E-3	NaN	238.376109785E+6	2.536084700E+9	NaN	307.164099793E+6	2.152365720E+6
734.034656525E+0	303.941700000E+0	1.000000000E-9	NaN	261.923511712E-3	2.439552367E+0	NaN	305.534439473E-3	2.450022437E-3	NaN	261.923511712E+6	2.439552367E+9	NaN	305.534439473E+6	2.450022437E+6
917.016534328E+0	304.957700000E+0	1.000000000E-9	NaN	269.078072268E-3	2.304766017E+0	NaN	302.252353537E-3	2.172396160E-3	NaN	269.078072268E+6	2.304766017E+9	NaN	302.252353537E+6	2.172396160E+6
1.099842535E+3	305.929200000E+0	1.000000000E-9	NaN	256.924900728E-3	2.146155000E+0	NaN	297.343259537E-3	2.341917587E-3	NaN	256.924900728E+6	2.146155000E+9	NaN	297.343259537E+6	2.341917587E+6
1.282475122E+3	306.953400000E+0	1.000000000E-9	NaN	242.717076910E-3	1.974386833E+0	NaN	292.453042070E-3	1.919908890E-3	NaN	242.717076910E+6	1.974386833E+9	NaN	292.453042070E+6	1.919908890E+6
1.465630635E+3	307.932600000E+0	1.000000000E-9	NaN	223.736043085E-3	1.812759433E+0	NaN	287.686853356E-3	2.202012555E-3	NaN	223.736043085E+6	1.812759433E+9	NaN	287.686853356E+6	2.202012555E+6
1.648717587E+3	308.935600000E+0	1.000000000E-9	NaN	204.762382530E-3	1.657281933E+0	NaN	280.398642120E-3	2.188797009E-3	NaN	204.762382530E+6	1.657281933E+9	NaN	280.398642120E+6	2.188797009E+6
1.831961999E+3	309.926100000E+0	1.000000000E-9	NaN	187.795251667E-3	1.515069150E+0	NaN	274.005019931E-3	1.796858100E-3	NaN	187.795251667E+6	1.515069150E+9	NaN	274.005019931E+6	1.796858100E+6
2.014988840E+3	310.883500000E+0	1.000000000E-9	NaN	172.433166767E-3	1.384662433E+0	NaN	265.681261981E-3	1.787080041E-3	NaN	172.433166767E+6	1.384662433E+9	NaN	265.681261981E+6	1.787080041E+6
2.198005697E+3	311.929900000E+0	1.000000000E-9	275.742367692E-3	155.094559295E-3	1.265800233E+0	362.480413952E-3	257.167362264E-3	1.650712581E-3	275.742367692E+6	155.094559295E+6	1.265800233E+9	362.480413952E+6	257.167362264E+6	1.650712581E+6
2.382143081E+3	312.967200000E+0	1.000000000E-9	252.977944130E-3	142.480291670E-3	1.156266833E+0	354.250472571E-3	247.909193721E-3	1.583892912E-3	252.977944130E+6	142.480291670E+6	1.156266833E+9	354.250472571E+6	247.909193721E+6	1.583892912E+6
2.565280923E+3	313.932200000E+0	1.000000000E-9	229.236232537E-3	131.818261369E-3	1.059064250E+0	343.636089656E-3	238.933312570E-3	1.420778966E-3	229.236232537E+6	131.818261369E+6	1.059064250E+9	343.636089656E+6	238.933312570E+6	1.420778966E+6
2.749312976E+3	314.978800000E+0	1.000000000E-9	211.930848833E-3	120.532889870E-3	969.566433333E-3	333.399789454E-3	230.523262740E-3	1.686990103E-3	211.930848833E+6	120.532889870E+6	969.566433333E+6	333.399789454E+6	230.523262740E+6	1.686990103E+6
