[Main]
Experiment = "RvsB_400.0K"
Header length = 74    
Date = "20201211 23:29:34"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-7
Final current (A) = 1.000000E-7
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 0
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
249.892744541E+0	-8.799966406E+0	99.999999921E-9	-8.828604497E-3	2.418024740E-3	8.105043067E+0	656.707810254E-6	571.400438539E-6	12.647591072E-3	-88.286045040E+3	24.180247419E+3	81.050430730E+6	6.567078108E+3	5.714004390E+3	126.475910815E+3	399.993100000E+0
474.457924843E+0	-8.599980469E+0	99.999999921E-9	-8.670315832E-3	2.297465991E-3	8.113383017E+0	663.787253649E-6	563.842596341E-6	10.528175242E-3	-86.703158387E+3	22.974659926E+3	81.133830230E+6	6.637872542E+3	5.638425968E+3	105.281752508E+3	400.001200000E+0
698.974500656E+0	-8.399946875E+0	99.999999921E-9	-8.619024918E-3	2.159507276E-3	8.132186450E+0	589.092383240E-6	576.423148957E-6	7.469353748E-3	-86.190249246E+3	21.595072782E+3	81.321864564E+6	5.890923837E+3	5.764231494E+3	74.693537535E+3	400.009800000E+0
923.589346409E+0	-8.199973438E+0	99.999999921E-9	-8.527863684E-3	2.029076997E-3	8.153662083E+0	600.836766365E-6	492.953319758E-6	4.910832489E-3	-85.278636903E+3	20.290769989E+3	81.536620897E+6	6.008367668E+3	4.929533201E+3	49.108324933E+3	399.999400000E+0
1.148141549E+3	-7.999950000E+0	99.999999921E-9	-8.424013261E-3	1.945407002E-3	8.169421567E+0	579.851381423E-6	491.861602789E-6	3.370192377E-3	-84.240132681E+3	19.454070035E+3	81.694215731E+6	5.798513819E+3	4.918616032E+3	33.701923796E+3	400.005200000E+0
1.372696054E+3	-7.799967969E+0	99.999999921E-9	-8.413111181E-3	1.864041617E-3	8.194568167E+0	597.484091873E-6	471.608888438E-6	2.785023496E-3	-84.131111880E+3	18.640416186E+3	81.945681731E+6	5.974840923E+3	4.716088888E+3	27.850234978E+3	400.002100000E+0
1.594206640E+3	-7.599967187E+0	99.999999921E-9	-8.336137928E-3	1.756531032E-3	8.211582333E+0	592.800295973E-6	532.601420622E-6	1.886092704E-3	-83.361379342E+3	17.565310334E+3	82.115823398E+6	5.928002964E+3	5.326014210E+3	18.860927053E+3	399.999900000E+0
1.815753797E+3	-7.399967969E+0	99.999999921E-9	-8.185837049E-3	1.623378289E-3	8.226998233E+0	567.091900870E-6	469.631175144E-6	2.278827416E-3	-81.858370552E+3	16.233782903E+3	82.269982398E+6	5.670919013E+3	4.696311755E+3	22.788274175E+3	400.008900000E+0
2.037401640E+3	-7.199957031E+0	99.999999921E-9	-8.148596222E-3	1.582183138E-3	8.249082617E+0	613.449239037E-6	459.317137249E-6	3.119542307E-3	-81.485962280E+3	15.821831391E+3	82.490826231E+6	6.134492395E+3	4.593171376E+3	31.195423099E+3	399.991600000E+0
2.258896772E+3	-6.999970313E+0	99.999999921E-9	-7.957037757E-3	1.454613789E-3	8.272251533E+0	511.868820198E-6	415.438953851E-6	3.870377018E-3	-79.570377629E+3	14.546137896E+3	82.722515398E+6	5.118688206E+3	4.154389542E+3	38.703770208E+3	399.999900000E+0
