[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201212 13:17:15"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+2
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-8
Final current (A) = 1.000000E-8
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Skip data"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
2.177480698E+0	400.019400000E+0	10.000000041E-9	1.718407572E-3	3.087209524E-3	873.205211667E-3	512.674344208E-6	607.002226873E-6	65.685672571E-3	171.840756518E+3	308.720951161E+3	87.320520812E+6	51.267434212E+3	60.700222441E+3	6.568567230E+6
102.423735142E+0	399.184800000E+0	10.000000041E-9	1.727942152E-3	3.065875133E-3	931.292310000E-3	528.388049680E-6	553.068379876E-6	80.647429811E-3	172.794214464E+3	306.587512003E+3	93.129230621E+6	52.838804753E+3	55.306837763E+3	8.064742948E+6
165.482787609E+0	398.079100000E+0	10.000000041E-9	1.746534922E-3	3.122962924E-3	978.337385000E-3	429.939653721E-6	583.439342911E-6	90.865039423E-3	174.653491473E+3	312.296291080E+3	97.833738102E+6	42.993965197E+3	58.343934054E+3	9.086503905E+6
195.900622368E+0	397.120100000E+0	10.000000041E-9	1.815450663E-3	3.188004251E-3	1.027117092E+0	551.274700526E-6	603.045497202E-6	97.895074297E-3	181.545065545E+3	318.800423804E+3	102.711708749E+6	55.127469828E+3	60.304549475E+3	9.789507390E+6
232.123109341E+0	396.147500000E+0	10.000000041E-9	1.858606329E-3	3.306903593E-3	1.099458220E+0	429.529908113E-6	583.246664395E-6	105.747204916E-3	185.860632094E+3	330.690357922E+3	109.945821553E+6	42.952990637E+3	58.324666202E+3	10.574720449E+6
270.301589966E+0	395.121200000E+0	10.000000041E-9	1.946694164E-3	3.372937854E-3	1.177377495E+0	512.461616540E-6	582.762258764E-6	114.347344425E-3	194.669415625E+3	337.293784029E+3	117.737749021E+6	51.246161446E+3	58.276225639E+3	11.434734396E+6
310.256801605E+0	394.126600000E+0	10.000000041E-9	2.005634561E-3	3.441244209E-3	1.264037123E+0	549.499423987E-6	665.782637480E-6	122.853925902E-3	200.563455334E+3	344.124419451E+3	126.403711819E+6	54.949942175E+3	66.578263477E+3	12.285392540E+6
353.693252563E+0	393.121100000E+0	10.000000041E-9	2.012856614E-3	3.499746066E-3	1.357152148E+0	472.113535847E-6	676.609686330E-6	131.521400740E-3	201.285660632E+3	349.974605210E+3	135.715214281E+6	47.211353393E+3	67.660968358E+3	13.152140021E+6
404.041631699E+0	392.076300000E+0	10.000000041E-9	1.995542836E-3	3.460832192E-3	1.457592188E+0	526.265597802E-6	631.047861209E-6	140.274304893E-3	199.554282772E+3	346.083217776E+3	145.759218241E+6	52.626559566E+3	63.104785864E+3	14.027430432E+6
451.833004475E+0	391.092300000E+0	10.000000041E-9	1.980816614E-3	3.396072781E-3	1.554335983E+0	548.700396870E-6	700.087008771E-6	149.028918849E-3	198.081660628E+3	339.607276736E+3	155.433597701E+6	54.870039464E+3	70.008700592E+3	14.902891824E+6
