Position,Position_microns,Ga,As,O,In,Se,C
0,0,0,0,2.199755063,0,0,97.80024494
1,0.000298913,0.457524021,0,1.759804051,0,0,97.78267193
2,0.000597826,0.381270018,0,1.466503375,0,0,98.15222661
3,0.000896739,0.326802872,0,1.257002893,0,0,98.41619423
4,0.001195652,0.455694774,0,0.995513238,0,0,98.54879199
5,0.001494565,0.725917434,0,0.71893963,0,0,98.55514294
6,0.001793478,0.725917434,0,0,0,0,99.27408257
7,0.002092391,0.725917434,0,0,0,0,99.27408257
8,0.002391304,0.528006463,0,0,0,0,99.47199354
9,0.002690217,0.528006463,0,0,0,0,99.47199354
10,0.00298913,0.689472508,0,0.330671688,0,0,98.9798558
11,0.003288043,0.560580606,0,0.330671688,0,0,99.10874771
12,0.003586957,0.290357947,0,0.330671688,0,0,99.37897037
13,0.00388587,0.88853058,0,0.330671688,0,0,98.78079773
14,0.004184783,0.88853058,0,0.330671688,0,0,98.78079773
15,0.004483696,0.759638678,0,0.330671688,0,0,98.90968963
16,0.004782609,0.759638678,0,0.844250315,0,0,98.39611101
17,0.005081522,0.598172633,0,0.513578626,0,0,98.88824874
18,0.005380435,0.598172633,0,0.513578626,0,0,98.88824874
19,0.005679348,0.598172633,0,0.513578626,0,0,98.88824874
20,0.005978261,0.145208878,0,0.513578626,0,0,99.3412125
21,0.006277174,0.250839169,0,0.513578626,0,0,99.2355822
22,0.006576087,0.250839169,0,0.513578626,0,0,99.2355822
23,0.006875,0.250839169,0,0.47934788,0,0,99.26981295
24,0.007173913,0.250839169,0,1.180758264,0,0,98.56840257
25,0.007472826,0.250839169,0,1.180758264,0,0,98.56840257
26,0.007771739,0.326764838,0,1.491739675,0,0,98.18149549
27,0.008070652,0.293894457,0,1.491739675,0,0.108210454,98.10615541
28,0.008369565,0.188264166,0,1.491739675,0,0.108210454,98.2117857
29,0.008668478,0.188264166,0,1.491739675,0,0.108210454,98.2117857
30,0.008967391,0.188264166,0,1.012391796,0,0.108210454,98.69113358
31,0.009266304,0.188264166,0.094814303,0.310981412,0,0.292936066,99.11300405
32,0.009565217,0.188264166,0.094814303,1.029921042,0,0.292936066,98.39406442
33,0.00986413,0.112338497,0.094814303,0.71893963,0,0.292936066,98.7809715
34,0.010163043,0.085065453,0.094814303,0.71893963,0,0.184725611,98.916455
35,0.010461957,0.352431978,0.245808039,0.71893963,0,0.184725611,98.49809474
36,0.01076087,0.544901558,0.245808039,0.71893963,0,0.184725611,98.30562516
37,0.011059783,0.699293243,0.245808039,0.71893963,0,0.184725611,98.15123348
38,0.011358696,0.699293243,0.150993736,1.182828097,0,0,97.96688492
39,0.011657609,0.699293243,0.150993736,0.463888466,0,0,98.68582456
40,0.011956522,0.699293243,0.150993736,1.117490324,0,0,98.0322227
41,0.012255435,0.725367866,0.150993736,1.376945641,0,0,97.74669276
42,0.012554348,0.642301728,0,1.376945641,0,0,97.98075263
43,0.012853261,0.449832147,0,1.376945641,0,0,98.17322221
44,0.013152174,0.295440463,0,1.376945641,0,0,98.3276139
45,0.013451087,0.543335855,0,0.913057175,0.424042597,0,98.11956437
46,0.01375,0.543335855,0,1.189630782,0.424042597,0,97.84299077
47,0.014048913,0.543335855,0,0.536028924,0.424042597,0,98.49659262
48,0.014347826,0.658077861,0,0.276573607,0.424042597,0.276652225,98.36465371
49,0.014646739,0.473777474,0,4.296294699,0.424042597,0.276652225,94.52923301
50,0.014945652,1.016427675,0,9.297196049,0.888163368,0.276652225,88.52156068
51,0.015244565,1.016427675,0,13.30090331,1.19217826,0.494326052,83.9961647
52,0.015543478,1.191043554,0,13.73354076,1.129503366,0.672840278,83.27307204
53,0.015842391,1.191043554,0,13.7696102,1.129503366,0.672840278,83.2370026
54,0.016141304,1.191043554,1.003556896,16.0441101,2.649354791,0.672840278,78.43909438
55,0.016440217,1.447680136,1.003556896,17.52635915,4.506464952,2.027130502,73.48880837
56,0.01673913,2.115000833,1.003556896,14.87326632,6.979713304,3.661751136,71.36671151
57,0.017038043,2.253452679,1.003556896,13.35949386,14.13050823,6.16431879,63.08866954
58,0.017336957,2.253452679,1.003556896,10.76160318,19.58257616,6.787391804,59.61141927
59,0.01763587,2.582550541,1.003556896,11.8682111,23.39967032,12.1321401,49.01387104
