[Main]
Experiment = ""
Header length = 58    
Date = "20181213 18:12:55"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
500.202178955E-6	-1.000000000E-6	-13.273209720E-3	-680.664923333E-3	10.824981711E-6	325.487075524E-6	13.273209720E+3	680.664923333E+3	10.824981711E+0	325.487075524E+0	NaN	NaN	-4.353326932E-6	2.080500000E+0
6.762485027E+0	-990.000000000E-9	-13.239996660E-3	-678.115776667E-3	7.353931306E-6	217.939075136E-6	13.373734000E+3	684.965430976E+3	7.428213440E+0	220.140479936E+0	301.086379876E-6	3.922881383E-6	-4.353326932E-6	2.059500000E+0
12.181935310E+0	-980.000000000E-9	-13.194396940E-3	-675.588943333E-3	9.195330350E-6	162.287702560E-6	13.463670347E+3	689.376472789E+3	9.382990153E+0	165.599696490E+0	219.299592190E-6	3.957522591E-6	-4.353326932E-6	2.040000000E+0
17.599533558E+0	-970.000000000E-9	-13.135649300E-3	-672.504503333E-3	8.002892740E-6	152.009923640E-6	13.541906495E+3	693.303611684E+3	8.250404887E+0	156.711261485E+0	170.219603715E-6	3.242079600E-6	-4.353326932E-6	2.022500000E+0
23.046540737E+0	-960.000000000E-9	-13.067728670E-3	-669.661156667E-3	8.916246528E-6	195.467462119E-6	13.612217365E+3	697.563704861E+3	9.287756800E+0	203.611939707E+0	147.230672036E-6	3.516982335E-6	-4.353326932E-6	2.009800000E+0
28.506148815E+0	-950.000000000E-9	-12.986772177E-3	-666.119280000E-3	6.040363171E-6	169.913201776E-6	13.670286502E+3	701.178189474E+3	6.358277022E+0	178.856001870E+0	123.523136789E-6	2.823362003E-6	-4.353326932E-6	1.998700000E+0
33.914090633E+0	-940.000000000E-9	-12.873547313E-3	-662.739240000E-3	6.459461344E-6	152.208322759E-6	13.695263099E+3	705.041744681E+3	6.871767387E+0	161.923747616E+0	88.319823982E-6	2.958544869E-6	-4.353326932E-6	1.999300000E+0
39.362606525E+0	-930.000000000E-9	-12.749950133E-3	-659.232966667E-3	4.068350128E-6	155.723515672E-6	13.709623799E+3	708.852652330E+3	4.374570030E+0	167.444640508E+0	80.907994826E-6	2.852030931E-6	-4.353326932E-6	1.999800000E+0
44.843524933E+0	-920.000000000E-9	-12.619003033E-3	-655.285966667E-3	5.092924438E-6	155.147376729E-6	13.716307645E+3	712.267355072E+3	5.535787433E+0	168.638452966E+0	76.366716025E-6	2.533569800E-6	-4.353326932E-6	1.999700000E+0
50.316911221E+0	-910.000000000E-9	-12.488513077E-3	-651.559833333E-3	3.622199181E-6	157.737845225E-6	13.723640744E+3	715.999816850E+3	3.980438660E+0	173.338291456E+0	76.634250294E-6	2.683747227E-6	-4.353326932E-6	1.999900000E+0
