[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181214 01:19:23"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 2.200000E+1
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
2.149638653E+0	21.988000000E+0	1.000000000E-6	3.435343446E-3	361.414906667E-3	567.001318818E-9	101.981597168E-6	3.435343446E+3	361.414906644E+3	567.001318783E-3	101.981597162E+0	-4.353326932E-6
33.060453892E+0	22.923600000E+0	1.000000000E-6	3.351805255E-3	354.486940000E-3	1.243169114E-6	223.202642736E-6	3.351805255E+3	354.486939978E+3	1.243169114E+0	223.202642722E+0	-4.353326932E-6
60.535029888E+0	23.910500000E+0	1.000000000E-6	3.271816363E-3	347.061633333E-3	770.435456812E-9	207.172112911E-6	3.271816363E+3	347.061633312E+3	770.435456764E-3	207.172112898E+0	-4.353326932E-6
87.948238850E+0	24.914900000E+0	1.000000000E-6	3.196569375E-3	339.831766667E-3	1.058182321E-6	173.462823868E-6	3.196569374E+3	339.831766646E+3	1.058182321E+0	173.462823858E+0	-4.353326932E-6
115.313381195E+0	25.923400000E+0	1.000000000E-6	3.125146731E-3	332.777036667E-3	1.246021644E-6	209.205702242E-6	3.125146731E+3	332.777036646E+3	1.246021644E+0	209.205702229E+0	-4.353326932E-6
142.721246719E+0	26.900500000E+0	1.000000000E-6	3.056107119E-3	326.203436667E-3	1.001849194E-6	211.180222891E-6	3.056107119E+3	326.203436646E+3	1.001849193E+0	211.180222878E+0	-4.353326932E-6
170.105185032E+0	27.916200000E+0	1.000000000E-6	2.989733625E-3	319.557626667E-3	1.110752550E-6	272.649889094E-6	2.989733625E+3	319.557626647E+3	1.110752550E+0	272.649889077E+0	-4.353326932E-6
197.633613110E+0	28.934000000E+0	1.000000000E-6	2.927039461E-3	313.505220000E-3	1.108032980E-6	181.388906630E-6	2.927039460E+3	313.505219981E+3	1.108032980E+0	181.388906618E+0	-4.353326932E-6
224.098920345E+0	29.897800000E+0	1.000000000E-6	2.868198091E-3	307.732793333E-3	1.289816171E-6	243.863261478E-6	2.868198091E+3	307.732793314E+3	1.289816171E+0	243.863261463E+0	-4.353326932E-6
250.545543194E+0	30.892900000E+0	1.000000000E-6	2.809464935E-3	301.869263333E-3	1.207871730E-6	154.987802598E-6	2.809464934E+3	301.869263315E+3	1.207871730E+0	154.987802588E+0	-4.353326932E-6
277.992852211E+0	31.913500000E+0	1.000000000E-6	2.752141164E-3	296.284976667E-3	836.292429190E-9	226.147461326E-6	2.752141163E+3	296.284976648E+3	836.292429138E-3	226.147461312E+0	-4.353326932E-6
305.323578835E+0	32.909400000E+0	1.000000000E-6	2.696794312E-3	290.711390000E-3	881.882625354E-9	259.030764183E-6	2.696794312E+3	290.711389982E+3	881.882625299E-3	259.030764167E+0	-4.353326932E-6
332.598521709E+0	33.904400000E+0	1.000000000E-6	2.644970174E-3	285.959063333E-3	1.128531380E-6	223.560841805E-6	2.644970174E+3	285.959063316E+3	1.128531380E+0	223.560841791E+0	-4.353326932E-6
359.903820992E+0	34.902100000E+0	1.000000000E-6	2.592586525E-3	280.842393333E-3	1.108917281E-6	225.187873951E-6	2.592586525E+3	280.842393316E+3	1.108917281E+0	225.187873937E+0	-4.353326932E-6
387.307054520E+0	35.900900000E+0	1.000000000E-6	2.543607519E-3	276.089686667E-3	1.068136103E-6	175.446867354E-6	2.543607519E+3	276.089686650E+3	1.068136103E+0	175.446867343E+0	-4.353326932E-6
414.709853649E+0	36.891600000E+0	1.000000000E-6	2.495498437E-3	271.275833333E-3	1.245590378E-6	210.942762842E-6	2.495498437E+3	271.275833316E+3	1.245590378E+0	210.942762829E+0	-4.353326932E-6
443.217977047E+0	37.937200000E+0	1.000000000E-6	2.447599651E-3	266.526960000E-3	765.056410716E-9	193.984783619E-6	2.447599651E+3	266.526959983E+3	765.056410668E-3	193.984783607E+0	-4.353326932E-6
471.615932941E+0	38.922900000E+0	1.000000000E-6	2.406747283E-3	262.236256667E-3	712.316942359E-9	176.250479448E-6	2.406747283E+3	262.236256650E+3	712.316942315E-3	176.250479437E+0	-4.353326932E-6
499.022241116E+0	39.889300000E+0	1.000000000E-6	2.362720684E-3	258.076093333E-3	642.139607249E-9	152.430146655E-6	2.362720684E+3	258.076093317E+3	642.139607209E-3	152.430146645E+0	-4.353326932E-6
527.441981792E+0	40.921500000E+0	1.000000000E-6	2.319629623E-3	253.605066667E-3	1.082082910E-6	116.950868946E-6	2.319629623E+3	253.605066651E+3	1.082082910E+0	116.950868938E+0	-4.353326932E-6
555.924772263E+0	41.931300000E+0	1.000000000E-6	2.278963484E-3	249.600156667E-3	790.447632756E-9	156.525024293E-6	2.278963484E+3	249.600156651E+3	790.447632706E-3	156.525024283E+0	-4.353326932E-6
584.295509815E+0	42.933400000E+0	1.000000000E-6	2.239083936E-3	245.361253333E-3	600.503850242E-9	110.500047537E-6	2.239083936E+3	245.361253318E+3	600.503850204E-3	110.500047530E+0	-4.353326932E-6
612.656716824E+0	43.926700000E+0	1.000000000E-6	2.200263504E-3	241.356070000E-3	802.137654984E-9	183.607127707E-6	2.200263504E+3	241.356069985E+3	802.137654934E-3	183.607127696E+0	-4.353326932E-6
640.218978405E+0	44.907100000E+0	1.000000000E-6	2.163263118E-3	237.892616667E-3	652.638284981E-9	131.752911591E-6	2.163263118E+3	237.892616652E+3	652.638284941E-3	131.752911583E+0	-4.353326932E-6
668.814728260E+0	45.935800000E+0	1.000000000E-6	2.125021227E-3	233.576883333E-3	747.219047480E-9	179.609624739E-6	2.125021227E+3	233.576883319E+3	747.219047433E-3	179.609624728E+0	-4.353326932E-6
696.307543278E+0	46.903500000E+0	1.000000000E-6	2.090027350E-3	229.727350000E-3	665.542671372E-9	172.964871359E-6	2.090027350E+3	229.727349986E+3	665.542671331E-3	172.964871348E+0	-4.353326932E-6
725.143152237E+0	47.932400000E+0	1.000000000E-6	2.054476190E-3	225.577226667E-3	653.054052922E-9	164.710680376E-6	2.054476190E+3	225.577226653E+3	653.054052881E-3	164.710680366E+0	-4.353326932E-6
