[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 14:19:00"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
739.415310383E+0	-28.296625614E-6	1.000000000E-6	162.343173133E-6	-40.828031735E-6	1.209423550E-3	286.077257776E-9	141.484217955E-9	6.486926306E-6	162.343173123E+0	-40.828031732E+0	1.209423550E+3	286.077257759E-3	141.484217947E-3	6.486926305E+0	299.999500000E+0
781.835220814E+0	99.978503418E-3	1.000000000E-6	162.363213200E-6	-40.709393843E-6	1.209622767E-3	117.801894484E-9	142.843774523E-9	6.431875995E-6	162.363213190E+0	-40.709393841E+0	1.209622767E+3	117.801894477E-3	142.843774514E-3	6.431875994E+0	300.005300000E+0
824.126828194E+0	199.983129883E-3	1.000000000E-6	162.361816483E-6	-40.669683470E-6	1.208016650E-3	120.397046639E-9	150.231673553E-9	6.513940998E-6	162.361816473E+0	-40.669683467E+0	1.208016650E+3	120.397046632E-3	150.231673544E-3	6.513940997E+0	300.001500000E+0
866.393948078E+0	299.973583984E-3	1.000000000E-6	162.326650283E-6	-40.680256958E-6	1.209968933E-3	110.709587884E-9	122.374858087E-9	6.285330546E-6	162.326650273E+0	-40.680256956E+0	1.209968933E+3	110.709587877E-3	122.374858080E-3	6.285330546E+0	299.996000000E+0
908.699153900E+0	399.988012695E-3	1.000000000E-6	162.350990617E-6	-40.608155760E-6	1.209756500E-3	104.417899410E-9	126.322049352E-9	6.649330357E-6	162.350990607E+0	-40.608155757E+0	1.209756500E+3	104.417899403E-3	126.322049344E-3	6.649330356E+0	299.993500000E+0
950.912699223E+0	499.973046875E-3	1.000000000E-6	162.379401167E-6	-40.504177135E-6	1.210289683E-3	113.090966291E-9	143.341027372E-9	6.672461403E-6	162.379401157E+0	-40.504177132E+0	1.210289683E+3	113.090966284E-3	143.341027363E-3	6.672461403E+0	299.993200000E+0
993.205023289E+0	599.984228516E-3	1.000000000E-6	162.373910717E-6	-40.464160470E-6	1.210380533E-3	130.871973905E-9	138.915726280E-9	7.286850822E-6	162.373910707E+0	-40.464160467E+0	1.210380533E+3	130.871973897E-3	138.915726272E-3	7.286850822E+0	299.995100000E+0
1.035467086E+3	699.996484375E-3	1.000000000E-6	162.437428467E-6	-40.374272357E-6	1.209354800E-3	129.450951821E-9	156.511902267E-9	5.544707186E-6	162.437428457E+0	-40.374272354E+0	1.209354800E+3	129.450951813E-3	156.511902257E-3	5.544707186E+0	299.991900000E+0
1.077813439E+3	799.986865234E-3	1.000000000E-6	162.426322333E-6	-40.254490135E-6	1.208833300E-3	119.064541046E-9	144.578489260E-9	5.868216810E-6	162.426322323E+0	-40.254490132E+0	1.208833300E+3	119.064541039E-3	144.578489251E-3	5.868216810E+0	299.994500000E+0
1.120109598E+3	899.970898437E-3	1.000000000E-6	162.458767383E-6	-40.293188353E-6	1.211407583E-3	108.736212775E-9	189.924477612E-9	6.051315509E-6	162.458767373E+0	-40.293188351E+0	1.211407583E+3	108.736212769E-3	189.924477600E-3	6.051315508E+0	299.995800000E+0
